NodeID,PacketNo,Iteration,RSSI,AbsTime,RecordedTime,Horizontal Distance (m),Vertical Distance RX (m),Vertical Distance TX (m),Shift (m),Tx angle (deg),Rx Angle (deg),Orientation
1,15471,0,-33,0675029,00000000,2.6,1.1,1.2,0,0,300,vertical
1,15472,0,-34,0675060,00000000,2.6,1.1,1.2,0,0,300,vertical
1,15473,0,-33,0675091,00000000,2.6,1.1,1.2,0,0,300,vertical
1,15474,0,-34,0675122,00000000,2.6,1.1,1.2,0,0,300,vertical
1,15475,0,-33,0675154,00000000,2.6,1.1,1.2,0,0,300,vertical
1,15476,0,-33,0675185,00000000,2.6,1.1,1.2,0,0,300,vertical
1,15477,0,-33,0675216,00000000,2.6,1.1,1.2,0,0,300,vertical
1,15478,0,-33,0675247,00000000,2.6,1.1,1.2,0,0,300,vertical
1,15479,0,-33,0675278,00000000,2.6,1.1,1.2,0,0,300,vertical
1,15480,0,-33,0675309,00000000,2.6,1.1,1.2,0,0,300,vertical
1,15481,0,-33,0675341,00000000,2.6,1.1,1.2,0,0,300,vertical
1,15482,0,-33,0675372,00000000,2.6,1.1,1.2,0,0,300,vertical
1,15483,0,-33,0675403,00000000,2.6,1.1,1.2,0,0,300,vertical
1,15484,0,-33,0675434,00000000,2.6,1.1,1.2,0,0,300,vertical
1,15485,0,-33,0675465,00000000,2.6,1.1,1.2,0,0,300,vertical
1,15486,0,-33,0675496,00000000,2.6,1.1,1.2,0,0,300,vertical
1,15487,0,-33,0675527,00000000,2.6,1.1,1.2,0,0,300,vertical
1,15488,0,-33,0675559,00000000,2.6,1.1,1.2,0,0,300,vertical
1,15489,0,-33,0675590,00000000,2.6,1.1,1.2,0,0,300,vertical
1,15490,0,-33,0675621,00000000,2.6,1.1,1.2,0,0,300,vertical
1,15491,0,-33,0675652,00000000,2.6,1.1,1.2,0,0,300,vertical
1,15492,0,-33,0675683,00000000,2.6,1.1,1.2,0,0,300,vertical
1,15493,0,-34,0675714,00000000,2.6,1.1,1.2,0,0,300,vertical
1,15494,0,-34,0675746,00000000,2.6,1.1,1.2,0,0,300,vertical
1,15495,0,-34,0675777,00000000,2.6,1.1,1.2,0,0,300,vertical
1,15496,0,-34,0675808,00000000,2.6,1.1,1.2,0,0,300,vertical
1,15497,0,-34,0675839,00000000,2.6,1.1,1.2,0,0,300,vertical
1,15498,0,-34,0675870,00000000,2.6,1.1,1.2,0,0,300,vertical
1,15499,0,-34,0675901,00000000,2.6,1.1,1.2,0,0,300,vertical
1,15500,0,-34,0675932,00000000,2.6,1.1,1.2,0,0,300,vertical
1,15501,0,-33,0675964,00000000,2.6,1.1,1.2,0,0,300,vertical
1,15502,0,-34,0675995,00000000,2.6,1.1,1.2,0,0,300,vertical
1,15503,0,-34,0676026,00000000,2.6,1.1,1.2,0,0,300,vertical
1,15504,0,-34,0676057,00000000,2.6,1.1,1.2,0,0,300,vertical
1,15505,0,-34,0676088,00000000,2.6,1.1,1.2,0,0,300,vertical
1,15506,0,-33,0676119,00000000,2.6,1.1,1.2,0,0,300,vertical
1,15507,0,-33,0676151,00000000,2.6,1.1,1.2,0,0,300,vertical
1,15508,0,-33,0676182,00000000,2.6,1.1,1.2,0,0,300,vertical
1,15509,0,-34,0676213,00000000,2.6,1.1,1.2,0,0,300,vertical
1,15510,0,-34,0676244,00000000,2.6,1.1,1.2,0,0,300,vertical
1,15511,0,-34,0676275,00000000,2.6,1.1,1.2,0,0,300,vertical
1,15512,0,-34,0676306,00000000,2.6,1.1,1.2,0,0,300,vertical
1,15513,0,-34,0676337,00000000,2.6,1.1,1.2,0,0,300,vertical
1,15514,0,-33,0676369,00000000,2.6,1.1,1.2,0,0,300,vertical
1,15515,0,-34,0676400,00000000,2.6,1.1,1.2,0,0,300,vertical
1,15516,0,-34,0676431,00000000,2.6,1.1,1.2,0,0,300,vertical
1,15517,0,-33,0676462,00000000,2.6,1.1,1.2,0,0,300,vertical
1,15518,0,-33,0676493,00000000,2.6,1.1,1.2,0,0,300,vertical
1,15519,0,-34,0676524,00000000,2.6,1.1,1.2,0,0,300,vertical
1,15520,0,-34,0676556,00000000,2.6,1.1,1.2,0,0,300,vertical
1,15521,0,-34,0676587,00000000,2.6,1.1,1.2,0,0,300,vertical
1,15522,0,-34,0676618,00000000,2.6,1.1,1.2,0,0,300,vertical
1,15523,0,-34,0676649,00000000,2.6,1.1,1.2,0,0,300,vertical
1,15524,0,-34,0676680,00000000,2.6,1.1,1.2,0,0,300,vertical
1,15525,0,-34,0676711,00000000,2.6,1.1,1.2,0,0,300,vertical
1,15526,0,-34,0676742,00000000,2.6,1.1,1.2,0,0,300,vertical
1,15527,0,-33,0676774,00000000,2.6,1.1,1.2,0,0,300,vertical
1,15528,0,-34,0676805,00000000,2.6,1.1,1.2,0,0,300,vertical
1,15529,0,-34,0676836,00000000,2.6,1.1,1.2,0,0,300,vertical
1,15530,0,-34,0676867,00000000,2.6,1.1,1.2,0,0,300,vertical
1,15531,0,-34,0676898,00000000,2.6,1.1,1.2,0,0,300,vertical
1,15532,0,-34,0676929,00000000,2.6,1.1,1.2,0,0,300,vertical
1,15533,0,-33,0676961,00000000,2.6,1.1,1.2,0,0,300,vertical
1,15534,0,-34,0676992,00000000,2.6,1.1,1.2,0,0,300,vertical
1,15535,0,-34,0677023,00000000,2.6,1.1,1.2,0,0,300,vertical
1,15536,0,-34,0677054,00000000,2.6,1.1,1.2,0,0,300,vertical
1,15537,0,-33,0677085,00000000,2.6,1.1,1.2,0,0,300,vertical
1,15538,0,-34,0677116,00000000,2.6,1.1,1.2,0,0,300,vertical
1,15539,0,-34,0677147,00000000,2.6,1.1,1.2,0,0,300,vertical
1,15540,0,-34,0677179,00000000,2.6,1.1,1.2,0,0,300,vertical
1,15541,0,-33,0677210,00000000,2.6,1.1,1.2,0,0,300,vertical
1,15542,0,-34,0677241,00000000,2.6,1.1,1.2,0,0,300,vertical
1,15543,0,-33,0677272,00000000,2.6,1.1,1.2,0,0,300,vertical
1,15544,0,-34,0677303,00000000,2.6,1.1,1.2,0,0,300,vertical
1,15545,0,-34,0677334,00000000,2.6,1.1,1.2,0,0,300,vertical
1,15546,0,-34,0677366,00000000,2.6,1.1,1.2,0,0,300,vertical
1,15547,0,-34,0677397,00000000,2.6,1.1,1.2,0,0,300,vertical
1,15548,0,-34,0677428,00000000,2.6,1.1,1.2,0,0,300,vertical
1,15549,0,-33,0677459,00000000,2.6,1.1,1.2,0,0,300,vertical
1,15550,0,-34,0677490,00000000,2.6,1.1,1.2,0,0,300,vertical
1,15551,0,-34,0677521,00000000,2.6,1.1,1.2,0,0,300,vertical
1,15552,0,-34,0677552,00000000,2.6,1.1,1.2,0,0,300,vertical
1,15553,0,-33,0677584,00000000,2.6,1.1,1.2,0,0,300,vertical
1,15554,0,-33,0677615,00000000,2.6,1.1,1.2,0,0,300,vertical
1,15555,0,-33,0677646,00000000,2.6,1.1,1.2,0,0,300,vertical
1,15555,0,-33,0677677,00000000,2.6,1.1,1.2,0,0,300,vertical
1,15556,0,-33,0677708,00000000,2.6,1.1,1.2,0,0,300,vertical
1,15557,0,-33,0677739,00000000,2.6,1.1,1.2,0,0,300,vertical
1,15558,0,-33,0677771,00000000,2.6,1.1,1.2,0,0,300,vertical
1,15559,0,-34,0677802,00000000,2.6,1.1,1.2,0,0,300,vertical
1,15560,0,-33,0677833,00000000,2.6,1.1,1.2,0,0,300,vertical
1,15561,0,-33,0677864,00000000,2.6,1.1,1.2,0,0,300,vertical
1,15562,0,-34,0677895,00000000,2.6,1.1,1.2,0,0,300,vertical
1,15563,0,-33,0677926,00000000,2.6,1.1,1.2,0,0,300,vertical
1,15564,0,-33,0677957,00000000,2.6,1.1,1.2,0,0,300,vertical
1,15565,0,-34,0677989,00000000,2.6,1.1,1.2,0,0,300,vertical
1,15566,0,-33,0678020,00000000,2.6,1.1,1.2,0,0,300,vertical
1,15567,0,-34,0678051,00000000,2.6,1.1,1.2,0,0,300,vertical
1,15568,0,-34,0678082,00000000,2.6,1.1,1.2,0,0,300,vertical
1,15569,0,-33,0678113,00000000,2.6,1.1,1.2,0,0,300,vertical
1,15570,0,-33,0678144,00000000,2.6,1.1,1.2,0,0,300,vertical
1,15571,0,-33,0678176,00000000,2.6,1.1,1.2,0,0,300,vertical
