RxNID,TXNID,PacketNo,RSSI
1,1,205,-45
1,1,201,-45
1,1,202,-45
1,1,203,-45
1,1,204,-45
2,1,202,-39
2,1,203,-39
2,1,204,-39
2,1,205,-39
2,1,201,-39
0,1,201,-43
0,1,202,-43
0,1,203,-43
0,1,204,-43
0,1,205,-43
1,1,210,-45
1,1,206,-45
1,1,207,-45
1,1,208,-45
1,1,209,-45
2,1,207,-39
2,1,208,-39
2,1,209,-39
2,1,210,-39
2,1,206,-39
0,1,206,-44
0,1,207,-44
0,1,208,-44
0,1,209,-44
0,1,210,-44
1,1,215,-45
1,1,211,-45
1,1,212,-45
1,1,213,-45
1,1,214,-45
2,1,212,-39
2,1,213,-39
2,1,214,-39
2,1,215,-39
2,1,211,-39
0,1,211,-44
0,1,212,-44
0,1,213,-44
0,1,214,-44
0,1,215,-44
1,1,220,-45
1,1,216,-45
1,1,217,-45
1,1,218,-45
1,1,219,-45
2,1,217,-39
2,1,218,-39
2,1,219,-39
2,1,220,-39
2,1,216,-39
0,1,216,-44
0,1,217,-44
0,1,218,-43
0,1,219,-44
0,1,220,-44
1,1,225,-45
1,1,221,-45
1,1,222,-45
1,1,223,-45
1,1,224,-45
2,1,222,-39
2,1,223,-39
2,1,224,-39
2,1,225,-39
2,1,221,-39
0,1,221,-44
0,1,222,-44
0,1,223,-44
0,1,224,-44
0,1,225,-44
1,1,230,-45
1,1,226,-45
1,1,227,-45
1,1,228,-45
1,1,229,-45
2,1,227,-39
2,1,228,-39
2,1,229,-39
2,1,230,-39
2,1,226,-39
0,1,226,-44
0,1,227,-44
0,1,228,-44
0,1,229,-44
0,1,230,-44
1,1,235,-45
1,1,231,-45
1,1,232,-45
1,1,233,-45
1,1,234,-45
2,1,232,-39
2,1,233,-39
2,1,234,-39
2,1,235,-39
2,1,231,-39
0,1,231,-44
0,1,232,-44
0,1,233,-44
0,1,234,-44
0,1,235,-44
1,1,240,-45
1,1,236,-45
1,1,237,-45
1,1,238,-45
1,1,239,-45
