RxNID,TXNID,PacketNo,RSSI
1,1,5,-30
1,1,1,-30
1,1,2,-30
1,1,3,-30
1,1,4,-30
2,1,2,-24
2,1,3,-24
2,1,4,-24
2,1,5,-24
2,1,1,-24
0,1,1,-36
0,1,2,-36
0,1,3,-36
0,1,4,-36
0,1,5,-36
1,1,10,-30
1,1,6,-30
1,1,7,-30
1,1,8,-30
1,1,9,-30
2,1,7,-24
2,1,8,-24
2,1,9,-24
2,1,10,-24
2,1,6,-24
0,1,6,-36
0,1,7,-36
0,1,8,-36
0,1,9,-36
0,1,10,-36
1,1,15,-30
1,1,11,-30
1,1,12,-30
1,1,13,-30
1,1,14,-30
2,1,12,-24
2,1,13,-24
2,1,14,-24
2,1,15,-24
2,1,11,-24
0,1,11,-36
0,1,12,-36
0,1,13,-36
0,1,14,-36
0,1,15,-36
1,1,20,-30
1,1,16,-30
1,1,17,-30
1,1,18,-30
1,1,19,-30
2,1,17,-24
2,1,18,-24
2,1,19,-24
2,1,20,-24
2,1,16,-24
0,1,16,-36
0,1,17,-36
0,1,18,-36
0,1,19,-36
0,1,20,-36
1,1,25,-30
1,1,21,-30
1,1,22,-30
1,1,23,-30
1,1,24,-30
2,1,22,-24
2,1,23,-24
2,1,24,-24
2,1,25,-24
2,1,21,-24
0,1,21,-36
0,1,22,-36
0,1,23,-36
0,1,24,-36
0,1,25,-36
1,1,30,-30
1,1,26,-30
1,1,27,-30
1,1,28,-30
1,1,29,-30
2,1,27,-24
2,1,28,-24
2,1,29,-24
2,1,30,-24
2,1,26,-24
0,1,26,-36
0,1,27,-36
0,1,28,-36
0,1,29,-36
0,1,30,-36
1,1,35,-30
1,1,31,-30
1,1,32,-30
1,1,33,-30
1,1,34,-30
2,1,32,-24
2,1,33,-24
2,1,34,-24
2,1,35,-24
2,1,31,-24
0,1,31,-36
0,1,32,-36
0,1,33,-36
0,1,34,-36
0,1,35,-36
1,1,40,-30
1,1,36,-30
1,1,37,-30
1,1,38,-30
1,1,39,-30
