RxNID,TXNID,PacketNo,RSSI
1,1,129,-35
1,1,130,-35
1,1,131,-35
1,1,132,-35
1,1,133,-35
2,1,129,-41
2,1,130,-41
2,1,131,-41
2,1,132,-41
2,1,133,-41
0,1,129,-37
0,1,130,-36
0,1,131,-36
0,1,132,-36
0,1,133,-36
1,1,134,-35
1,1,135,-35
1,1,136,-35
1,1,137,-35
1,1,138,-35
2,1,134,-41
2,1,135,-41
2,1,136,-41
2,1,137,-41
2,1,138,-41
0,1,134,-36
0,1,135,-36
0,1,136,-37
0,1,137,-37
0,1,138,-36
1,1,139,-35
1,1,140,-35
1,1,141,-35
1,1,142,-35
1,1,143,-35
2,1,139,-40
2,1,140,-40
2,1,141,-41
2,1,142,-40
2,1,143,-41
0,1,139,-36
0,1,140,-36
0,1,141,-37
0,1,142,-37
0,1,143,-36
1,1,144,-35
1,1,145,-35
1,1,146,-35
1,1,147,-35
1,1,148,-35
2,1,144,-40
2,1,145,-40
2,1,146,-40
2,1,147,-41
2,1,148,-41
0,1,144,-36
0,1,145,-37
0,1,146,-37
0,1,147,-36
0,1,148,-37
1,1,149,-35
1,1,150,-35
1,1,151,-35
1,1,152,-35
1,1,153,-35
2,1,149,-40
2,1,150,-40
2,1,151,-40
2,1,152,-41
2,1,153,-40
0,1,149,-36
0,1,150,-36
0,1,151,-37
0,1,152,-37
0,1,153,-36
1,1,154,-35
1,1,155,-35
1,1,156,-35
1,1,157,-35
1,1,158,-35
2,1,154,-40
2,1,155,-40
2,1,156,-40
2,1,157,-40
2,1,158,-41
0,1,154,-36
0,1,155,-36
0,1,156,-36
0,1,157,-36
0,1,158,-37
1,1,159,-35
1,1,160,-35
1,1,161,-35
1,1,162,-35
1,1,163,-35
2,1,159,-40
2,1,160,-40
2,1,161,-41
2,1,162,-40
2,1,163,-40
0,1,159,-36
0,1,160,-36
0,1,161,-36
0,1,162,-36
0,1,163,-36
1,1,164,-35
1,1,165,-35
1,1,166,-35
1,1,167,-35
1,1,168,-35
2,1,164,-40
2,1,165,-40
2,1,166,-40
2,1,167,-40
2,1,168,-40
