RxNID,TXNID,PacketNo,RSSI
2,1,44,-35
2,1,45,-35
2,1,46,-35
2,1,47,-35
2,1,48,-35
0,1,44,-45
0,1,45,-45
0,1,46,-45
0,1,47,-45
0,1,48,-45
1,1,49,-33
1,1,50,-33
1,1,51,-33
1,1,52,-33
1,1,53,-33
2,1,49,-35
2,1,50,-35
2,1,51,-35
2,1,52,-35
2,1,53,-35
0,1,49,-45
0,1,50,-45
0,1,51,-45
0,1,52,-45
0,1,53,-45
1,1,54,-33
1,1,55,-33
1,1,56,-33
1,1,57,-33
1,1,58,-33
2,1,54,-35
2,1,55,-35
2,1,56,-35
2,1,57,-35
2,1,58,-35
0,1,54,-45
0,1,55,-45
0,1,56,-45
0,1,57,-45
0,1,58,-45
1,1,59,-33
1,1,60,-33
1,1,61,-33
1,1,62,-33
1,1,63,-33
2,1,59,-35
2,1,60,-35
2,1,61,-35
2,1,62,-35
2,1,63,-35
0,1,59,-45
0,1,60,-45
0,1,61,-45
0,1,62,-45
0,1,63,-45
1,1,64,-33
1,1,65,-33
1,1,66,-33
1,1,67,-33
1,1,68,-33
2,1,64,-35
2,1,65,-35
2,1,66,-35
2,1,67,-35
2,1,68,-35
0,1,64,-45
0,1,65,-45
0,1,66,-45
0,1,67,-45
0,1,68,-45
1,1,69,-33
1,1,70,-33
1,1,71,-33
1,1,72,-33
1,1,73,-33
2,1,69,-35
2,1,70,-35
2,1,71,-35
2,1,72,-35
2,1,73,-35
0,1,69,-45
0,1,70,-45
0,1,71,-45
0,1,72,-45
0,1,73,-45
1,1,74,-33
1,1,75,-33
1,1,76,-33
1,1,77,-33
1,1,78,-33
2,1,74,-35
2,1,75,-35
2,1,76,-35
2,1,77,-35
2,1,78,-35
0,1,74,-45
0,1,75,-45
0,1,76,-45
0,1,77,-45
0,1,78,-45
1,1,79,-33
1,1,80,-33
1,1,81,-33
1,1,82,-33
1,1,83,-33
2,1,79,-35
2,1,80,-35
2,1,81,-35
2,1,82,-35
2,1,83,-35
0,1,79,-45
0,1,80,-45
0,1,81,-45
0,1,82,-45
0,1,83,-45
