RxNID,TXNID,PacketNo,TxRSSI,RSSI0,RSSI1,RSSI2,RSSI3
1,1,128,-37,"['-54', '120', '-28', '-50']"
1,1,129,-37,"['-54', '120', '-28', '-50']"
1,1,130,-37,"['-54', '120', '-28', '-50']"
1,1,131,-37,"['-54', '120', '-28', '-50']"
1,1,132,-37,"['-54', '120', '-28', '-50']"
2,1,128,-48,"['-66', '-29', '0', '-44']"
2,1,129,-48,"['-66', '-29', '0', '-44']"
2,1,130,-48,"['-66', '-29', '0', '-44']"
2,1,131,-48,"['-66', '-29', '0', '-44']"
2,1,132,-48,"['-66', '-29', '0', '-44']"
3,1,128,-56,"['-35', '-51', '-44', '0']"
3,1,129,-56,"['-35', '-51', '-44', '0']"
3,1,130,-55,"['-35', '-51', '-44', '0']"
3,1,131,-56,"['-35', '-51', '-44', '0']"
3,1,132,-56,"['-35', '-51', '-44', '0']"
0,1,129,-45,"[0, '-55', '-65', '-36']"
0,1,130,-45,"[0, '-55', '-65', '-36']"
0,1,131,-45,"[0, '-55', '-65', '-36']"
0,1,132,-45,"[0, '-55', '-65', '-36']"
0,1,128,-45,"[0, '-55', '-65', '-36']"
1,1,133,-37,"['-54', '120', '-28', '-50']"
1,1,134,-37,"['-54', '120', '-28', '-50']"
1,1,135,-37,"['-54', '120', '-28', '-50']"
1,1,136,-37,"['-54', '120', '-28', '-50']"
1,1,137,-37,"['-54', '120', '-28', '-50']"
2,1,133,-48,"['-64', '-29', '0', '-44']"
2,1,134,-48,"['-64', '-29', '0', '-44']"
2,1,135,-48,"['-64', '-29', '0', '-44']"
2,1,136,-48,"['-64', '-29', '0', '-44']"
2,1,137,-48,"['-64', '-29', '0', '-44']"
3,1,133,-56,"['-35', '-52', '-44', '0']"
3,1,134,-56,"['-35', '-52', '-44', '0']"
3,1,135,-56,"['-35', '-52', '-44', '0']"
3,1,136,-56,"['-35', '-52', '-44', '0']"
3,1,137,-56,"['-35', '-52', '-44', '0']"
0,1,134,-45,"[0, '-55', '-65', '-36']"
0,1,135,-45,"[0, '-55', '-65', '-36']"
0,1,136,-45,"[0, '-55', '-65', '-36']"
0,1,137,-45,"[0, '-55', '-65', '-36']"
0,1,133,-45,"[0, '-55', '-65', '-36']"
1,1,138,-37,"['-54', '120', '-28', '-50']"
1,1,139,-37,"['-54', '120', '-28', '-50']"
1,1,140,-37,"['-54', '120', '-28', '-50']"
1,1,141,-37,"['-54', '120', '-28', '-50']"
1,1,142,-37,"['-54', '120', '-28', '-50']"
2,1,138,-48,"['-64', '-29', '0', '-44']"
2,1,139,-48,"['-64', '-29', '0', '-44']"
2,1,140,-48,"['-64', '-29', '0', '-44']"
2,1,141,-48,"['-64', '-29', '0', '-44']"
2,1,142,-48,"['-64', '-29', '0', '-44']"
3,1,138,-55,"['-35', '-52', '-44', '0']"
3,1,139,-55,"['-35', '-52', '-44', '0']"
3,1,140,-55,"['-35', '-52', '-44', '0']"
3,1,141,-56,"['-35', '-52', '-44', '0']"
3,1,142,-56,"['-35', '-52', '-44', '0']"
0,1,139,-45,"[0, '-55', '-65', '-36']"
0,1,140,-45,"[0, '-55', '-65', '-36']"
0,1,141,-45,"[0, '-55', '-65', '-36']"
0,1,142,-45,"[0, '-55', '-65', '-36']"
0,1,138,-45,"[0, '-55', '-65', '-36']"
1,1,143,-37,"['-54', '120', '-28', '-50']"
1,1,144,-37,"['-54', '120', '-28', '-50']"
1,1,145,-37,"['-54', '120', '-28', '-50']"
1,1,146,-37,"['-54', '120', '-28', '-50']"
1,1,147,-37,"['-54', '120', '-28', '-50']"
2,1,143,-48,"['-64', '-29', '0', '-44']"
2,1,144,-48,"['-64', '-29', '0', '-44']"
2,1,145,-48,"['-64', '-29', '0', '-44']"
2,1,146,-48,"['-64', '-29', '0', '-44']"
2,1,147,-48,"['-64', '-29', '0', '-44']"
3,1,143,-56,"['-35', '-52', '-44', '0']"
3,1,144,-56,"['-35', '-52', '-44', '0']"
3,1,145,-56,"['-35', '-52', '-44', '0']"
3,1,146,-56,"['-35', '-52', '-44', '0']"
3,1,147,-56,"['-35', '-52', '-44', '0']"
0,1,144,-45,"[0, '-55', '-65', '-36']"
0,1,145,-45,"[0, '-55', '-65', '-36']"
0,1,146,-45,"[0, '-55', '-65', '-36']"
0,1,147,-45,"[0, '-55', '-65', '-36']"
0,1,143,-45,"[0, '-55', '-65', '-36']"
1,1,148,-37,"['-54', '120', '-28', '-50']"
1,1,149,-37,"['-54', '120', '-28', '-50']"
1,1,150,-37,"['-54', '120', '-28', '-50']"
1,1,151,-37,"['-54', '120', '-28', '-50']"
1,1,152,-37,"['-54', '120', '-28', '-50']"
2,1,148,-48,"['-64', '-29', '0', '-44']"
2,1,149,-48,"['-64', '-29', '0', '-44']"
2,1,150,-48,"['-64', '-29', '0', '-44']"
2,1,151,-48,"['-64', '-29', '0', '-44']"
2,1,152,-48,"['-64', '-29', '0', '-44']"
3,1,148,-56,"['-35', '-51', '-44', '0']"
3,1,149,-56,"['-35', '-51', '-44', '0']"
3,1,150,-56,"['-35', '-51', '-44', '0']"
3,1,151,-57,"['-35', '-51', '-44', '0']"
3,1,152,-56,"['-35', '-51', '-44', '0']"
0,1,149,-45,"[0, '-55', '-64', '-35']"
0,1,150,-45,"[0, '-55', '-64', '-35']"
0,1,151,-45,"[0, '-55', '-64', '-35']"
0,1,152,-45,"[0, '-55', '-64', '-35']"
0,1,148,-45,"[0, '-55', '-64', '-35']"
1,1,153,-37,"['-54', '120', '-28', '-50']"
1,1,154,-37,"['-54', '120', '-28', '-50']"
1,1,155,-37,"['-54', '120', '-28', '-50']"
1,1,156,-37,"['-54', '120', '-28', '-50']"
1,1,157,-37,"['-54', '120', '-28', '-50']"
2,1,153,-48,"['-64', '-29', '0', '-44']"
2,1,154,-48,"['-64', '-29', '0', '-44']"
2,1,155,-48,"['-64', '-29', '0', '-44']"
2,1,156,-48,"['-64', '-29', '0', '-44']"
