RxNID,TXNID,PacketNo,TxRSSI,RSSI0,RSSI1,RSSI2,RSSI3
1,1,207,-37,"['-54', '120', '-28', '-52']"
1,1,208,-37,"['-54', '120', '-28', '-52']"
1,1,209,-37,"['-54', '120', '-28', '-52']"
1,1,210,-37,"['-54', '120', '-28', '-52']"
1,1,211,-37,"['-54', '120', '-28', '-52']"
2,1,207,-34,"['-59', '-29', '0', '-42']"
2,1,208,-34,"['-59', '-29', '0', '-42']"
2,1,209,-34,"['-59', '-29', '0', '-42']"
2,1,210,-34,"['-59', '-29', '0', '-42']"
2,1,211,-34,"['-59', '-29', '0', '-42']"
3,1,207,-44,"['-36', '-52', '-42', '0']"
3,1,208,-44,"['-36', '-52', '-42', '0']"
3,1,209,-44,"['-36', '-52', '-42', '0']"
3,1,210,-44,"['-36', '-52', '-42', '0']"
3,1,211,-44,"['-36', '-52', '-42', '0']"
0,1,207,-60,"[0, '-54', '-60', '-36']"
0,1,208,-58,"[0, '-54', '-60', '-36']"
0,1,209,-60,"[0, '-54', '-60', '-36']"
0,1,210,-60,"[0, '-54', '-60', '-36']"
0,1,211,-60,"[0, '-54', '-60', '-36']"
1,1,212,-37,"['-54', '120', '-28', '-52']"
1,1,213,-37,"['-54', '120', '-28', '-52']"
1,1,214,-37,"['-54', '120', '-28', '-52']"
1,1,215,-37,"['-54', '120', '-28', '-52']"
1,1,216,-37,"['-54', '120', '-28', '-52']"
2,1,212,-33,"['-59', '-29', '0', '-42']"
2,1,213,-34,"['-59', '-29', '0', '-42']"
2,1,214,-34,"['-59', '-29', '0', '-42']"
2,1,215,-34,"['-59', '-29', '0', '-42']"
2,1,216,-34,"['-59', '-29', '0', '-42']"
3,1,212,-44,"['-36', '-52', '-42', '0']"
3,1,213,-44,"['-36', '-52', '-42', '0']"
3,1,214,-44,"['-36', '-52', '-42', '0']"
3,1,215,-44,"['-36', '-52', '-42', '0']"
3,1,216,-44,"['-36', '-52', '-42', '0']"
0,1,212,-60,"[0, '-54', '-60', '-36']"
0,1,213,-60,"[0, '-54', '-60', '-36']"
0,1,214,-60,"[0, '-54', '-60', '-36']"
0,1,215,-60,"[0, '-54', '-60', '-36']"
0,1,216,-60,"[0, '-54', '-60', '-36']"
1,1,217,-37,"['-54', '120', '-28', '-52']"
1,1,218,-37,"['-54', '120', '-28', '-52']"
1,1,219,-37,"['-54', '120', '-28', '-52']"
1,1,220,-37,"['-54', '120', '-28', '-52']"
1,1,221,-37,"['-54', '120', '-28', '-52']"
2,1,217,-34,"['-59', '-29', '0', '-43']"
2,1,218,-33,"['-59', '-29', '0', '-43']"
2,1,219,-34,"['-59', '-29', '0', '-43']"
2,1,220,-34,"['-59', '-29', '0', '-43']"
2,1,221,-34,"['-59', '-29', '0', '-43']"
3,1,217,-44,"['-36', '-52', '-42', '0']"
3,1,218,-44,"['-36', '-52', '-42', '0']"
3,1,219,-44,"['-36', '-52', '-42', '0']"
3,1,220,-44,"['-36', '-52', '-42', '0']"
3,1,221,-44,"['-36', '-52', '-42', '0']"
0,1,217,-59,"[0, '-54', '-60', '-36']"
0,1,218,-60,"[0, '-54', '-60', '-36']"
0,1,219,-60,"[0, '-54', '-60', '-36']"
0,1,220,-60,"[0, '-54', '-60', '-36']"
0,1,221,-60,"[0, '-54', '-60', '-36']"
1,1,222,-37,"['-54', '120', '-28', '-52']"
1,1,223,-37,"['-54', '120', '-28', '-52']"
1,1,224,-37,"['-54', '120', '-28', '-52']"
1,1,225,-37,"['-54', '120', '-28', '-52']"
1,1,226,-37,"['-54', '120', '-28', '-52']"
2,1,222,-34,"['-59', '-29', '0', '-43']"
2,1,223,-34,"['-59', '-29', '0', '-43']"
2,1,224,-34,"['-59', '-29', '0', '-43']"
2,1,225,-34,"['-59', '-29', '0', '-43']"
2,1,226,-34,"['-59', '-29', '0', '-43']"
3,1,222,-44,"['-36', '-52', '-42', '0']"
3,1,223,-44,"['-36', '-52', '-42', '0']"
3,1,224,-44,"['-36', '-52', '-42', '0']"
3,1,225,-44,"['-36', '-52', '-42', '0']"
3,1,226,-44,"['-36', '-52', '-42', '0']"
0,1,222,-59,"[0, '-54', '-60', '-36']"
0,1,223,-60,"[0, '-54', '-60', '-36']"
0,1,224,-60,"[0, '-54', '-60', '-36']"
0,1,225,-60,"[0, '-54', '-60', '-36']"
0,1,226,-59,"[0, '-54', '-60', '-36']"
1,1,227,-37,"['-54', '120', '-28', '-52']"
1,1,228,-37,"['-54', '120', '-28', '-52']"
1,1,229,-37,"['-54', '120', '-28', '-52']"
1,1,230,-37,"['-54', '120', '-28', '-52']"
1,1,231,-37,"['-54', '120', '-28', '-52']"
2,1,227,-34,"['-59', '-29', '0', '-42']"
2,1,228,-34,"['-59', '-29', '0', '-42']"
2,1,229,-34,"['-59', '-29', '0', '-42']"
2,1,230,-34,"['-59', '-29', '0', '-42']"
2,1,231,-34,"['-59', '-29', '0', '-42']"
3,1,227,-44,"['-36', '-52', '-43', '0']"
3,1,228,-44,"['-36', '-52', '-43', '0']"
3,1,229,-44,"['-36', '-52', '-43', '0']"
3,1,230,-44,"['-36', '-52', '-43', '0']"
3,1,231,-44,"['-36', '-52', '-43', '0']"
0,1,227,-60,"[0, '-54', '-60', '-36']"
0,1,228,-60,"[0, '-54', '-60', '-36']"
0,1,229,-60,"[0, '-54', '-60', '-36']"
0,1,230,-60,"[0, '-54', '-60', '-36']"
0,1,231,-60,"[0, '-54', '-60', '-36']"
1,1,232,-37,"['-54', '120', '-28', '-52']"
1,1,233,-37,"['-54', '120', '-28', '-52']"
1,1,234,-37,"['-54', '120', '-28', '-52']"
1,1,235,-37,"['-54', '120', '-28', '-52']"
1,1,236,-37,"['-54', '120', '-28', '-52']"
2,1,232,-33,"['-59', '-29', '0', '-42']"
2,1,233,-34,"['-59', '-29', '0', '-42']"
2,1,234,-34,"['-59', '-29', '0', '-42']"
2,1,235,-34,"['-59', '-29', '0', '-42']"
2,1,236,-34,"['-59', '-29', '0', '-42']"
