RxNID,TXNID,PacketNo,TxRSSI,RSSI0,RSSI1,RSSI2,RSSI3
1,1,80,-33,"['-54', '120', '-28', '-54']"
1,1,81,-33,"['-54', '120', '-28', '-54']"
1,1,82,-33,"['-54', '120', '-28', '-54']"
1,1,83,-33,"['-54', '120', '-28', '-54']"
1,1,84,-33,"['-54', '120', '-28', '-54']"
2,1,80,-37,"['-59', '-29', '0', '-43']"
2,1,81,-37,"['-59', '-29', '0', '-43']"
2,1,82,-37,"['-59', '-29', '0', '-43']"
2,1,83,-37,"['-59', '-29', '0', '-43']"
2,1,84,-37,"['-59', '-29', '0', '-43']"
3,1,80,-48,"['-36', '-54', '-43', '0']"
3,1,81,-48,"['-36', '-54', '-43', '0']"
3,1,82,-48,"['-36', '-54', '-43', '0']"
3,1,83,-48,"['-36', '-54', '-43', '0']"
3,1,84,-48,"['-36', '-54', '-43', '0']"
0,1,80,-63,"[0, '-54', '-60', '-37']"
0,1,81,-62,"[0, '-54', '-60', '-37']"
0,1,82,-63,"[0, '-54', '-60', '-37']"
0,1,83,-63,"[0, '-54', '-60', '-37']"
0,1,84,-63,"[0, '-54', '-60', '-37']"
1,1,85,-33,"['-54', '120', '-28', '-54']"
1,1,86,-33,"['-54', '120', '-28', '-54']"
1,1,87,-33,"['-54', '120', '-28', '-54']"
1,1,88,-33,"['-54', '120', '-28', '-54']"
1,1,89,-33,"['-54', '120', '-28', '-54']"
2,1,85,-37,"['-59', '-29', '0', '-43']"
2,1,86,-37,"['-59', '-29', '0', '-43']"
2,1,87,-37,"['-59', '-29', '0', '-43']"
2,1,88,-37,"['-59', '-29', '0', '-43']"
2,1,89,-37,"['-59', '-29', '0', '-43']"
3,1,85,-48,"['-36', '-54', '-43', '0']"
3,1,86,-48,"['-36', '-54', '-43', '0']"
3,1,87,-48,"['-36', '-54', '-43', '0']"
3,1,88,-48,"['-36', '-54', '-43', '0']"
3,1,89,-48,"['-36', '-54', '-43', '0']"
0,1,85,-62,"[0, '-54', '-60', '-36']"
0,1,86,-63,"[0, '-54', '-60', '-36']"
0,1,87,-63,"[0, '-54', '-60', '-36']"
0,1,88,-63,"[0, '-54', '-60', '-36']"
0,1,89,-63,"[0, '-54', '-60', '-36']"
1,1,90,-33,"['-54', '120', '-28', '-54']"
1,1,91,-33,"['-54', '120', '-28', '-54']"
1,1,92,-33,"['-54', '120', '-28', '-54']"
1,1,93,-33,"['-54', '120', '-28', '-54']"
1,1,94,-34,"['-54', '120', '-28', '-54']"
2,1,90,-37,"['-59', '-29', '0', '-43']"
2,1,91,-37,"['-59', '-29', '0', '-43']"
2,1,92,-37,"['-59', '-29', '0', '-43']"
2,1,93,-37,"['-59', '-29', '0', '-43']"
2,1,94,-37,"['-59', '-29', '0', '-43']"
3,1,90,-48,"['-36', '-55', '-43', '0']"
3,1,91,-48,"['-36', '-55', '-43', '0']"
3,1,92,-48,"['-36', '-55', '-43', '0']"
3,1,93,-48,"['-36', '-55', '-43', '0']"
3,1,94,-48,"['-36', '-55', '-43', '0']"
0,1,90,-63,"[0, '-54', '-60', '-36']"
0,1,91,-63,"[0, '-54', '-60', '-36']"
0,1,92,-63,"[0, '-54', '-60', '-36']"
0,1,93,-63,"[0, '-54', '-60', '-36']"
0,1,94,-63,"[0, '-54', '-60', '-36']"
1,1,95,-33,"['-54', '120', '-28', '-54']"
1,1,96,-33,"['-54', '120', '-28', '-54']"
1,1,97,-33,"['-54', '120', '-28', '-54']"
1,1,98,-33,"['-54', '120', '-28', '-54']"
1,1,99,-33,"['-54', '120', '-28', '-54']"
2,1,95,-37,"['-59', '-29', '0', '-43']"
2,1,96,-37,"['-59', '-29', '0', '-43']"
2,1,97,-37,"['-59', '-29', '0', '-43']"
2,1,98,-37,"['-59', '-29', '0', '-43']"
2,1,99,-37,"['-59', '-29', '0', '-43']"
3,1,95,-48,"['-36', '-55', '-43', '0']"
3,1,96,-48,"['-36', '-55', '-43', '0']"
3,1,97,-48,"['-36', '-55', '-43', '0']"
3,1,98,-48,"['-36', '-55', '-43', '0']"
3,1,99,-48,"['-36', '-55', '-43', '0']"
0,1,95,-63,"[0, '-54', '-60', '-36']"
0,1,96,-63,"[0, '-54', '-60', '-36']"
0,1,97,-64,"[0, '-54', '-60', '-36']"
0,1,98,-64,"[0, '-54', '-60', '-36']"
0,1,99,-63,"[0, '-54', '-60', '-36']"
1,1,100,-33,"['-54', '120', '-28', '-54']"
1,1,101,-33,"['-54', '120', '-28', '-54']"
1,1,102,-33,"['-54', '120', '-28', '-54']"
1,1,103,-33,"['-54', '120', '-28', '-54']"
1,1,104,-33,"['-54', '120', '-28', '-54']"
2,1,100,-37,"['-59', '-29', '0', '-43']"
2,1,101,-37,"['-59', '-29', '0', '-43']"
2,1,102,-37,"['-59', '-29', '0', '-43']"
2,1,103,-37,"['-59', '-29', '0', '-43']"
2,1,104,-37,"['-59', '-29', '0', '-43']"
3,1,100,-48,"['-36', '-55', '-43', '0']"
3,1,101,-48,"['-36', '-55', '-43', '0']"
3,1,102,-48,"['-36', '-55', '-43', '0']"
3,1,103,-48,"['-36', '-55', '-43', '0']"
3,1,104,-48,"['-36', '-55', '-43', '0']"
0,1,100,-64,"[0, '-54', '-60', '-36']"
0,1,101,-63,"[0, '-54', '-60', '-36']"
0,1,102,-64,"[0, '-54', '-60', '-36']"
0,1,103,-64,"[0, '-54', '-60', '-36']"
0,1,104,-64,"[0, '-54', '-60', '-36']"
1,1,105,-33,"['-54', '120', '-28', '-54']"
1,1,106,-33,"['-54', '120', '-28', '-54']"
1,1,107,-33,"['-54', '120', '-28', '-54']"
1,1,108,-34,"['-54', '120', '-28', '-54']"
1,1,109,-33,"['-54', '120', '-28', '-54']"
2,1,105,-37,"['-59', '-29', '0', '-43']"
2,1,106,-37,"['-59', '-29', '0', '-43']"
2,1,107,-37,"['-59', '-29', '0', '-43']"
2,1,108,-37,"['-59', '-29', '0', '-43']"
2,1,109,-37,"['-59', '-29', '0', '-43']"
