RxNID,TXNID,PacketNo,TxRSSI,RSSI0,RSSI1,RSSI2,RSSI3
1,1,251,-33,"['-54', '120', '-28', '-54']"
1,1,252,-33,"['-54', '120', '-28', '-54']"
1,1,253,-33,"['-54', '120', '-28', '-54']"
1,1,254,-33,"['-54', '120', '-28', '-54']"
1,1,255,-33,"['-54', '120', '-28', '-54']"
2,1,251,-37,"['-59', '-29', '0', '-43']"
2,1,252,-37,"['-59', '-29', '0', '-43']"
2,1,253,-37,"['-59', '-29', '0', '-43']"
2,1,254,-37,"['-59', '-29', '0', '-43']"
2,1,255,-37,"['-59', '-29', '0', '-43']"
3,1,251,-48,"['-36', '-55', '-43', '0']"
3,1,252,-48,"['-36', '-55', '-43', '0']"
3,1,253,-48,"['-36', '-55', '-43', '0']"
3,1,254,-48,"['-36', '-55', '-43', '0']"
3,1,255,-48,"['-36', '-55', '-43', '0']"
0,1,251,-64,"[0, '-54', '-60', '-36']"
0,1,252,-64,"[0, '-54', '-60', '-36']"
0,1,253,-64,"[0, '-54', '-60', '-36']"
0,1,254,-64,"[0, '-54', '-60', '-36']"
0,1,255,-64,"[0, '-54', '-60', '-36']"
1,1,0,-33,"['-54', '120', '-28', '-54']"
1,1,1,-33,"['-54', '120', '-28', '-54']"
1,1,2,-33,"['-54', '120', '-28', '-54']"
1,1,3,-33,"['-54', '120', '-28', '-54']"
1,1,4,-33,"['-54', '120', '-28', '-54']"
2,1,0,-37,"['-59', '-29', '0', '-43']"
2,1,1,-37,"['-59', '-29', '0', '-43']"
2,1,2,-37,"['-59', '-29', '0', '-43']"
2,1,3,-37,"['-59', '-29', '0', '-43']"
2,1,4,-37,"['-59', '-29', '0', '-43']"
3,1,0,-48,"['-36', '-55', '-43', '0']"
3,1,1,-48,"['-36', '-55', '-43', '0']"
3,1,2,-48,"['-36', '-55', '-43', '0']"
3,1,3,-48,"['-36', '-55', '-43', '0']"
3,1,4,-48,"['-36', '-55', '-43', '0']"
0,1,0,-64,"[0, '-54', '-60', '-36']"
0,1,1,-64,"[0, '-54', '-60', '-36']"
0,1,2,-64,"[0, '-54', '-60', '-36']"
0,1,3,-64,"[0, '-54', '-60', '-36']"
0,1,4,-64,"[0, '-54', '-60', '-36']"
1,1,5,-34,"['-54', '120', '-28', '-54']"
1,1,6,-33,"['-54', '120', '-28', '-54']"
1,1,7,-33,"['-54', '120', '-28', '-54']"
1,1,8,-33,"['-54', '120', '-28', '-54']"
1,1,9,-33,"['-54', '120', '-28', '-54']"
2,1,5,-37,"['-59', '-29', '0', '-43']"
2,1,6,-37,"['-59', '-29', '0', '-43']"
2,1,7,-37,"['-59', '-29', '0', '-43']"
2,1,8,-37,"['-59', '-29', '0', '-43']"
2,1,9,-37,"['-59', '-29', '0', '-43']"
3,1,5,-48,"['-36', '-55', '-43', '0']"
3,1,6,-48,"['-36', '-55', '-43', '0']"
3,1,7,-48,"['-36', '-55', '-43', '0']"
3,1,8,-48,"['-36', '-55', '-43', '0']"
3,1,9,-48,"['-36', '-55', '-43', '0']"
0,1,5,-64,"[0, '-54', '-60', '-36']"
0,1,6,-64,"[0, '-54', '-60', '-36']"
0,1,7,-64,"[0, '-54', '-60', '-36']"
0,1,8,-64,"[0, '-54', '-60', '-36']"
0,1,9,-64,"[0, '-54', '-60', '-36']"
1,1,10,-33,"['-54', '120', '-28', '-54']"
1,1,11,-33,"['-54', '120', '-28', '-54']"
1,1,12,-33,"['-54', '120', '-28', '-54']"
1,1,13,-33,"['-54', '120', '-28', '-54']"
1,1,14,-34,"['-54', '120', '-28', '-54']"
2,1,10,-37,"['-59', '-29', '0', '-43']"
2,1,11,-37,"['-59', '-29', '0', '-43']"
2,1,12,-37,"['-59', '-29', '0', '-43']"
2,1,13,-37,"['-59', '-29', '0', '-43']"
2,1,14,-37,"['-59', '-29', '0', '-43']"
3,1,10,-48,"['-36', '-55', '-43', '0']"
3,1,11,-48,"['-36', '-55', '-43', '0']"
3,1,12,-48,"['-36', '-55', '-43', '0']"
3,1,13,-48,"['-36', '-55', '-43', '0']"
3,1,14,-48,"['-36', '-55', '-43', '0']"
0,1,10,-64,"[0, '-54', '-60', '-36']"
0,1,11,-64,"[0, '-54', '-60', '-36']"
