RxNID,TXNID,PacketNo,TxRSSI,RSSI0,RSSI1,RSSI2,RSSI3
1,1,101,-48,"['-54', '120', '-28', '-50']"
1,1,102,-48,"['-54', '120', '-28', '-50']"
1,1,103,-48,"['-54', '120', '-28', '-50']"
1,1,104,-48,"['-54', '120', '-28', '-50']"
1,1,105,-48,"['-54', '120', '-28', '-50']"
2,1,101,-40,"['-60', '-29', '0', '-43']"
2,1,102,-40,"['-60', '-29', '0', '-43']"
2,1,103,-40,"['-60', '-29', '0', '-43']"
2,1,104,-40,"['-60', '-29', '0', '-43']"
2,1,105,-40,"['-60', '-29', '0', '-43']"
3,1,101,-48,"['-36', '-51', '-43', '0']"
3,1,102,-48,"['-36', '-51', '-43', '0']"
3,1,103,-48,"['-36', '-51', '-43', '0']"
3,1,104,-48,"['-36', '-51', '-43', '0']"
3,1,105,-48,"['-36', '-51', '-43', '0']"
0,1,101,-58,"[0, '-54', '-60', '-36']"
0,1,102,-58,"[0, '-54', '-60', '-36']"
0,1,103,-58,"[0, '-54', '-60', '-36']"
0,1,104,-58,"[0, '-54', '-60', '-36']"
0,1,105,-58,"[0, '-54', '-60', '-36']"
1,1,106,-48,"['-54', '120', '-28', '-50']"
1,1,107,-48,"['-54', '120', '-28', '-50']"
1,1,108,-48,"['-54', '120', '-28', '-50']"
1,1,109,-48,"['-54', '120', '-28', '-50']"
1,1,110,-48,"['-54', '120', '-28', '-50']"
2,1,106,-40,"['-60', '-29', '0', '-43']"
2,1,107,-40,"['-60', '-29', '0', '-43']"
2,1,108,-40,"['-60', '-29', '0', '-43']"
2,1,109,-40,"['-60', '-29', '0', '-43']"
2,1,110,-40,"['-60', '-29', '0', '-43']"
3,1,106,-48,"['-36', '-51', '-42', '0']"
3,1,107,-48,"['-36', '-51', '-42', '0']"
3,1,108,-48,"['-36', '-51', '-42', '0']"
3,1,109,-48,"['-36', '-51', '-42', '0']"
3,1,110,-48,"['-36', '-51', '-42', '0']"
0,1,106,-58,"[0, '-54', '-60', '-36']"
0,1,107,-58,"[0, '-54', '-60', '-36']"
0,1,108,-58,"[0, '-54', '-60', '-36']"
0,1,109,-58,"[0, '-54', '-60', '-36']"
0,1,110,-58,"[0, '-54', '-60', '-36']"
1,1,111,-49,"['-54', '120', '-28', '-50']"
1,1,112,-48,"['-54', '120', '-28', '-50']"
1,1,113,-48,"['-54', '120', '-28', '-50']"
1,1,114,-48,"['-54', '120', '-28', '-50']"
1,1,115,-48,"['-54', '120', '-28', '-50']"
2,1,111,-40,"['-60', '-29', '0', '-43']"
2,1,112,-40,"['-60', '-29', '0', '-43']"
2,1,113,-40,"['-60', '-29', '0', '-43']"
2,1,114,-40,"['-60', '-29', '0', '-43']"
2,1,115,-40,"['-60', '-29', '0', '-43']"
3,1,111,-48,"['-36', '-51', '-42', '0']"
3,1,112,-48,"['-36', '-51', '-42', '0']"
3,1,113,-48,"['-36', '-51', '-42', '0']"
3,1,114,-48,"['-36', '-51', '-42', '0']"
3,1,115,-48,"['-36', '-51', '-42', '0']"
0,1,111,-58,"[0, '-54', '-60', '-36']"
0,1,112,-58,"[0, '-54', '-60', '-36']"
0,1,113,-58,"[0, '-54', '-60', '-36']"
0,1,114,-59,"[0, '-54', '-60', '-36']"
0,1,115,-58,"[0, '-54', '-60', '-36']"
1,1,116,-48,"['-54', '120', '-28', '-50']"
1,1,117,-48,"['-54', '120', '-28', '-50']"
1,1,118,-48,"['-54', '120', '-28', '-50']"
1,1,119,-48,"['-54', '120', '-28', '-50']"
1,1,120,-48,"['-54', '120', '-28', '-50']"
2,1,116,-40,"['-60', '-29', '0', '-43']"
2,1,117,-40,"['-60', '-29', '0', '-43']"
2,1,118,-40,"['-60', '-29', '0', '-43']"
2,1,119,-40,"['-60', '-29', '0', '-43']"
2,1,120,-40,"['-60', '-29', '0', '-43']"
3,1,116,-48,"['-36', '-51', '-42', '0']"
3,1,117,-48,"['-36', '-51', '-42', '0']"
3,1,118,-48,"['-36', '-51', '-42', '0']"
3,1,119,-48,"['-36', '-51', '-42', '0']"
3,1,120,-48,"['-36', '-51', '-42', '0']"
0,1,116,-58,"[0, '-54', '-60', '-36']"
0,1,117,-58,"[0, '-54', '-60', '-36']"
0,1,118,-58,"[0, '-54', '-60', '-36']"
0,1,119,-58,"[0, '-54', '-60', '-36']"
0,1,120,-58,"[0, '-54', '-60', '-36']"
1,1,121,-49,"['-54', '120', '-28', '-50']"
1,1,122,-48,"['-54', '120', '-28', '-50']"
1,1,123,-48,"['-54', '120', '-28', '-50']"
1,1,124,-48,"['-54', '120', '-28', '-50']"
1,1,125,-48,"['-54', '120', '-28', '-50']"
2,1,121,-40,"['-60', '-29', '0', '-43']"
2,1,122,-40,"['-60', '-29', '0', '-43']"
2,1,123,-40,"['-60', '-29', '0', '-43']"
2,1,124,-40,"['-60', '-29', '0', '-43']"
2,1,125,-40,"['-60', '-29', '0', '-43']"
3,1,121,-48,"['-36', '-51', '-43', '0']"
3,1,122,-48,"['-36', '-51', '-43', '0']"
3,1,123,-48,"['-36', '-51', '-43', '0']"
3,1,124,-48,"['-36', '-51', '-43', '0']"
3,1,125,-48,"['-36', '-51', '-43', '0']"
0,1,121,-58,"[0, '-54', '-60', '-36']"
0,1,122,-58,"[0, '-54', '-60', '-36']"
0,1,123,-58,"[0, '-54', '-60', '-36']"
0,1,124,-58,"[0, '-54', '-60', '-36']"
0,1,125,-58,"[0, '-54', '-60', '-36']"
1,1,126,-48,"['-54', '120', '-28', '-50']"
1,1,127,-48,"['-54', '120', '-28', '-50']"
1,1,128,-48,"['-54', '120', '-28', '-50']"
1,1,129,-48,"['-54', '120', '-28', '-50']"
1,1,130,-48,"['-54', '120', '-28', '-50']"
2,1,126,-40,"['-60', '-29', '0', '-43']"
2,1,127,-40,"['-60', '-29', '0', '-43']"
2,1,128,-40,"['-60', '-29', '0', '-43']"
2,1,129,-40,"['-60', '-29', '0', '-43']"
2,1,130,-40,"['-60', '-29', '0', '-43']"
