RxNID,TXNID,PacketNo,TxRSSI,RSSI0,RSSI1,RSSI2,RSSI3
3,1,34,-48,"['-30', '-53', '-42', '0']"
3,1,35,-48,"['-30', '-53', '-42', '0']"
3,1,36,-48,"['-30', '-53', '-42', '0']"
3,1,37,-48,"['-30', '-53', '-42', '0']"
3,1,38,-48,"['-30', '-53', '-42', '0']"
0,1,34,-49,"[0, 1, 2, '-30']"
0,1,35,-49,"[0, 1, 2, '-30']"
0,1,36,-49,"[0, 1, 2, '-30']"
0,1,37,-49,"[0, 1, 2, '-30']"
0,1,38,-49,"[0, 1, 2, '-30']"
1,1,39,-37,"['-51', '120', '-41', '-53']"
1,1,40,-37,"['-51', '120', '-41', '-53']"
1,1,41,-37,"['-51', '120', '-41', '-53']"
1,1,42,-37,"['-51', '120', '-41', '-53']"
1,1,43,-37,"['-51', '120', '-41', '-53']"
2,1,39,-44,"['-56', '-41', '0', '-42']"
2,1,40,-45,"['-56', '-41', '0', '-42']"
2,1,41,-44,"['-56', '-41', '0', '-42']"
2,1,42,-45,"['-56', '-41', '0', '-42']"
2,1,43,-45,"['-56', '-41', '0', '-42']"
3,1,39,-48,"['-30', '-53', '-42', '0']"
3,1,40,-48,"['-30', '-53', '-42', '0']"
3,1,41,-48,"['-30', '-53', '-42', '0']"
3,1,42,-48,"['-30', '-53', '-42', '0']"
3,1,43,-48,"['-30', '-53', '-42', '0']"
0,1,39,-49,"[0, '-52', '-56', '-30']"
0,1,40,-49,"[0, '-52', '-56', '-30']"
0,1,41,-49,"[0, '-52', '-56', '-30']"
0,1,42,-49,"[0, '-52', '-56', '-30']"
0,1,43,-49,"[0, '-52', '-56', '-30']"
1,1,44,-37,"['-51', '120', '-41', '-53']"
1,1,45,-37,"['-51', '120', '-41', '-53']"
1,1,46,-37,"['-51', '120', '-41', '-53']"
1,1,47,-37,"['-51', '120', '-41', '-53']"
1,1,48,-37,"['-51', '120', '-41', '-53']"
2,1,44,-44,"['-56', '-41', '0', '-42']"
2,1,45,-44,"['-56', '-41', '0', '-42']"
2,1,46,-44,"['-56', '-41', '0', '-42']"
2,1,47,-45,"['-56', '-41', '0', '-42']"
2,1,48,-45,"['-56', '-41', '0', '-42']"
3,1,44,-48,"['-30', '-53', '-42', '0']"
3,1,45,-48,"['-30', '-53', '-42', '0']"
3,1,46,-48,"['-30', '-53', '-42', '0']"
3,1,47,-48,"['-30', '-53', '-42', '0']"
3,1,48,-48,"['-30', '-53', '-42', '0']"
0,1,44,-49,"[0, '-52', '-56', '-30']"
0,1,45,-49,"[0, '-52', '-56', '-30']"
0,1,46,-49,"[0, '-52', '-56', '-30']"
0,1,47,-49,"[0, '-52', '-56', '-30']"
0,1,48,-49,"[0, '-52', '-56', '-30']"
1,1,49,-37,"['-51', '120', '-41', '-52']"
1,1,50,-37,"['-51', '120', '-41', '-52']"
1,1,51,-37,"['-51', '120', '-41', '-52']"
1,1,52,-37,"['-51', '120', '-41', '-52']"
1,1,53,-37,"['-51', '120', '-41', '-52']"
2,1,49,-45,"['-56', '-41', '0', '-42']"
2,1,50,-45,"['-56', '-41', '0', '-42']"
2,1,51,-44,"['-56', '-41', '0', '-42']"
2,1,52,-45,"['-56', '-41', '0', '-42']"
2,1,53,-45,"['-56', '-41', '0', '-42']"
3,1,49,-48,"['-30', '-53', '-42', '0']"
3,1,50,-48,"['-30', '-53', '-42', '0']"
3,1,51,-48,"['-30', '-53', '-42', '0']"
3,1,52,-48,"['-30', '-53', '-42', '0']"
3,1,53,-48,"['-30', '-53', '-42', '0']"
0,1,49,-49,"[0, '-52', '-56', '-30']"
0,1,50,-49,"[0, '-52', '-56', '-30']"
0,1,51,-49,"[0, '-52', '-56', '-30']"
0,1,52,-49,"[0, '-52', '-56', '-30']"
0,1,53,-49,"[0, '-52', '-56', '-30']"
1,1,54,-37,"['-51', '120', '-41', '-53']"
1,1,55,-37,"['-51', '120', '-41', '-53']"
1,1,56,-37,"['-51', '120', '-41', '-53']"
1,1,57,-37,"['-51', '120', '-41', '-53']"
1,1,58,-37,"['-51', '120', '-41', '-53']"
2,1,54,-44,"['-56', '-41', '0', '-42']"
2,1,55,-44,"['-56', '-41', '0', '-42']"
2,1,56,-44,"['-56', '-41', '0', '-42']"
2,1,57,-44,"['-56', '-41', '0', '-42']"
2,1,58,-45,"['-56', '-41', '0', '-42']"
3,1,54,-48,"['-30', '-53', '-42', '0']"
3,1,55,-48,"['-30', '-53', '-42', '0']"
3,1,56,-48,"['-30', '-53', '-42', '0']"
3,1,57,-48,"['-30', '-53', '-42', '0']"
3,1,58,-48,"['-30', '-53', '-42', '0']"
0,1,54,-49,"[0, '-52', '-56', '-30']"
0,1,55,-49,"[0, '-52', '-56', '-30']"
0,1,56,-49,"[0, '-52', '-56', '-30']"
0,1,57,-49,"[0, '-52', '-56', '-30']"
0,1,58,-49,"[0, '-52', '-56', '-30']"
1,1,59,-37,"['-51', '120', '-41', '-53']"
1,1,60,-37,"['-51', '120', '-41', '-53']"
1,1,61,-37,"['-51', '120', '-41', '-53']"
1,1,62,-37,"['-51', '120', '-41', '-53']"
1,1,63,-37,"['-51', '120', '-41', '-53']"
2,1,59,-44,"['-56', '-41', '0', '-42']"
2,1,60,-44,"['-56', '-41', '0', '-42']"
2,1,61,-44,"['-56', '-41', '0', '-42']"
2,1,62,-44,"['-56', '-41', '0', '-42']"
2,1,63,-45,"['-56', '-41', '0', '-42']"
3,1,59,-48,"['-30', '-53', '-42', '0']"
3,1,60,-48,"['-30', '-53', '-42', '0']"
3,1,61,-48,"['-30', '-53', '-42', '0']"
3,1,62,-48,"['-30', '-53', '-42', '0']"
3,1,63,-48,"['-30', '-53', '-42', '0']"
0,1,59,-49,"[0, '-52', '-57', '-30']"
0,1,60,-50,"[0, '-52', '-57', '-30']"
0,1,61,-50,"[0, '-52', '-57', '-30']"
0,1,62,-49,"[0, '-52', '-57', '-30']"
0,1,63,-50,"[0, '-52', '-57', '-30']"
