RxNID,TXNID,PacketNo,TxRSSI,RSSI0,RSSI1,RSSI2,RSSI3
3,1,92,-55,"['-30', '-53', '-41', '0']"
3,1,93,-55,"['-30', '-53', '-41', '0']"
3,1,94,-55,"['-30', '-53', '-41', '0']"
3,1,95,-55,"['-30', '-53', '-41', '0']"
3,1,96,-55,"['-30', '-53', '-41', '0']"
0,1,92,-42,"[0, 1, 2, '-31']"
0,1,93,-42,"[0, 1, 2, '-31']"
0,1,94,-42,"[0, 1, 2, '-31']"
0,1,95,-42,"[0, 1, 2, '-31']"
0,1,96,-42,"[0, 1, 2, '-31']"
1,1,97,-42,"['-48', '120', '-40', '-53']"
1,1,98,-42,"['-48', '120', '-40', '-53']"
1,1,99,-42,"['-48', '120', '-40', '-53']"
1,1,100,-42,"['-48', '120', '-40', '-53']"
1,1,101,-42,"['-48', '120', '-40', '-53']"
2,1,97,-35,"['-50', '-41', '0', '-41']"
2,1,98,-35,"['-50', '-41', '0', '-41']"
2,1,99,-35,"['-50', '-41', '0', '-41']"
2,1,100,-35,"['-50', '-41', '0', '-41']"
2,1,101,-35,"['-50', '-41', '0', '-41']"
3,1,97,-54,"['-30', '-53', '-41', '0']"
3,1,98,-54,"['-30', '-53', '-41', '0']"
3,1,99,-54,"['-30', '-53', '-41', '0']"
3,1,100,-55,"['-30', '-53', '-41', '0']"
3,1,101,-55,"['-30', '-53', '-41', '0']"
0,1,97,-42,"[0, '-49', '-50', '-31']"
0,1,98,-42,"[0, '-49', '-50', '-31']"
0,1,99,-42,"[0, '-49', '-50', '-31']"
0,1,100,-42,"[0, '-49', '-50', '-31']"
0,1,101,-42,"[0, '-49', '-50', '-31']"
1,1,102,-42,"['-48', '120', '-40', '-53']"
1,1,103,-42,"['-48', '120', '-40', '-53']"
1,1,104,-42,"['-48', '120', '-40', '-53']"
1,1,105,-42,"['-48', '120', '-40', '-53']"
1,1,106,-42,"['-48', '120', '-40', '-53']"
2,1,102,-35,"['-50', '-41', '0', '-41']"
2,1,103,-35,"['-50', '-41', '0', '-41']"
2,1,104,-35,"['-50', '-41', '0', '-41']"
2,1,105,-35,"['-50', '-41', '0', '-41']"
2,1,106,-35,"['-50', '-41', '0', '-41']"
3,1,102,-54,"['-30', '-53', '-42', '0']"
3,1,103,-54,"['-30', '-53', '-42', '0']"
3,1,104,-54,"['-30', '-53', '-42', '0']"
3,1,105,-54,"['-30', '-53', '-42', '0']"
3,1,106,-54,"['-30', '-53', '-42', '0']"
0,1,102,-42,"[0, '-49', '-50', '-30']"
0,1,103,-42,"[0, '-49', '-50', '-30']"
0,1,104,-42,"[0, '-49', '-50', '-30']"
0,1,105,-42,"[0, '-49', '-50', '-30']"
0,1,106,-43,"[0, '-49', '-50', '-30']"
1,1,107,-42,"['-49', '120', '-41', '-53']"
1,1,108,-42,"['-49', '120', '-41', '-53']"
1,1,109,-42,"['-49', '120', '-41', '-53']"
1,1,110,-42,"['-49', '120', '-41', '-53']"
1,1,111,-42,"['-49', '120', '-41', '-53']"
2,1,107,-35,"['-50', '-41', '0', '-41']"
2,1,108,-35,"['-50', '-41', '0', '-41']"
2,1,109,-35,"['-50', '-41', '0', '-41']"
2,1,110,-35,"['-50', '-41', '0', '-41']"
2,1,111,-35,"['-50', '-41', '0', '-41']"
3,1,107,-54,"['-30', '-53', '-41', '0']"
3,1,108,-54,"['-30', '-53', '-41', '0']"
3,1,109,-54,"['-30', '-53', '-41', '0']"
3,1,110,-54,"['-30', '-53', '-41', '0']"
3,1,111,-54,"['-30', '-53', '-41', '0']"
0,1,107,-43,"[0, '-49', '-50', '-31']"
0,1,108,-43,"[0, '-49', '-50', '-31']"
0,1,109,-43,"[0, '-49', '-50', '-31']"
0,1,110,-43,"[0, '-49', '-50', '-31']"
0,1,111,-43,"[0, '-49', '-50', '-31']"
1,1,112,-42,"['-48', '120', '-41', '-53']"
1,1,113,-42,"['-48', '120', '-41', '-53']"
1,1,114,-42,"['-48', '120', '-41', '-53']"
1,1,115,-42,"['-48', '120', '-41', '-53']"
1,1,116,-42,"['-48', '120', '-41', '-53']"
2,1,112,-35,"['-50', '-41', '0', '-41']"
2,1,113,-35,"['-50', '-41', '0', '-41']"
2,1,114,-35,"['-50', '-41', '0', '-41']"
2,1,115,-35,"['-50', '-41', '0', '-41']"
2,1,116,-35,"['-50', '-41', '0', '-41']"
3,1,112,-54,"['-30', '-53', '-41', '0']"
3,1,113,-54,"['-30', '-53', '-41', '0']"
3,1,114,-54,"['-30', '-53', '-41', '0']"
3,1,115,-55,"['-30', '-53', '-41', '0']"
3,1,116,-54,"['-30', '-53', '-41', '0']"
0,1,112,-42,"[0, '-49', '-50', '-31']"
0,1,113,-42,"[0, '-49', '-50', '-31']"
0,1,114,-42,"[0, '-49', '-50', '-31']"
0,1,115,-42,"[0, '-49', '-50', '-31']"
0,1,116,-42,"[0, '-49', '-50', '-31']"
1,1,117,-42,"['-48', '120', '-40', '-53']"
1,1,118,-42,"['-48', '120', '-40', '-53']"
1,1,119,-42,"['-48', '120', '-40', '-53']"
1,1,120,-42,"['-48', '120', '-40', '-53']"
1,1,121,-42,"['-48', '120', '-40', '-53']"
2,1,117,-35,"['-50', '-41', '0', '-41']"
2,1,118,-35,"['-50', '-41', '0', '-41']"
2,1,119,-35,"['-50', '-41', '0', '-41']"
2,1,120,-35,"['-50', '-41', '0', '-41']"
2,1,121,-35,"['-50', '-41', '0', '-41']"
3,1,117,-54,"['-30', '-53', '-41', '0']"
3,1,118,-54,"['-30', '-53', '-41', '0']"
3,1,119,-54,"['-30', '-53', '-41', '0']"
3,1,120,-55,"['-30', '-53', '-41', '0']"
3,1,121,-54,"['-30', '-53', '-41', '0']"
0,1,117,-42,"[0, '-49', '-50', '-31']"
0,1,118,-42,"[0, '-49', '-50', '-31']"
0,1,119,-42,"[0, '-49', '-50', '-31']"
0,1,120,-42,"[0, '-49', '-50', '-31']"
0,1,121,-42,"[0, '-49', '-50', '-31']"
