RxNID,TXNID,PacketNo,TxRSSI,RSSI0,RSSI1,RSSI2,RSSI3
2,1,255,-26,"['-56', '-40', '0', '-42']"
2,1,0,-26,"['-56', '-40', '0', '-42']"
2,1,1,-26,"['-56', '-40', '0', '-42']"
2,1,2,-26,"['-56', '-40', '0', '-42']"
2,1,3,-26,"['-56', '-40', '0', '-42']"
3,1,255,-41,"['-30', '-52', '-42', '0']"
3,1,0,-41,"['-30', '-52', '-42', '0']"
3,1,1,-41,"['-30', '-52', '-42', '0']"
3,1,2,-41,"['-30', '-52', '-42', '0']"
3,1,3,-41,"['-30', '-52', '-42', '0']"
0,1,255,-54,"[0, 1, '-56', '-30']"
0,1,0,-54,"[0, 1, '-56', '-30']"
0,1,1,-54,"[0, 1, '-56', '-30']"
0,1,2,-54,"[0, 1, '-56', '-30']"
0,1,3,-54,"[0, 1, '-56', '-30']"
1,1,4,-39,"['-48', '120', '-40', '-52']"
1,1,5,-39,"['-48', '120', '-40', '-52']"
1,1,6,-39,"['-48', '120', '-40', '-52']"
1,1,7,-39,"['-48', '120', '-40', '-52']"
1,1,8,-39,"['-48', '120', '-40', '-52']"
2,1,4,-26,"['-56', '-40', '0', '-42']"
2,1,5,-26,"['-56', '-40', '0', '-42']"
2,1,6,-26,"['-56', '-40', '0', '-42']"
2,1,7,-26,"['-56', '-40', '0', '-42']"
2,1,8,-26,"['-56', '-40', '0', '-42']"
3,1,4,-41,"['-30', '-52', '-42', '0']"
3,1,5,-41,"['-30', '-52', '-42', '0']"
3,1,6,-41,"['-30', '-52', '-42', '0']"
3,1,7,-41,"['-30', '-52', '-42', '0']"
3,1,8,-41,"['-30', '-52', '-42', '0']"
0,1,4,-54,"[0, '-49', '-56', '-30']"
0,1,5,-54,"[0, '-49', '-56', '-30']"
0,1,6,-54,"[0, '-49', '-56', '-30']"
0,1,7,-54,"[0, '-49', '-56', '-30']"
0,1,8,-54,"[0, '-49', '-56', '-30']"
1,1,9,-39,"['-48', '120', '-40', '-52']"
