RxNID,TXNID,PacketNo,TxRSSI,RSSI0,RSSI1,RSSI2,RSSI3
3,1,99,-25,"['-30', '-52', '-42', '0']"
3,1,100,-25,"['-30', '-52', '-42', '0']"
3,1,101,-25,"['-30', '-52', '-42', '0']"
3,1,102,-25,"['-30', '-52', '-42', '0']"
3,1,103,-25,"['-30', '-52', '-42', '0']"
0,1,99,-33,"[0, 1, 2, '-30']"
0,1,100,-33,"[0, 1, 2, '-30']"
0,1,101,-33,"[0, 1, 2, '-30']"
0,1,102,-33,"[0, 1, 2, '-30']"
0,1,103,-33,"[0, 1, 2, '-30']"
1,1,104,-49,"['-48', '120', '-39', '-52']"
1,1,105,-49,"['-48', '120', '-39', '-52']"
1,1,106,-49,"['-48', '120', '-39', '-52']"
1,1,107,-49,"['-48', '120', '-39', '-52']"
1,1,108,-49,"['-48', '120', '-39', '-52']"
2,1,104,-38,"['-49', '-40', '0', '-42']"
2,1,105,-39,"['-49', '-40', '0', '-42']"
2,1,106,-38,"['-49', '-40', '0', '-42']"
2,1,107,-38,"['-49', '-40', '0', '-42']"
2,1,108,-38,"['-49', '-40', '0', '-42']"
3,1,104,-25,"['-30', '-52', '-42', '0']"
3,1,105,-25,"['-30', '-52', '-42', '0']"
3,1,106,-25,"['-30', '-52', '-42', '0']"
3,1,107,-25,"['-30', '-52', '-42', '0']"
3,1,108,-25,"['-30', '-52', '-42', '0']"
0,1,104,-33,"[0, '-49', '-50', '-30']"
0,1,105,-33,"[0, '-49', '-50', '-30']"
0,1,106,-33,"[0, '-49', '-50', '-30']"
0,1,107,-33,"[0, '-49', '-50', '-30']"
0,1,108,-33,"[0, '-49', '-50', '-30']"
1,1,109,-49,"['-48', '120', '-39', '-52']"
1,1,110,-49,"['-48', '120', '-39', '-52']"
1,1,111,-49,"['-48', '120', '-39', '-52']"
1,1,112,-49,"['-48', '120', '-39', '-52']"
1,1,113,-49,"['-48', '120', '-39', '-52']"
2,1,109,-38,"['-50', '-40', '0', '-42']"
2,1,110,-38,"['-50', '-40', '0', '-42']"
2,1,111,-38,"['-50', '-40', '0', '-42']"
2,1,112,-39,"['-50', '-40', '0', '-42']"
2,1,113,-39,"['-50', '-40', '0', '-42']"
3,1,109,-25,"['-30', '-52', '-42', '0']"
3,1,110,-25,"['-30', '-52', '-42', '0']"
3,1,111,-25,"['-30', '-52', '-42', '0']"
3,1,112,-25,"['-30', '-52', '-42', '0']"
3,1,113,-25,"['-30', '-52', '-42', '0']"
0,1,109,-33,"[0, '-49', '-50', '-30']"
0,1,110,-33,"[0, '-49', '-50', '-30']"
0,1,111,-33,"[0, '-49', '-50', '-30']"
0,1,112,-33,"[0, '-49', '-50', '-30']"
0,1,113,-33,"[0, '-49', '-50', '-30']"
1,1,114,-49,"['-48', '120', '-39', '-52']"
1,1,115,-49,"['-48', '120', '-39', '-52']"
1,1,116,-49,"['-48', '120', '-39', '-52']"
1,1,117,-49,"['-48', '120', '-39', '-52']"
1,1,118,-49,"['-48', '120', '-39', '-52']"
2,1,114,-38,"['-50', '-40', '0', '-42']"
