RxNID,TXNID,PacketNo,TxRSSI,RSSI0,RSSI1,RSSI2,RSSI3
2,1,95,-59,"['-50', '-40', '0', '-42']"
2,1,96,-60,"['-50', '-40', '0', '-42']"
2,1,97,-60,"['-50', '-40', '0', '-42']"
2,1,98,-59,"['-50', '-40', '0', '-42']"
2,1,99,-59,"['-50', '-40', '0', '-42']"
3,1,96,-37,"['-31', '-52', '-42', '0']"
3,1,97,-37,"['-31', '-52', '-42', '0']"
3,1,98,-37,"['-31', '-52', '-42', '0']"
3,1,99,-37,"['-31', '-52', '-42', '0']"
3,1,95,-37,"['-31', '-52', '-42', '0']"
0,1,95,-31,"[0, 1, '-50', '-31']"
0,1,96,-31,"[0, 1, '-50', '-31']"
0,1,97,-30,"[0, 1, '-50', '-31']"
0,1,98,-30,"[0, 1, '-50', '-31']"
0,1,99,-30,"[0, 1, '-50', '-31']"
1,1,100,-47,"['-49', '120', '-39', '-52']"
1,1,101,-47,"['-49', '120', '-39', '-52']"
1,1,102,-47,"['-49', '120', '-39', '-52']"
1,1,103,-48,"['-49', '120', '-39', '-52']"
1,1,104,-48,"['-49', '120', '-39', '-52']"
2,1,100,-56,"['-52', '-40', '0', '-42']"
2,1,101,-56,"['-52', '-40', '0', '-42']"
2,1,102,-56,"['-52', '-40', '0', '-42']"
2,1,103,-56,"['-52', '-40', '0', '-42']"
2,1,104,-57,"['-52', '-40', '0', '-42']"
3,1,101,-38,"['-30', '-52', '-42', '0']"
3,1,102,-38,"['-30', '-52', '-42', '0']"
3,1,103,-38,"['-30', '-52', '-42', '0']"
3,1,104,-38,"['-30', '-52', '-42', '0']"
3,1,100,-38,"['-30', '-52', '-42', '0']"
0,1,100,-32,"[0, '-50', '-52', '-30']"
0,1,101,-32,"[0, '-50', '-52', '-30']"
0,1,102,-32,"[0, '-50', '-52', '-30']"
0,1,103,-32,"[0, '-50', '-52', '-30']"
0,1,104,-31,"[0, '-50', '-52', '-30']"
1,1,105,-48,"['-50', '120', '-39', '-52']"
1,1,106,-48,"['-50', '120', '-39', '-52']"
1,1,107,-48,"['-50', '120', '-39', '-52']"
1,1,108,-48,"['-50', '120', '-39', '-52']"
1,1,109,-48,"['-50', '120', '-39', '-52']"
2,1,105,-58,"['-51', '-40', '0', '-42']"
2,1,106,-57,"['-51', '-40', '0', '-42']"
2,1,107,-56,"['-51', '-40', '0', '-42']"
2,1,108,-57,"['-51', '-40', '0', '-42']"
2,1,109,-58,"['-51', '-40', '0', '-42']"
3,1,106,-39,"['-30', '-52', '-42', '0']"
3,1,107,-38,"['-30', '-52', '-42', '0']"
3,1,108,-38,"['-30', '-52', '-42', '0']"
3,1,109,-38,"['-30', '-52', '-42', '0']"
3,1,105,-39,"['-30', '-52', '-42', '0']"
0,1,105,-31,"[0, '-51', '-51', '-30']"
0,1,106,-30,"[0, '-51', '-51', '-30']"
0,1,107,-30,"[0, '-51', '-51', '-30']"
0,1,108,-30,"[0, '-51', '-51', '-30']"
0,1,109,-31,"[0, '-51', '-51', '-30']"
1,1,110,-46,"['-51', '120', '-39', '-52']"
1,1,111,-46,"['-51', '120', '-39', '-52']"
1,1,112,-46,"['-51', '120', '-39', '-52']"
1,1,113,-46,"['-51', '120', '-39', '-52']"
1,1,114,-47,"['-51', '120', '-39', '-52']"
2,1,110,-56,"['-51', '-40', '0', '-42']"
2,1,111,-56,"['-51', '-40', '0', '-42']"
2,1,112,-57,"['-51', '-40', '0', '-42']"
2,1,113,-57,"['-51', '-40', '0', '-42']"
2,1,114,-56,"['-51', '-40', '0', '-42']"
3,1,111,-38,"['-30', '-52', '-42', '0']"
3,1,112,-38,"['-30', '-52', '-42', '0']"
3,1,113,-38,"['-30', '-52', '-42', '0']"
3,1,114,-39,"['-30', '-52', '-42', '0']"
3,1,110,-38,"['-30', '-52', '-42', '0']"
0,1,110,-32,"[0, '-53', '-51', '-30']"
0,1,111,-32,"[0, '-53', '-51', '-30']"
0,1,112,-32,"[0, '-53', '-51', '-30']"
0,1,113,-31,"[0, '-53', '-51', '-30']"
0,1,114,-31,"[0, '-53', '-51', '-30']"
1,1,115,-47,"['-51', '120', '-39', '-52']"
1,1,116,-47,"['-51', '120', '-39', '-52']"
1,1,117,-47,"['-51', '120', '-39', '-52']"
1,1,118,-47,"['-51', '120', '-39', '-52']"
1,1,119,-47,"['-51', '120', '-39', '-52']"
2,1,115,-56,"['-51', '-40', '0', '-42']"
2,1,116,-56,"['-51', '-40', '0', '-42']"
2,1,117,-56,"['-51', '-40', '0', '-42']"
2,1,118,-56,"['-51', '-40', '0', '-42']"
2,1,119,-56,"['-51', '-40', '0', '-42']"
3,1,116,-37,"['-30', '-52', '-42', '0']"
3,1,117,-37,"['-30', '-52', '-42', '0']"
3,1,118,-37,"['-30', '-52', '-42', '0']"
3,1,119,-37,"['-30', '-52', '-42', '0']"
3,1,115,-37,"['-30', '-52', '-42', '0']"
0,1,115,-31,"[0, '-52', '-52', '-30']"
0,1,116,-31,"[0, '-52', '-52', '-30']"
0,1,117,-31,"[0, '-52', '-52', '-30']"
0,1,118,-31,"[0, '-52', '-52', '-30']"
0,1,119,-31,"[0, '-52', '-52', '-30']"
1,1,120,-47,"['-50', '120', '-39', '-52']"
1,1,121,-47,"['-50', '120', '-39', '-52']"
1,1,122,-47,"['-50', '120', '-39', '-52']"
1,1,123,-47,"['-50', '120', '-39', '-52']"
1,1,124,-47,"['-50', '120', '-39', '-52']"
2,1,120,-56,"['-51', '-40', '0', '-42']"
2,1,121,-56,"['-51', '-40', '0', '-42']"
2,1,122,-56,"['-51', '-40', '0', '-42']"
2,1,123,-56,"['-51', '-40', '0', '-42']"
2,1,124,-56,"['-51', '-40', '0', '-42']"
3,1,121,-37,"['-30', '-52', '-42', '0']"
3,1,122,-37,"['-30', '-52', '-42', '0']"
3,1,123,-37,"['-30', '-52', '-42', '0']"
3,1,124,-37,"['-30', '-52', '-42', '0']"
3,1,120,-37,"['-30', '-52', '-42', '0']"
