RxNID,TXNID,PacketNo,TxRSSI,RSSI0,RSSI1,RSSI2,RSSI3
2,1,138,-49,"['-49', '-39', '0', '-41']"
2,1,139,-49,"['-49', '-39', '0', '-41']"
2,1,140,-49,"['-49', '-39', '0', '-41']"
2,1,141,-48,"['-49', '-39', '0', '-41']"
2,1,142,-48,"['-49', '-39', '0', '-41']"
3,1,139,-52,"['-30', '-53', '-41', '0']"
3,1,140,-54,"['-30', '-53', '-41', '0']"
3,1,141,-53,"['-30', '-53', '-41', '0']"
3,1,142,-51,"['-30', '-53', '-41', '0']"
3,1,138,-50,"['-30', '-53', '-41', '0']"
0,1,138,-33,"[0, 1, '-51', '-30']"
0,1,139,-33,"[0, 1, '-51', '-30']"
0,1,140,-32,"[0, 1, '-51', '-30']"
0,1,141,-32,"[0, 1, '-51', '-30']"
0,1,142,-31,"[0, 1, '-51', '-30']"
1,1,143,-42,"['-47', '120', '-39', '-52']"
1,1,144,-42,"['-47', '120', '-39', '-52']"
1,1,145,-42,"['-47', '120', '-39', '-52']"
1,1,146,-42,"['-47', '120', '-39', '-52']"
1,1,147,-41,"['-47', '120', '-39', '-52']"
2,1,143,-48,"['-50', '-40', '0', '-42']"
2,1,144,-48,"['-50', '-40', '0', '-42']"
2,1,145,-48,"['-50', '-40', '0', '-42']"
2,1,146,-48,"['-50', '-40', '0', '-42']"
2,1,147,-48,"['-50', '-40', '0', '-42']"
3,1,144,-46,"['-30', '-52', '-41', '0']"
3,1,145,-46,"['-30', '-52', '-41', '0']"
3,1,146,-46,"['-30', '-52', '-41', '0']"
3,1,147,-45,"['-30', '-52', '-41', '0']"
3,1,143,-48,"['-30', '-52', '-41', '0']"
0,1,143,-31,"[0, '-49', '-50', '-30']"
0,1,144,-30,"[0, '-49', '-50', '-30']"
0,1,145,-30,"[0, '-49', '-50', '-30']"
0,1,146,-30,"[0, '-49', '-50', '-30']"
0,1,147,-30,"[0, '-49', '-50', '-30']"
1,1,148,-41,"['-49', '120', '-39', '-52']"
1,1,149,-41,"['-49', '120', '-39', '-52']"
1,1,150,-42,"['-49', '120', '-39', '-52']"
1,1,151,-42,"['-49', '120', '-39', '-52']"
1,1,152,-42,"['-49', '120', '-39', '-52']"
2,1,148,-48,"['-50', '-40', '0', '-41']"
2,1,149,-48,"['-50', '-40', '0', '-41']"
2,1,150,-48,"['-50', '-40', '0', '-41']"
2,1,151,-48,"['-50', '-40', '0', '-41']"
2,1,152,-48,"['-50', '-40', '0', '-41']"
3,1,149,-56,"['-30', '-52', '-42', '0']"
3,1,150,-55,"['-30', '-52', '-42', '0']"
3,1,151,-54,"['-30', '-52', '-42', '0']"
3,1,152,-53,"['-30', '-52', '-42', '0']"
3,1,148,-58,"['-30', '-52', '-42', '0']"
0,1,148,-30,"[0, '-51', '-50', '-30']"
0,1,149,-30,"[0, '-51', '-50', '-30']"
0,1,150,-30,"[0, '-51', '-50', '-30']"
0,1,151,-30,"[0, '-51', '-50', '-30']"
0,1,152,-31,"[0, '-51', '-50', '-30']"
1,1,153,-41,"['-49', '120', '-39', '-52']"
1,1,154,-42,"['-49', '120', '-39', '-52']"
1,1,155,-41,"['-49', '120', '-39', '-52']"
1,1,156,-42,"['-49', '120', '-39', '-52']"
1,1,157,-42,"['-49', '120', '-39', '-52']"
2,1,153,-48,"['-50', '-39', '0', '-41']"
2,1,154,-48,"['-50', '-39', '0', '-41']"
2,1,155,-48,"['-50', '-39', '0', '-41']"
2,1,156,-48,"['-50', '-39', '0', '-41']"
2,1,157,-48,"['-50', '-39', '0', '-41']"
3,1,154,-49,"['-30', '-53', '-42', '0']"
3,1,155,-49,"['-30', '-53', '-42', '0']"
3,1,156,-49,"['-30', '-53', '-42', '0']"
3,1,157,-49,"['-30', '-53', '-42', '0']"
3,1,153,-49,"['-30', '-53', '-42', '0']"
0,1,153,-31,"[0, '-50', '-50', '-30']"
0,1,154,-31,"[0, '-50', '-50', '-30']"
0,1,155,-31,"[0, '-50', '-50', '-30']"
0,1,156,-31,"[0, '-50', '-50', '-30']"
0,1,157,-31,"[0, '-50', '-50', '-30']"
1,1,158,-41,"['-49', '120', '-39', '-52']"
1,1,159,-41,"['-49', '120', '-39', '-52']"
1,1,160,-41,"['-49', '120', '-39', '-52']"
1,1,161,-42,"['-49', '120', '-39', '-52']"
1,1,162,-41,"['-49', '120', '-39', '-52']"
2,1,158,-48,"['-50', '-39', '0', '-42']"
2,1,159,-48,"['-50', '-39', '0', '-42']"
2,1,160,-48,"['-50', '-39', '0', '-42']"
2,1,161,-48,"['-50', '-39', '0', '-42']"
2,1,162,-48,"['-50', '-39', '0', '-42']"
3,1,159,-51,"['-30', '-52', '-41', '0']"
3,1,160,-51,"['-30', '-52', '-41', '0']"
3,1,161,-51,"['-30', '-52', '-41', '0']"
3,1,162,-51,"['-30', '-52', '-41', '0']"
3,1,158,-51,"['-30', '-52', '-41', '0']"
0,1,158,-31,"[0, '-50', '-50', '-30']"
0,1,159,-31,"[0, '-50', '-50', '-30']"
0,1,160,-31,"[0, '-50', '-50', '-30']"
0,1,161,-31,"[0, '-50', '-50', '-30']"
0,1,162,-31,"[0, '-50', '-50', '-30']"
1,1,163,-41,"['-49', '120', '-39', '-52']"
1,1,164,-41,"['-49', '120', '-39', '-52']"
1,1,165,-41,"['-49', '120', '-39', '-52']"
1,1,166,-41,"['-49', '120', '-39', '-52']"
1,1,167,-41,"['-49', '120', '-39', '-52']"
2,1,163,-48,"['-50', '-40', '0', '-42']"
2,1,164,-48,"['-50', '-40', '0', '-42']"
2,1,165,-48,"['-50', '-40', '0', '-42']"
2,1,166,-48,"['-50', '-40', '0', '-42']"
2,1,167,-48,"['-50', '-40', '0', '-42']"
3,1,164,-50,"['-30', '-52', '-41', '0']"
3,1,165,-50,"['-30', '-52', '-41', '0']"
3,1,166,-50,"['-30', '-52', '-41', '0']"
3,1,167,-50,"['-30', '-52', '-41', '0']"
3,1,163,-50,"['-30', '-52', '-41', '0']"
