RxNID,TXNID,PacketNo,TxRSSI,RSSI0,RSSI1,RSSI2,RSSI3
3,1,99,-56,"['-30', '-50', '-42', '0']"
3,1,100,-56,"['-30', '-50', '-42', '0']"
3,1,101,-56,"['-30', '-50', '-42', '0']"
3,1,102,-56,"['-30', '-50', '-42', '0']"
3,1,103,-56,"['-30', '-50', '-42', '0']"
0,1,101,-54,"[0, 1, 2, '-31']"
0,1,102,-54,"[0, 1, 2, '-31']"
0,1,103,-53,"[0, 1, 2, '-31']"
0,1,99,-54,"[0, 1, 2, '-31']"
0,1,100,-53,"[0, 1, 2, '-31']"
1,1,104,-40,"['-48', '120', '-39', '-50']"
1,1,105,-40,"['-48', '120', '-39', '-50']"
1,1,106,-40,"['-48', '120', '-39', '-50']"
1,1,107,-40,"['-48', '120', '-39', '-50']"
1,1,108,-41,"['-48', '120', '-39', '-50']"
2,1,104,-49,"['-56', '-39', '0', '-42']"
2,1,105,-49,"['-56', '-39', '0', '-42']"
2,1,106,-49,"['-56', '-39', '0', '-42']"
2,1,107,-49,"['-56', '-39', '0', '-42']"
2,1,108,-49,"['-56', '-39', '0', '-42']"
3,1,104,-56,"['-30', '-50', '-42', '0']"
3,1,105,-56,"['-30', '-50', '-42', '0']"
3,1,106,-56,"['-30', '-50', '-42', '0']"
3,1,107,-56,"['-30', '-50', '-42', '0']"
3,1,108,-56,"['-30', '-50', '-42', '0']"
0,1,106,-54,"[0, '-49', '-57', '-31']"
0,1,107,-54,"[0, '-49', '-57', '-31']"
0,1,108,-54,"[0, '-49', '-57', '-31']"
0,1,104,-54,"[0, '-49', '-57', '-31']"
0,1,105,-54,"[0, '-49', '-57', '-31']"
1,1,109,-41,"['-48', '120', '-39', '-50']"
1,1,110,-41,"['-48', '120', '-39', '-50']"
1,1,111,-40,"['-48', '120', '-39', '-50']"
1,1,112,-40,"['-48', '120', '-39', '-50']"
1,1,113,-41,"['-48', '120', '-39', '-50']"
2,1,109,-49,"['-56', '-39', '0', '-42']"
2,1,110,-49,"['-56', '-39', '0', '-42']"
2,1,111,-49,"['-56', '-39', '0', '-42']"
2,1,112,-49,"['-56', '-39', '0', '-42']"
2,1,113,-49,"['-56', '-39', '0', '-42']"
3,1,109,-56,"['-30', '-50', '-42', '0']"
3,1,110,-56,"['-30', '-50', '-42', '0']"
3,1,111,-56,"['-30', '-50', '-42', '0']"
3,1,112,-56,"['-30', '-50', '-42', '0']"
3,1,113,-56,"['-30', '-50', '-42', '0']"
0,1,111,-54,"[0, '-49', '-57', '-31']"
0,1,112,-54,"[0, '-49', '-57', '-31']"
0,1,113,-54,"[0, '-49', '-57', '-31']"
0,1,109,-54,"[0, '-49', '-57', '-31']"
0,1,110,-54,"[0, '-49', '-57', '-31']"
1,1,114,-40,"['-48', '120', '-39', '-50']"
1,1,115,-40,"['-48', '120', '-39', '-50']"
1,1,116,-40,"['-48', '120', '-39', '-50']"
1,1,117,-40,"['-48', '120', '-39', '-50']"
1,1,118,-41,"['-48', '120', '-39', '-50']"
2,1,114,-49,"['-56', '-39', '0', '-42']"
2,1,115,-49,"['-56', '-39', '0', '-42']"
2,1,116,-49,"['-56', '-39', '0', '-42']"
2,1,117,-49,"['-56', '-39', '0', '-42']"
2,1,118,-49,"['-56', '-39', '0', '-42']"
3,1,114,-56,"['-30', '-50', '-42', '0']"
3,1,115,-56,"['-30', '-50', '-42', '0']"
3,1,116,-56,"['-30', '-50', '-42', '0']"
3,1,117,-56,"['-30', '-50', '-42', '0']"
3,1,118,-56,"['-30', '-50', '-42', '0']"
0,1,116,-54,"[0, '-49', '-57', '-31']"
0,1,117,-54,"[0, '-49', '-57', '-31']"
0,1,118,-54,"[0, '-49', '-57', '-31']"
0,1,114,-54,"[0, '-49', '-57', '-31']"
0,1,115,-54,"[0, '-49', '-57', '-31']"
1,1,119,-40,"['-48', '120', '-39', '-50']"
1,1,120,-41,"['-48', '120', '-39', '-50']"
1,1,121,-41,"['-48', '120', '-39', '-50']"
1,1,122,-40,"['-48', '120', '-39', '-50']"
1,1,123,-41,"['-48', '120', '-39', '-50']"
2,1,119,-49,"['-57', '-39', '0', '-42']"
2,1,120,-49,"['-57', '-39', '0', '-42']"
2,1,121,-49,"['-57', '-39', '0', '-42']"
2,1,122,-49,"['-57', '-39', '0', '-42']"
2,1,123,-49,"['-57', '-39', '0', '-42']"
3,1,119,-56,"['-31', '-50', '-42', '0']"
3,1,120,-56,"['-31', '-50', '-42', '0']"
3,1,121,-56,"['-31', '-50', '-42', '0']"
3,1,122,-56,"['-31', '-50', '-42', '0']"
3,1,123,-56,"['-31', '-50', '-42', '0']"
0,1,121,-54,"[0, '-49', '-57', '-31']"
0,1,122,-54,"[0, '-49', '-57', '-31']"
0,1,123,-54,"[0, '-49', '-57', '-31']"
0,1,119,-54,"[0, '-49', '-57', '-31']"
0,1,120,-54,"[0, '-49', '-57', '-31']"
1,1,124,-40,"['-48', '120', '-39', '-50']"
1,1,125,-40,"['-48', '120', '-39', '-50']"
1,1,126,-41,"['-48', '120', '-39', '-50']"
1,1,127,-41,"['-48', '120', '-39', '-50']"
1,1,128,-41,"['-48', '120', '-39', '-50']"
2,1,124,-49,"['-57', '-39', '0', '-42']"
2,1,125,-49,"['-57', '-39', '0', '-42']"
2,1,126,-49,"['-57', '-39', '0', '-42']"
2,1,127,-49,"['-57', '-39', '0', '-42']"
2,1,128,-49,"['-57', '-39', '0', '-42']"
3,1,124,-56,"['-30', '-50', '-42', '0']"
3,1,125,-56,"['-30', '-50', '-42', '0']"
3,1,126,-56,"['-30', '-50', '-42', '0']"
3,1,127,-56,"['-30', '-50', '-42', '0']"
3,1,128,-56,"['-30', '-50', '-42', '0']"
0,1,126,-54,"[0, '-49', '-57', '-31']"
0,1,127,-54,"[0, '-49', '-57', '-31']"
0,1,128,-54,"[0, '-49', '-57', '-31']"
0,1,124,-54,"[0, '-49', '-57', '-31']"
0,1,125,-54,"[0, '-49', '-57', '-31']"
