RxNID,TXNID,PacketNo,TxRSSI,RSSI0,RSSI1,RSSI2,RSSI3
1,1,44,-45,"['-48', '120', '-40', '-52']"
1,1,45,-45,"['-48', '120', '-40', '-52']"
1,1,46,-45,"['-48', '120', '-40', '-52']"
1,1,47,-45,"['-48', '120', '-40', '-52']"
1,1,48,-45,"['-48', '120', '-40', '-52']"
2,1,44,-27,"['-55', '-40', '0', '-42']"
2,1,45,-27,"['-55', '-40', '0', '-42']"
2,1,46,-27,"['-55', '-40', '0', '-42']"
2,1,47,-27,"['-55', '-40', '0', '-42']"
2,1,48,-27,"['-55', '-40', '0', '-42']"
3,1,44,-54,"['-30', '-52', '-42', '0']"
3,1,45,-54,"['-30', '-52', '-42', '0']"
3,1,46,-54,"['-30', '-52', '-42', '0']"
3,1,47,-54,"['-30', '-52', '-42', '0']"
3,1,48,-54,"['-30', '-52', '-42', '0']"
0,1,44,-53,"[0, '-48', '-55', '-31']"
0,1,45,-53,"[0, '-48', '-55', '-31']"
0,1,46,-53,"[0, '-48', '-55', '-31']"
0,1,47,-53,"[0, '-48', '-55', '-31']"
0,1,48,-53,"[0, '-48', '-55', '-31']"
1,1,49,-45,"['-48', '120', '-40', '-52']"
1,1,50,-45,"['-48', '120', '-40', '-52']"
1,1,51,-45,"['-48', '120', '-40', '-52']"
1,1,52,-45,"['-48', '120', '-40', '-52']"
1,1,53,-45,"['-48', '120', '-40', '-52']"
2,1,49,-27,"['-55', '-40', '0', '-42']"
2,1,50,-27,"['-55', '-40', '0', '-42']"
2,1,51,-27,"['-55', '-40', '0', '-42']"
2,1,52,-27,"['-55', '-40', '0', '-42']"
2,1,53,-27,"['-55', '-40', '0', '-42']"
3,1,49,-53,"['-30', '-52', '-42', '0']"
3,1,50,-54,"['-30', '-52', '-42', '0']"
3,1,51,-54,"['-30', '-52', '-42', '0']"
3,1,52,-54,"['-30', '-52', '-42', '0']"
3,1,53,-53,"['-30', '-52', '-42', '0']"
0,1,49,-53,"[0, '-48', '-55', '-30']"
0,1,50,-53,"[0, '-48', '-55', '-30']"
0,1,51,-53,"[0, '-48', '-55', '-30']"
0,1,52,-53,"[0, '-48', '-55', '-30']"
0,1,53,-53,"[0, '-48', '-55', '-30']"
1,1,54,-45,"['-48', '120', '-40', '-52']"
1,1,55,-45,"['-48', '120', '-40', '-52']"
1,1,56,-45,"['-48', '120', '-40', '-52']"
1,1,57,-45,"['-48', '120', '-40', '-52']"
1,1,58,-45,"['-48', '120', '-40', '-52']"
2,1,54,-27,"['-55', '-40', '0', '-42']"
2,1,55,-27,"['-55', '-40', '0', '-42']"
2,1,56,-27,"['-55', '-40', '0', '-42']"
2,1,57,-27,"['-55', '-40', '0', '-42']"
2,1,58,-27,"['-55', '-40', '0', '-42']"
3,1,54,-54,"['-30', '-52', '-42', '0']"
3,1,55,-54,"['-30', '-52', '-42', '0']"
3,1,56,-54,"['-30', '-52', '-42', '0']"
3,1,57,-54,"['-30', '-52', '-42', '0']"
3,1,58,-54,"['-30', '-52', '-42', '0']"
0,1,54,-53,"[0, '-48', '-55', '-30']"
0,1,55,-53,"[0, '-48', '-55', '-30']"
0,1,56,-53,"[0, '-48', '-55', '-30']"
0,1,57,-53,"[0, '-48', '-55', '-30']"
0,1,58,-53,"[0, '-48', '-55', '-30']"
1,1,59,-45,"['-48', '120', '-40', '-52']"
1,1,60,-45,"['-48', '120', '-40', '-52']"
1,1,61,-45,"['-48', '120', '-40', '-52']"
1,1,62,-45,"['-48', '120', '-40', '-52']"
1,1,63,-45,"['-48', '120', '-40', '-52']"
2,1,59,-27,"['-55', '-40', '0', '-42']"
2,1,60,-27,"['-55', '-40', '0', '-42']"
2,1,61,-27,"['-55', '-40', '0', '-42']"
2,1,62,-27,"['-55', '-40', '0', '-42']"
2,1,63,-27,"['-55', '-40', '0', '-42']"
3,1,59,-54,"['-30', '-52', '-42', '0']"
3,1,60,-54,"['-30', '-52', '-42', '0']"
3,1,61,-54,"['-30', '-52', '-42', '0']"
3,1,62,-54,"['-30', '-52', '-42', '0']"
3,1,63,-54,"['-30', '-52', '-42', '0']"
0,1,59,-53,"[0, '-48', '-55', '-31']"
0,1,60,-53,"[0, '-48', '-55', '-31']"
0,1,61,-53,"[0, '-48', '-55', '-31']"
0,1,62,-53,"[0, '-48', '-55', '-31']"
0,1,63,-53,"[0, '-48', '-55', '-31']"
1,1,64,-45,"['-48', '120', '-40', '-52']"
1,1,65,-45,"['-48', '120', '-40', '-52']"
1,1,66,-45,"['-48', '120', '-40', '-52']"
1,1,67,-45,"['-48', '120', '-40', '-52']"
1,1,68,-45,"['-48', '120', '-40', '-52']"
2,1,64,-27,"['-55', '-40', '0', '-42']"
2,1,65,-27,"['-55', '-40', '0', '-42']"
2,1,66,-27,"['-55', '-40', '0', '-42']"
2,1,67,-27,"['-55', '-40', '0', '-42']"
2,1,68,-27,"['-55', '-40', '0', '-42']"
3,1,64,-54,"['-30', '-52', '-42', '0']"
3,1,65,-54,"['-30', '-52', '-42', '0']"
3,1,66,-54,"['-30', '-52', '-42', '0']"
3,1,67,-54,"['-30', '-52', '-42', '0']"
3,1,68,-54,"['-30', '-52', '-42', '0']"
0,1,64,-53,"[0, '-48', '-55', '-30']"
0,1,65,-53,"[0, '-48', '-55', '-30']"
0,1,66,-53,"[0, '-48', '-55', '-30']"
0,1,67,-53,"[0, '-48', '-55', '-30']"
0,1,68,-53,"[0, '-48', '-55', '-30']"
1,1,69,-45,"['-48', '120', '-40', '-52']"
1,1,70,-45,"['-48', '120', '-40', '-52']"
1,1,71,-45,"['-48', '120', '-40', '-52']"
1,1,72,-45,"['-48', '120', '-40', '-52']"
1,1,73,-45,"['-48', '120', '-40', '-52']"
2,1,69,-27,"['-55', '-40', '0', '-42']"
2,1,70,-27,"['-55', '-40', '0', '-42']"
2,1,71,-27,"['-55', '-40', '0', '-42']"
2,1,72,-27,"['-55', '-40', '0', '-42']"
2,1,73,-27,"['-55', '-40', '0', '-42']"
