RxNID,TXNID,PacketNo,TxRSSI,RSSI0,RSSI1,RSSI2,RSSI3
1,1,138,-51,"['-50', '120', '-39', '-52']"
1,1,139,-51,"['-50', '120', '-39', '-52']"
1,1,140,-51,"['-50', '120', '-39', '-52']"
1,1,141,-51,"['-50', '120', '-39', '-52']"
1,1,142,-51,"['-50', '120', '-39', '-52']"
2,1,138,-37,"['-50', '-39', '0', '-41']"
2,1,139,-37,"['-50', '-39', '0', '-41']"
2,1,140,-37,"['-50', '-39', '0', '-41']"
2,1,141,-37,"['-50', '-39', '0', '-41']"
2,1,142,-37,"['-50', '-39', '0', '-41']"
3,1,139,-49,"['-30', '-53', '-41', '0']"
3,1,140,-49,"['-30', '-53', '-41', '0']"
3,1,141,-48,"['-30', '-53', '-41', '0']"
3,1,142,-49,"['-30', '-53', '-41', '0']"
3,1,138,-49,"['-30', '-53', '-41', '0']"
0,1,138,-45,"[0, '-52', '-51', '-30']"
0,1,139,-45,"[0, '-52', '-51', '-30']"
0,1,140,-45,"[0, '-52', '-51', '-30']"
0,1,141,-45,"[0, '-52', '-51', '-30']"
0,1,142,-45,"[0, '-52', '-51', '-30']"
1,1,143,-51,"['-50', '120', '-39', '-53']"
1,1,144,-51,"['-50', '120', '-39', '-53']"
1,1,145,-51,"['-50', '120', '-39', '-53']"
1,1,146,-51,"['-50', '120', '-39', '-53']"
1,1,147,-51,"['-50', '120', '-39', '-53']"
2,1,143,-37,"['-50', '-40', '0', '-41']"
2,1,144,-37,"['-50', '-40', '0', '-41']"
2,1,145,-37,"['-50', '-40', '0', '-41']"
2,1,146,-37,"['-50', '-40', '0', '-41']"
2,1,147,-37,"['-50', '-40', '0', '-41']"
3,1,144,-49,"['-30', '-53', '-42', '0']"
3,1,145,-49,"['-30', '-53', '-42', '0']"
3,1,146,-49,"['-30', '-53', '-42', '0']"
3,1,147,-49,"['-30', '-53', '-42', '0']"
3,1,143,-49,"['-30', '-53', '-42', '0']"
0,1,143,-45,"[0, '-51', '-51', '-30']"
0,1,144,-45,"[0, '-51', '-51', '-30']"
0,1,145,-45,"[0, '-51', '-51', '-30']"
0,1,146,-45,"[0, '-51', '-51', '-30']"
0,1,147,-45,"[0, '-51', '-51', '-30']"
1,1,148,-51,"['-50', '120', '-39', '-53']"
1,1,149,-51,"['-50', '120', '-39', '-53']"
1,1,150,-51,"['-50', '120', '-39', '-53']"
1,1,151,-51,"['-50', '120', '-39', '-53']"
1,1,152,-51,"['-50', '120', '-39', '-53']"
2,1,148,-37,"['-50', '-39', '0', '-41']"
2,1,149,-37,"['-50', '-39', '0', '-41']"
2,1,150,-37,"['-50', '-39', '0', '-41']"
2,1,151,-37,"['-50', '-39', '0', '-41']"
2,1,152,-37,"['-50', '-39', '0', '-41']"
3,1,149,-49,"['-30', '-52', '-42', '0']"
3,1,150,-49,"['-30', '-52', '-42', '0']"
3,1,151,-49,"['-30', '-52', '-42', '0']"
3,1,152,-49,"['-30', '-52', '-42', '0']"
3,1,148,-49,"['-30', '-52', '-42', '0']"
0,1,148,-45,"[0, '-51', '-50', '-30']"
0,1,149,-45,"[0, '-51', '-50', '-30']"
0,1,150,-45,"[0, '-51', '-50', '-30']"
0,1,151,-45,"[0, '-51', '-50', '-30']"
0,1,152,-45,"[0, '-51', '-50', '-30']"
1,1,153,-51,"['-50', '120', '-39', '-52']"
1,1,154,-51,"['-50', '120', '-39', '-52']"
1,1,155,-51,"['-50', '120', '-39', '-52']"
1,1,156,-51,"['-50', '120', '-39', '-52']"
1,1,157,-51,"['-50', '120', '-39', '-52']"
2,1,153,-37,"['-50', '-39', '0', '-41']"
2,1,154,-37,"['-50', '-39', '0', '-41']"
2,1,155,-37,"['-50', '-39', '0', '-41']"
2,1,156,-37,"['-50', '-39', '0', '-41']"
2,1,157,-37,"['-50', '-39', '0', '-41']"
3,1,154,-49,"['-30', '-52', '-42', '0']"
3,1,155,-49,"['-30', '-52', '-42', '0']"
3,1,156,-49,"['-30', '-52', '-42', '0']"
3,1,157,-49,"['-30', '-52', '-42', '0']"
3,1,153,-49,"['-30', '-52', '-42', '0']"
0,1,153,-45,"[0, '-52', '-51', '-30']"
0,1,154,-45,"[0, '-52', '-51', '-30']"
0,1,155,-45,"[0, '-52', '-51', '-30']"
0,1,156,-45,"[0, '-52', '-51', '-30']"
0,1,157,-45,"[0, '-52', '-51', '-30']"
1,1,158,-51,"['-50', '120', '-39', '-52']"
1,1,159,-51,"['-50', '120', '-39', '-52']"
1,1,160,-51,"['-50', '120', '-39', '-52']"
1,1,161,-51,"['-50', '120', '-39', '-52']"
1,1,162,-51,"['-50', '120', '-39', '-52']"
2,1,158,-37,"['-50', '-39', '0', '-41']"
2,1,159,-37,"['-50', '-39', '0', '-41']"
2,1,160,-37,"['-50', '-39', '0', '-41']"
2,1,161,-37,"['-50', '-39', '0', '-41']"
2,1,162,-37,"['-50', '-39', '0', '-41']"
3,1,159,-49,"['-30', '-53', '-41', '0']"
3,1,160,-49,"['-30', '-53', '-41', '0']"
3,1,161,-49,"['-30', '-53', '-41', '0']"
3,1,162,-49,"['-30', '-53', '-41', '0']"
