RxNID,TXNID,PacketNo,TxRSSI,RSSI0,RSSI1,RSSI2,RSSI3
3,1,84,-27,"['-30', '-51', '-41', '0']"
3,1,85,-27,"['-30', '-51', '-41', '0']"
3,1,86,-27,"['-30', '-51', '-41', '0']"
3,1,87,-27,"['-30', '-51', '-41', '0']"
3,1,88,-27,"['-30', '-51', '-41', '0']"
0,1,84,-38,"[0, 1, 2, '-30']"
0,1,85,-38,"[0, 1, 2, '-30']"
0,1,86,-38,"[0, 1, 2, '-30']"
0,1,87,-38,"[0, 1, 2, '-30']"
0,1,88,-38,"[0, 1, 2, '-30']"
1,1,89,-50,"['-48', '120', '-39', '-51']"
1,1,90,-50,"['-48', '120', '-39', '-51']"
1,1,91,-50,"['-48', '120', '-39', '-51']"
1,1,92,-50,"['-48', '120', '-39', '-51']"
1,1,93,-50,"['-48', '120', '-39', '-51']"
2,1,89,-44,"['-50', '-40', '0', '-41']"
2,1,90,-44,"['-50', '-40', '0', '-41']"
2,1,91,-44,"['-50', '-40', '0', '-41']"
2,1,92,-44,"['-50', '-40', '0', '-41']"
2,1,93,-44,"['-50', '-40', '0', '-41']"
3,1,89,-27,"['-30', '-51', '-41', '0']"
3,1,90,-27,"['-30', '-51', '-41', '0']"
3,1,91,-27,"['-30', '-51', '-41', '0']"
3,1,92,-27,"['-30', '-51', '-41', '0']"
3,1,93,-27,"['-30', '-51', '-41', '0']"
0,1,89,-38,"[0, '-49', '-50', '-30']"
0,1,90,-38,"[0, '-49', '-50', '-30']"
0,1,91,-38,"[0, '-49', '-50', '-30']"
0,1,92,-38,"[0, '-49', '-50', '-30']"
0,1,93,-38,"[0, '-49', '-50', '-30']"
1,1,94,-50,"['-48', '120', '-39', '-51']"
1,1,95,-50,"['-48', '120', '-39', '-51']"
1,1,96,-50,"['-48', '120', '-39', '-51']"
1,1,97,-50,"['-48', '120', '-39', '-51']"
1,1,98,-50,"['-48', '120', '-39', '-51']"
2,1,94,-44,"['-50', '-40', '0', '-41']"
2,1,95,-44,"['-50', '-40', '0', '-41']"
2,1,96,-44,"['-50', '-40', '0', '-41']"
2,1,97,-44,"['-50', '-40', '0', '-41']"
2,1,98,-44,"['-50', '-40', '0', '-41']"
3,1,94,-27,"['-30', '-51', '-42', '0']"
3,1,95,-27,"['-30', '-51', '-42', '0']"
3,1,96,-27,"['-30', '-51', '-42', '0']"
3,1,97,-27,"['-30', '-51', '-42', '0']"
3,1,98,-27,"['-30', '-51', '-42', '0']"
0,1,94,-38,"[0, '-49', '-50', '-30']"
0,1,95,-38,"[0, '-49', '-50', '-30']"
0,1,96,-38,"[0, '-49', '-50', '-30']"
0,1,97,-38,"[0, '-49', '-50', '-30']"
0,1,98,-38,"[0, '-49', '-50', '-30']"
1,1,99,-50,"['-48', '120', '-39', '-51']"
1,1,100,-50,"['-48', '120', '-39', '-51']"
1,1,101,-50,"['-48', '120', '-39', '-51']"
1,1,102,-50,"['-48', '120', '-39', '-51']"
1,1,103,-50,"['-48', '120', '-39', '-51']"
2,1,99,-44,"['-50', '-40', '0', '-41']"
2,1,100,-44,"['-50', '-40', '0', '-41']"
2,1,101,-44,"['-50', '-40', '0', '-41']"
2,1,102,-44,"['-50', '-40', '0', '-41']"
2,1,103,-44,"['-50', '-40', '0', '-41']"
3,1,99,-27,"['-30', '-51', '-41', '0']"
3,1,100,-27,"['-30', '-51', '-41', '0']"
3,1,101,-27,"['-30', '-51', '-41', '0']"
3,1,102,-27,"['-30', '-51', '-41', '0']"
3,1,103,-27,"['-30', '-51', '-41', '0']"
0,1,99,-38,"[0, '-49', '-50', '-30']"
0,1,100,-38,"[0, '-49', '-50', '-30']"
