RxNID,TXNID,PacketNo,TxRSSI,RSSI0,RSSI1,RSSI2,RSSI3
1,1,134,-42,"['-45', '120', '-39', '-50']"
1,1,135,-42,"['-45', '120', '-39', '-50']"
1,1,136,-42,"['-45', '120', '-39', '-50']"
1,1,137,-42,"['-45', '120', '-39', '-50']"
1,1,138,-42,"['-45', '120', '-39', '-50']"
2,1,135,-54,"['-52', '-40', '0', '-53']"
2,1,136,-54,"['-52', '-40', '0', '-53']"
2,1,137,-54,"['-52', '-40', '0', '-53']"
2,1,138,-54,"['-52', '-40', '0', '-53']"
2,1,134,-54,"['-52', '-40', '0', '-53']"
3,1,135,-36,"['-35', '-50', '-53', '0']"
3,1,136,-35,"['-35', '-50', '-53', '0']"
3,1,137,-36,"['-35', '-50', '-53', '0']"
3,1,138,-36,"['-35', '-50', '-53', '0']"
3,1,134,-35,"['-35', '-50', '-53', '0']"
0,1,134,-43,"[0, '-47', '-52', '-36']"
0,1,135,-43,"[0, '-47', '-52', '-36']"
0,1,136,-43,"[0, '-47', '-52', '-36']"
0,1,137,-43,"[0, '-47', '-52', '-36']"
0,1,138,-43,"[0, '-47', '-52', '-36']"
1,1,139,-42,"['-45', '120', '-39', '-49']"
1,1,140,-42,"['-45', '120', '-39', '-49']"
1,1,141,-42,"['-45', '120', '-39', '-49']"
1,1,142,-42,"['-45', '120', '-39', '-49']"
1,1,143,-42,"['-45', '120', '-39', '-49']"
2,1,140,-54,"['-52', '-40', '0', '-54']"
2,1,141,-54,"['-52', '-40', '0', '-54']"
2,1,142,-54,"['-52', '-40', '0', '-54']"
2,1,143,-54,"['-52', '-40', '0', '-54']"
2,1,139,-54,"['-52', '-40', '0', '-54']"
3,1,140,-36,"['-35', '-50', '-52', '0']"
3,1,141,-36,"['-35', '-50', '-52', '0']"
3,1,142,-36,"['-35', '-50', '-52', '0']"
3,1,143,-36,"['-35', '-50', '-52', '0']"
3,1,139,-35,"['-35', '-50', '-52', '0']"
0,1,139,-43,"[0, '-47', '-52', '-36']"
0,1,140,-43,"[0, '-47', '-52', '-36']"
0,1,141,-43,"[0, '-47', '-52', '-36']"
0,1,142,-43,"[0, '-47', '-52', '-36']"
0,1,143,-43,"[0, '-47', '-52', '-36']"
1,1,144,-42,"['-45', '120', '-39', '-49']"
1,1,145,-42,"['-45', '120', '-39', '-49']"
1,1,146,-42,"['-45', '120', '-39', '-49']"
1,1,147,-42,"['-45', '120', '-39', '-49']"
1,1,148,-42,"['-45', '120', '-39', '-49']"
2,1,145,-54,"['-52', '-40', '0', '-54']"
2,1,146,-54,"['-52', '-40', '0', '-54']"
2,1,147,-54,"['-52', '-40', '0', '-54']"
2,1,148,-54,"['-52', '-40', '0', '-54']"
2,1,144,-54,"['-52', '-40', '0', '-54']"
3,1,145,-36,"['-35', '-50', '-52', '0']"
3,1,146,-36,"['-35', '-50', '-52', '0']"
3,1,147,-36,"['-35', '-50', '-52', '0']"
3,1,148,-36,"['-35', '-50', '-52', '0']"
3,1,144,-36,"['-35', '-50', '-52', '0']"
0,1,144,-43,"[0, '-47', '-52', '-36']"
0,1,145,-43,"[0, '-47', '-52', '-36']"
0,1,146,-43,"[0, '-47', '-52', '-36']"
0,1,147,-43,"[0, '-47', '-52', '-36']"
0,1,148,-43,"[0, '-47', '-52', '-36']"
1,1,149,-42,"['-45', '120', '-39', '-49']"
1,1,150,-42,"['-45', '120', '-39', '-49']"
1,1,151,-42,"['-45', '120', '-39', '-49']"
1,1,152,-42,"['-45', '120', '-39', '-49']"
1,1,153,-42,"['-45', '120', '-39', '-49']"
2,1,150,-54,"['-52', '-40', '0', '-54']"
2,1,151,-54,"['-52', '-40', '0', '-54']"
2,1,152,-54,"['-52', '-40', '0', '-54']"
2,1,153,-54,"['-52', '-40', '0', '-54']"
2,1,149,-54,"['-52', '-40', '0', '-54']"
3,1,150,-36,"['-36', '-50', '-52', '0']"
3,1,151,-36,"['-36', '-50', '-52', '0']"
3,1,152,-36,"['-36', '-50', '-52', '0']"
3,1,153,-36,"['-36', '-50', '-52', '0']"
3,1,149,-36,"['-36', '-50', '-52', '0']"
0,1,149,-42,"[0, '-47', '-52', '-36']"
0,1,150,-42,"[0, '-47', '-52', '-36']"
0,1,151,-43,"[0, '-47', '-52', '-36']"
0,1,152,-45,"[0, '-47', '-52', '-36']"
0,1,153,-48,"[0, '-47', '-52', '-36']"
1,1,154,-42,"['-46', '120', '-39', '-49']"
1,1,155,-42,"['-46', '120', '-39', '-49']"
1,1,156,-42,"['-46', '120', '-39', '-49']"
1,1,157,-42,"['-46', '120', '-39', '-49']"
1,1,158,-42,"['-46', '120', '-39', '-49']"
2,1,155,-54,"['-52', '-40', '0', '-53']"
2,1,156,-54,"['-52', '-40', '0', '-53']"
2,1,157,-54,"['-52', '-40', '0', '-53']"
2,1,158,-54,"['-52', '-40', '0', '-53']"
2,1,154,-54,"['-52', '-40', '0', '-53']"
3,1,155,-35,"['-35', '-50', '-52', '0']"
3,1,156,-35,"['-35', '-50', '-52', '0']"
3,1,157,-36,"['-35', '-50', '-52', '0']"
3,1,158,-36,"['-35', '-50', '-52', '0']"
3,1,154,-35,"['-35', '-50', '-52', '0']"
0,1,154,-44,"[0, '-47', '-52', '-36']"
0,1,155,-44,"[0, '-47', '-52', '-36']"
0,1,156,-44,"[0, '-47', '-52', '-36']"
0,1,157,-44,"[0, '-47', '-52', '-36']"
