NodeID,PacketNo,Iteration,RSSI,AbsTime,RecordedTime,Horizontal Distance (m),Vertical Distance RX (m),Vertical Distance TX (m)
1,93729,0,-41,1038331,00000000,6,2.15,0.9
1,93730,0,-41,1038362,00000000,6,2.15,0.9
1,93731,0,-40,1038393,00000000,6,2.15,0.9
1,93732,0,-40,1038425,00000000,6,2.15,0.9
1,93733,0,-40,1038456,00000000,6,2.15,0.9
1,93734,0,-40,1038487,00000000,6,2.15,0.9
1,93735,0,-40,1038518,00000000,6,2.15,0.9
1,93736,0,-40,1038549,00000000,6,2.15,0.9
1,93737,0,-41,1038580,00000000,6,2.15,0.9
1,93738,0,-41,1038611,00000000,6,2.15,0.9
1,93739,0,-41,1038643,00000000,6,2.15,0.9
1,93740,0,-40,1038674,00000000,6,2.15,0.9
1,93741,0,-40,1038705,00000000,6,2.15,0.9
1,93742,0,-40,1038736,00000000,6,2.15,0.9
1,93743,0,-40,1038767,00000000,6,2.15,0.9
1,93744,0,-40,1038798,00000000,6,2.15,0.9
1,93745,0,-40,1038830,00000000,6,2.15,0.9
1,93746,0,-40,1038861,00000000,6,2.15,0.9
1,93747,0,-40,1038892,00000000,6,2.15,0.9
1,93748,0,-40,1038923,00000000,6,2.15,0.9
1,93749,0,-40,1038954,00000000,6,2.15,0.9
1,93750,0,-40,1038985,00000000,6,2.15,0.9
1,93751,0,-40,1039016,00000000,6,2.15,0.9
1,93752,0,-40,1039048,00000000,6,2.15,0.9
1,93753,0,-40,1039079,00000000,6,2.15,0.9
1,93754,0,-40,1039110,00000000,6,2.15,0.9
1,93755,0,-40,1039141,00000000,6,2.15,0.9
1,93756,0,-40,1039172,00000000,6,2.15,0.9
1,93757,0,-40,1039203,00000000,6,2.15,0.9
1,93758,0,-39,1039235,00000000,6,2.15,0.9
1,93759,0,-39,1039266,00000000,6,2.15,0.9
1,93760,0,-39,1039297,00000000,6,2.15,0.9
1,93761,0,-39,1039328,00000000,6,2.15,0.9
1,93762,0,-39,1039359,00000000,6,2.15,0.9
1,93763,0,-39,1039390,00000000,6,2.15,0.9
1,93764,0,-39,1039421,00000000,6,2.15,0.9
1,93765,0,-39,1039453,00000000,6,2.15,0.9
1,93766,0,-39,1039484,00000000,6,2.15,0.9
1,93767,0,-39,1039515,00000000,6,2.15,0.9
1,93768,0,-39,1039546,00000000,6,2.15,0.9
1,93769,0,-39,1039577,00000000,6,2.15,0.9
1,93770,0,-39,1039608,00000000,6,2.15,0.9
1,93771,0,-39,1039640,00000000,6,2.15,0.9
1,93772,0,-39,1039671,00000000,6,2.15,0.9
1,93773,0,-40,1039702,00000000,6,2.15,0.9
1,93774,0,-40,1039733,00000000,6,2.15,0.9
1,93775,0,-40,1039764,00000000,6,2.15,0.9
1,93776,0,-40,1039795,00000000,6,2.15,0.9
1,93777,0,-40,1039826,00000000,6,2.15,0.9
1,93778,0,-40,1039858,00000000,6,2.15,0.9
1,93779,0,-40,1039889,00000000,6,2.15,0.9
1,93780,0,-40,1039920,00000000,6,2.15,0.9
1,93781,0,-40,1039951,00000000,6,2.15,0.9
1,93782,0,-40,1039982,00000000,6,2.15,0.9
1,93783,0,-40,1040013,00000000,6,2.15,0.9
1,93784,0,-41,1040045,00000000,6,2.15,0.9
1,93785,0,-40,1040076,00000000,6,2.15,0.9
1,93786,0,-41,1040107,00000000,6,2.15,0.9
1,93787,0,-41,1040138,00000000,6,2.15,0.9
1,93788,0,-41,1040169,00000000,6,2.15,0.9
1,93789,0,-41,1040200,00000000,6,2.15,0.9
1,93790,0,-41,1040231,00000000,6,2.15,0.9
1,93791,0,-41,1040263,00000000,6,2.15,0.9
1,93792,0,-41,1040294,00000000,6,2.15,0.9
1,93793,0,-41,1040325,00000000,6,2.15,0.9
1,93794,0,-41,1040356,00000000,6,2.15,0.9
1,93795,0,-41,1040387,00000000,6,2.15,0.9
