RxNID,TXNID,PacketNo,TxRSSI,RSSI0,RSSI1,RSSI2,RSSI3
1,1,111,-30,"['-33', '120', '-22', '-38']"
1,1,112,-30,"['-33', '120', '-22', '-38']"
1,1,113,-30,"['-33', '120', '-22', '-38']"
1,1,114,-30,"['-33', '120', '-22', '-38']"
1,1,115,-30,"['-33', '120', '-22', '-38']"
2,1,111,-36,"['-31', '-22', '0', '-27']"
2,1,112,-36,"['-31', '-22', '0', '-27']"
2,1,113,-36,"['-31', '-22', '0', '-27']"
2,1,114,-36,"['-31', '-22', '0', '-27']"
2,1,115,-36,"['-31', '-22', '0', '-27']"
3,1,111,-39,"['-32', '-38', '-27', '0']"
3,1,112,-39,"['-32', '-38', '-27', '0']"
3,1,113,-39,"['-32', '-38', '-27', '0']"
3,1,114,-39,"['-32', '-38', '-27', '0']"
3,1,115,-39,"['-32', '-38', '-27', '0']"
0,1,111,-27,"[0, '-34', '-31', '-33']"
0,1,112,-27,"[0, '-34', '-31', '-33']"
0,1,113,-28,"[0, '-34', '-31', '-33']"
0,1,114,-27,"[0, '-34', '-31', '-33']"
0,1,115,-28,"[0, '-34', '-31', '-33']"
1,1,116,-30,"['-33', '120', '-22', '-37']"
1,1,117,-30,"['-33', '120', '-22', '-37']"
1,1,118,-30,"['-33', '120', '-22', '-37']"
1,1,119,-30,"['-33', '120', '-22', '-37']"
1,1,120,-30,"['-33', '120', '-22', '-37']"
2,1,116,-36,"['-31', '-23', '0', '-27']"
2,1,117,-36,"['-31', '-23', '0', '-27']"
2,1,118,-36,"['-31', '-23', '0', '-27']"
2,1,119,-36,"['-31', '-23', '0', '-27']"
2,1,120,-36,"['-31', '-23', '0', '-27']"
3,1,116,-39,"['-32', '-38', '-27', '0']"
3,1,117,-39,"['-32', '-38', '-27', '0']"
3,1,118,-39,"['-32', '-38', '-27', '0']"
3,1,119,-39,"['-32', '-38', '-27', '0']"
3,1,120,-39,"['-32', '-38', '-27', '0']"
0,1,116,-27,"[0, '-34', '-31', '-33']"
0,1,117,-27,"[0, '-34', '-31', '-33']"
0,1,118,-27,"[0, '-34', '-31', '-33']"
0,1,119,-28,"[0, '-34', '-31', '-33']"
0,1,120,-28,"[0, '-34', '-31', '-33']"
1,1,121,-30,"['-33', '120', '-22', '-37']"
1,1,122,-30,"['-33', '120', '-22', '-37']"
1,1,123,-30,"['-33', '120', '-22', '-37']"
1,1,124,-30,"['-33', '120', '-22', '-37']"
1,1,125,-30,"['-33', '120', '-22', '-37']"
2,1,121,-36,"['-30', '-23', '0', '-27']"
2,1,122,-36,"['-30', '-23', '0', '-27']"
2,1,123,-36,"['-30', '-23', '0', '-27']"
2,1,124,-36,"['-30', '-23', '0', '-27']"
2,1,125,-36,"['-30', '-23', '0', '-27']"
3,1,121,-39,"['-32', '-38', '-27', '0']"
3,1,122,-39,"['-32', '-38', '-27', '0']"
3,1,123,-39,"['-32', '-38', '-27', '0']"
3,1,124,-39,"['-32', '-38', '-27', '0']"
3,1,125,-39,"['-32', '-38', '-27', '0']"
0,1,121,-27,"[0, '-34', '-31', '-33']"
0,1,122,-27,"[0, '-34', '-31', '-33']"
0,1,123,-27,"[0, '-34', '-31', '-33']"
0,1,124,-27,"[0, '-34', '-31', '-33']"
0,1,125,-27,"[0, '-34', '-31', '-33']"
1,1,126,-30,"['-33', '120', '-22', '-38']"
1,1,127,-30,"['-33', '120', '-22', '-38']"
1,1,128,-30,"['-33', '120', '-22', '-38']"
1,1,129,-30,"['-33', '120', '-22', '-38']"
1,1,130,-30,"['-33', '120', '-22', '-38']"
2,1,126,-36,"['-31', '-22', '0', '-27']"
2,1,127,-36,"['-31', '-22', '0', '-27']"
2,1,128,-36,"['-31', '-22', '0', '-27']"
2,1,129,-36,"['-31', '-22', '0', '-27']"
2,1,130,-36,"['-31', '-22', '0', '-27']"
3,1,126,-39,"['-32', '-38', '-27', '0']"
3,1,127,-39,"['-32', '-38', '-27', '0']"
3,1,128,-39,"['-32', '-38', '-27', '0']"
3,1,129,-39,"['-32', '-38', '-27', '0']"
3,1,130,-39,"['-32', '-38', '-27', '0']"
0,1,126,-27,"[0, '-34', '-31', '-33']"
0,1,127,-27,"[0, '-34', '-31', '-33']"
0,1,128,-27,"[0, '-34', '-31', '-33']"
0,1,129,-27,"[0, '-34', '-31', '-33']"
0,1,130,-27,"[0, '-34', '-31', '-33']"
1,1,131,-30,"['-33', '120', '-22', '-38']"
1,1,132,-30,"['-33', '120', '-22', '-38']"
1,1,133,-30,"['-33', '120', '-22', '-38']"
1,1,134,-30,"['-33', '120', '-22', '-38']"
1,1,135,-30,"['-33', '120', '-22', '-38']"
2,1,131,-36,"['-30', '-23', '0', '-27']"
2,1,132,-36,"['-30', '-23', '0', '-27']"
2,1,133,-36,"['-30', '-23', '0', '-27']"
2,1,134,-36,"['-30', '-23', '0', '-27']"
2,1,135,-36,"['-30', '-23', '0', '-27']"
3,1,131,-39,"['-32', '-37', '-27', '0']"
3,1,132,-39,"['-32', '-37', '-27', '0']"
3,1,133,-39,"['-32', '-37', '-27', '0']"
3,1,134,-39,"['-32', '-37', '-27', '0']"
3,1,135,-39,"['-32', '-37', '-27', '0']"
0,1,131,-27,"[0, '-34', '-31', '-33']"
0,1,132,-27,"[0, '-34', '-31', '-33']"
0,1,133,-27,"[0, '-34', '-31', '-33']"
0,1,134,-27,"[0, '-34', '-31', '-33']"
0,1,135,-27,"[0, '-34', '-31', '-33']"
1,1,136,-30,"['-34', '120', '-22', '-37']"
1,1,137,-30,"['-34', '120', '-22', '-37']"
1,1,138,-30,"['-34', '120', '-22', '-37']"
1,1,139,-30,"['-34', '120', '-22', '-37']"
1,1,140,-30,"['-34', '120', '-22', '-37']"
2,1,136,-36,"['-31', '-22', '0', '-27']"
2,1,137,-36,"['-31', '-22', '0', '-27']"
2,1,138,-36,"['-31', '-22', '0', '-27']"
2,1,139,-36,"['-31', '-22', '0', '-27']"
2,1,140,-36,"['-31', '-22', '0', '-27']"
3,1,136,-39,"['-32', '-38', '-27', '0']"
3,1,137,-39,"['-32', '-38', '-27', '0']"
3,1,138,-39,"['-32', '-38', '-27', '0']"
3,1,139,-39,"['-32', '-38', '-27', '0']"
3,1,140,-39,"['-32', '-38', '-27', '0']"
0,1,136,-27,"[0, '-36', '-31', '-33']"
0,1,137,-27,"[0, '-36', '-31', '-33']"
0,1,138,-27,"[0, '-36', '-31', '-33']"
0,1,139,-27,"[0, '-36', '-31', '-33']"
0,1,140,-27,"[0, '-36', '-31', '-33']"
1,1,141,-30,"['-35', '120', '-22', '-38']"
1,1,142,-30,"['-35', '120', '-22', '-38']"
1,1,143,-30,"['-35', '120', '-22', '-38']"
1,1,144,-30,"['-35', '120', '-22', '-38']"
1,1,145,-30,"['-35', '120', '-22', '-38']"
2,1,141,-36,"['-30', '-23', '0', '-27']"
2,1,142,-36,"['-30', '-23', '0', '-27']"
2,1,143,-36,"['-30', '-23', '0', '-27']"
2,1,144,-36,"['-30', '-23', '0', '-27']"
2,1,145,-36,"['-30', '-23', '0', '-27']"
3,1,141,-39,"['-32', '-38', '-27', '0']"
3,1,142,-39,"['-32', '-38', '-27', '0']"
3,1,143,-39,"['-32', '-38', '-27', '0']"
3,1,144,-39,"['-32', '-38', '-27', '0']"
3,1,145,-39,"['-32', '-38', '-27', '0']"
0,1,141,-27,"[0, '-35', '-31', '-33']"
0,1,142,-27,"[0, '-35', '-31', '-33']"
0,1,143,-27,"[0, '-35', '-31', '-33']"
0,1,144,-27,"[0, '-35', '-31', '-33']"
0,1,145,-27,"[0, '-35', '-31', '-33']"
1,1,146,-30,"['-35', '120', '-22', '-38']"
1,1,147,-30,"['-35', '120', '-22', '-38']"
1,1,148,-30,"['-35', '120', '-22', '-38']"
1,1,149,-30,"['-35', '120', '-22', '-38']"
1,1,150,-30,"['-35', '120', '-22', '-38']"
2,1,146,-36,"['-30', '-23', '0', '-27']"
2,1,147,-36,"['-30', '-23', '0', '-27']"
2,1,148,-36,"['-30', '-23', '0', '-27']"
2,1,149,-36,"['-30', '-23', '0', '-27']"
2,1,150,-36,"['-30', '-23', '0', '-27']"
3,1,146,-39,"['-32', '-38', '-27', '0']"
3,1,147,-39,"['-32', '-38', '-27', '0']"
3,1,148,-39,"['-32', '-38', '-27', '0']"
3,1,149,-39,"['-32', '-38', '-27', '0']"
3,1,150,-39,"['-32', '-38', '-27', '0']"
0,1,146,-27,"[0, '-36', '-31', '-33']"
0,1,147,-27,"[0, '-36', '-31', '-33']"
0,1,148,-27,"[0, '-36', '-31', '-33']"
0,1,149,-27,"[0, '-36', '-31', '-33']"
0,1,150,-27,"[0, '-36', '-31', '-33']"
1,1,151,-30,"['-36', '120', '-22', '-38']"
1,1,152,-30,"['-36', '120', '-22', '-38']"
1,1,153,-30,"['-36', '120', '-22', '-38']"
1,1,154,-29,"['-36', '120', '-22', '-38']"
1,1,155,-30,"['-36', '120', '-22', '-38']"
2,1,151,-37,"['-30', '-23', '0', '-27']"
2,1,152,-37,"['-30', '-23', '0', '-27']"
2,1,153,-37,"['-30', '-23', '0', '-27']"
2,1,154,-37,"['-30', '-23', '0', '-27']"
2,1,155,-37,"['-30', '-23', '0', '-27']"
3,1,151,-42,"['-32', '-38', '-27', '0']"
3,1,152,-42,"['-32', '-38', '-27', '0']"
3,1,153,-42,"['-32', '-38', '-27', '0']"
3,1,154,-42,"['-32', '-38', '-27', '0']"
3,1,155,-41,"['-32', '-38', '-27', '0']"
0,1,151,-26,"[0, '-36', '-31', '-33']"
0,1,152,-26,"[0, '-36', '-31', '-33']"
0,1,153,-26,"[0, '-36', '-31', '-33']"
0,1,154,-26,"[0, '-36', '-31', '-33']"
0,1,155,-27,"[0, '-36', '-31', '-33']"
1,1,156,-33,"['-37', '120', '-22', '-38']"
1,1,157,-33,"['-37', '120', '-22', '-38']"
1,1,158,-34,"['-37', '120', '-22', '-38']"
1,1,159,-35,"['-37', '120', '-22', '-38']"
1,1,160,-35,"['-37', '120', '-22', '-38']"
2,1,156,-31,"['-31', '-22', '0', '-27']"
2,1,157,-31,"['-31', '-22', '0', '-27']"
2,1,158,-30,"['-31', '-22', '0', '-27']"
2,1,159,-31,"['-31', '-22', '0', '-27']"
2,1,160,-31,"['-31', '-22', '0', '-27']"
3,1,156,-44,"['-33', '-38', '-27', '0']"
3,1,157,-45,"['-33', '-38', '-27', '0']"
3,1,158,-45,"['-33', '-38', '-27', '0']"
3,1,159,-45,"['-33', '-38', '-27', '0']"
3,1,160,-45,"['-33', '-38', '-27', '0']"
0,1,156,-27,"[0, '-38', '-32', '-32']"
0,1,157,-27,"[0, '-38', '-32', '-32']"
0,1,158,-27,"[0, '-38', '-32', '-32']"
0,1,159,-27,"[0, '-38', '-32', '-32']"
0,1,160,-27,"[0, '-38', '-32', '-32']"
1,1,161,-37,"['-37', '120', '-22', '-38']"
1,1,162,-36,"['-37', '120', '-22', '-38']"
1,1,163,-34,"['-37', '120', '-22', '-38']"
1,1,164,-33,"['-37', '120', '-22', '-38']"
1,1,165,-32,"['-37', '120', '-22', '-38']"
2,1,161,-39,"['-31', '-23', '0', '-27']"
2,1,162,-38,"['-31', '-23', '0', '-27']"
2,1,163,-37,"['-31', '-23', '0', '-27']"
2,1,164,-36,"['-31', '-23', '0', '-27']"
2,1,165,-36,"['-31', '-23', '0', '-27']"
3,1,161,-38,"['-32', '-38', '-27', '0']"
3,1,162,-38,"['-32', '-38', '-27', '0']"
3,1,163,-38,"['-32', '-38', '-27', '0']"
3,1,164,-39,"['-32', '-38', '-27', '0']"
3,1,165,-39,"['-32', '-38', '-27', '0']"
0,1,161,-29,"[0, '-37', '-31', '-32']"
0,1,162,-29,"[0, '-37', '-31', '-32']"
0,1,163,-30,"[0, '-37', '-31', '-32']"
0,1,164,-29,"[0, '-37', '-31', '-32']"
0,1,165,-29,"[0, '-37', '-31', '-32']"
1,1,166,-30,"['-37', '120', '-22', '-38']"
1,1,167,-30,"['-37', '120', '-22', '-38']"
1,1,168,-30,"['-37', '120', '-22', '-38']"
1,1,169,-30,"['-37', '120', '-22', '-38']"
1,1,170,-30,"['-37', '120', '-22', '-38']"
2,1,166,-38,"['-30', '-23', '0', '-27']"
2,1,167,-36,"['-30', '-23', '0', '-27']"
2,1,168,-36,"['-30', '-23', '0', '-27']"
2,1,169,-34,"['-30', '-23', '0', '-27']"
2,1,170,-33,"['-30', '-23', '0', '-27']"
3,1,166,-49,"['-32', '-38', '-27', '0']"
3,1,167,-48,"['-32', '-38', '-27', '0']"
3,1,168,-48,"['-32', '-38', '-27', '0']"
3,1,169,-47,"['-32', '-38', '-27', '0']"
3,1,170,-45,"['-32', '-38', '-27', '0']"
0,1,166,-25,"[0, '-38', '-30', '-32']"
0,1,167,-25,"[0, '-38', '-30', '-32']"
0,1,168,-25,"[0, '-38', '-30', '-32']"
0,1,169,-24,"[0, '-38', '-30', '-32']"
0,1,170,-24,"[0, '-38', '-30', '-32']"
1,1,171,-34,"['-37', '120', '-22', '-38']"
1,1,172,-35,"['-37', '120', '-22', '-38']"
1,1,173,-36,"['-37', '120', '-22', '-38']"
1,1,174,-38,"['-37', '120', '-22', '-38']"
1,1,175,-42,"['-37', '120', '-22', '-38']"
2,1,171,-33,"['-30', '-22', '0', '-27']"
2,1,172,-33,"['-30', '-22', '0', '-27']"
2,1,173,-35,"['-30', '-22', '0', '-27']"
2,1,174,-36,"['-30', '-22', '0', '-27']"
2,1,175,-36,"['-30', '-22', '0', '-27']"
3,1,171,-44,"['-32', '-38', '-27', '0']"
3,1,172,-44,"['-32', '-38', '-27', '0']"
3,1,173,-44,"['-32', '-38', '-27', '0']"
3,1,174,-44,"['-32', '-38', '-27', '0']"
3,1,175,-43,"['-32', '-38', '-27', '0']"
0,1,171,-25,"[0, '-38', '-31', '-33']"
0,1,172,-26,"[0, '-38', '-31', '-33']"
0,1,173,-26,"[0, '-38', '-31', '-33']"
0,1,174,-26,"[0, '-38', '-31', '-33']"
0,1,175,-27,"[0, '-38', '-31', '-33']"
1,1,176,-30,"['-37', '120', '-22', '-38']"
1,1,177,-30,"['-37', '120', '-22', '-38']"
1,1,178,-29,"['-37', '120', '-22', '-38']"
1,1,179,-28,"['-37', '120', '-22', '-38']"
1,1,180,-28,"['-37', '120', '-22', '-38']"
2,1,176,-33,"['-31', '-22', '0', '-27']"
2,1,177,-33,"['-31', '-22', '0', '-27']"
2,1,178,-33,"['-31', '-22', '0', '-27']"
2,1,179,-34,"['-31', '-22', '0', '-27']"
2,1,180,-34,"['-31', '-22', '0', '-27']"
3,1,176,-41,"['-32', '-38', '-27', '0']"
3,1,177,-41,"['-32', '-38', '-27', '0']"
3,1,178,-42,"['-32', '-38', '-27', '0']"
3,1,179,-42,"['-32', '-38', '-27', '0']"
3,1,180,-43,"['-32', '-38', '-27', '0']"
0,1,176,-29,"[0, '-38', '-31', '-32']"
0,1,177,-29,"[0, '-38', '-31', '-32']"
0,1,178,-29,"[0, '-38', '-31', '-32']"
0,1,179,-29,"[0, '-38', '-31', '-32']"
0,1,180,-29,"[0, '-38', '-31', '-32']"
1,1,181,-26,"['-38', '120', '-22', '-38']"
1,1,182,-27,"['-38', '120', '-22', '-38']"
1,1,183,-28,"['-38', '120', '-22', '-38']"
1,1,184,-29,"['-38', '120', '-22', '-38']"
1,1,185,-30,"['-38', '120', '-22', '-38']"
2,1,181,-34,"['-30', '-22', '0', '-27']"
2,1,182,-34,"['-30', '-22', '0', '-27']"
2,1,183,-36,"['-30', '-22', '0', '-27']"
2,1,184,-37,"['-30', '-22', '0', '-27']"
2,1,185,-38,"['-30', '-22', '0', '-27']"
3,1,181,-35,"['-31', '-38', '-27', '0']"
3,1,182,-34,"['-31', '-38', '-27', '0']"
3,1,183,-34,"['-31', '-38', '-27', '0']"
3,1,184,-33,"['-31', '-38', '-27', '0']"
3,1,185,-33,"['-31', '-38', '-27', '0']"
0,1,181,-46,"[0, '-38', '-30', '-32']"
0,1,182,-50,"[0, '-38', '-30', '-32']"
0,1,183,-52,"[0, '-38', '-30', '-32']"
0,1,184,-52,"[0, '-38', '-30', '-32']"
0,1,185,-49,"[0, '-38', '-30', '-32']"
1,1,186,-30,"['-37', '120', '-22', '-38']"
1,1,187,-29,"['-37', '120', '-22', '-38']"
1,1,188,-28,"['-37', '120', '-22', '-38']"
1,1,189,-28,"['-37', '120', '-22', '-38']"
1,1,190,-28,"['-37', '120', '-22', '-38']"
2,1,186,-44,"['-30', '-22', '0', '-27']"
2,1,187,-52,"['-30', '-22', '0', '-27']"
2,1,188,-40,"['-30', '-22', '0', '-27']"
2,1,189,-36,"['-30', '-22', '0', '-27']"
2,1,190,-33,"['-30', '-22', '0', '-27']"
3,1,186,-36,"['-31', '-38', '-27', '0']"
3,1,187,-35,"['-31', '-38', '-27', '0']"
3,1,188,-34,"['-31', '-38', '-27', '0']"
3,1,189,-34,"['-31', '-38', '-27', '0']"
3,1,190,-34,"['-31', '-38', '-27', '0']"
0,1,186,-32,"[0, '-38', '-31', '-32']"
0,1,187,-32,"[0, '-38', '-31', '-32']"
0,1,188,-32,"[0, '-38', '-31', '-32']"
0,1,189,-33,"[0, '-38', '-31', '-32']"
0,1,190,-34,"[0, '-38', '-31', '-32']"
1,1,191,-33,"['-39', '120', '-22', '-38']"
1,1,192,-32,"['-39', '120', '-22', '-38']"
1,1,193,-30,"['-39', '120', '-22', '-38']"
1,1,194,-28,"['-39', '120', '-22', '-38']"
1,1,195,-27,"['-39', '120', '-22', '-38']"
2,1,191,-30,"['-30', '-23', '0', '-27']"
2,1,192,-29,"['-30', '-23', '0', '-27']"
2,1,193,-29,"['-30', '-23', '0', '-27']"
2,1,194,-29,"['-30', '-23', '0', '-27']"
2,1,195,-30,"['-30', '-23', '0', '-27']"
3,1,191,-36,"['-32', '-37', '-27', '0']"
3,1,192,-34,"['-32', '-37', '-27', '0']"
3,1,193,-33,"['-32', '-37', '-27', '0']"
3,1,194,-33,"['-32', '-37', '-27', '0']"
3,1,195,-33,"['-32', '-37', '-27', '0']"
0,1,191,-30,"[0, '-37', '-31', '-33']"
0,1,192,-31,"[0, '-37', '-31', '-33']"
0,1,193,-31,"[0, '-37', '-31', '-33']"
0,1,194,-31,"[0, '-37', '-31', '-33']"
0,1,195,-30,"[0, '-37', '-31', '-33']"
1,1,196,-28,"['-35', '120', '-21', '-38']"
1,1,197,-28,"['-35', '120', '-21', '-38']"
1,1,198,-29,"['-35', '120', '-21', '-38']"
1,1,199,-30,"['-35', '120', '-21', '-38']"
1,1,200,-30,"['-35', '120', '-21', '-38']"
2,1,196,-32,"['-32', '-21', '0', '-27']"
2,1,197,-34,"['-32', '-21', '0', '-27']"
2,1,198,-39,"['-32', '-21', '0', '-27']"
2,1,199,-46,"['-32', '-21', '0', '-27']"
2,1,200,-36,"['-32', '-21', '0', '-27']"
3,1,196,-38,"['-32', '-38', '-27', '0']"
3,1,197,-38,"['-32', '-38', '-27', '0']"
3,1,198,-36,"['-32', '-38', '-27', '0']"
3,1,199,-33,"['-32', '-38', '-27', '0']"
3,1,200,-31,"['-32', '-38', '-27', '0']"
0,1,196,-36,"[0, '-37', '-32', '-33']"
0,1,197,-37,"[0, '-37', '-32', '-33']"
0,1,198,-37,"[0, '-37', '-32', '-33']"
0,1,199,-37,"[0, '-37', '-32', '-33']"
0,1,200,-36,"[0, '-37', '-32', '-33']"
1,1,201,-23,"['-35', '120', '-22', '-39']"
1,1,202,-23,"['-35', '120', '-22', '-39']"
1,1,203,-23,"['-35', '120', '-22', '-39']"
1,1,204,-24,"['-35', '120', '-22', '-39']"
1,1,205,-24,"['-35', '120', '-22', '-39']"
2,1,201,-33,"['-31', '-22', '0', '-27']"
2,1,202,-34,"['-31', '-22', '0', '-27']"
2,1,203,-34,"['-31', '-22', '0', '-27']"
2,1,204,-34,"['-31', '-22', '0', '-27']"
2,1,205,-33,"['-31', '-22', '0', '-27']"
3,1,201,-35,"['-32', '-37', '-27', '0']"
3,1,202,-36,"['-32', '-37', '-27', '0']"
3,1,203,-36,"['-32', '-37', '-27', '0']"
3,1,204,-36,"['-32', '-37', '-27', '0']"
3,1,205,-36,"['-32', '-37', '-27', '0']"
0,1,201,-36,"[0, '-37', '-31', '-32']"
0,1,202,-39,"[0, '-37', '-31', '-32']"
0,1,203,-44,"[0, '-37', '-31', '-32']"
0,1,204,-62,"[0, '-37', '-31', '-32']"
0,1,205,-48,"[0, '-37', '-31', '-32']"
1,1,206,-30,"['-38', '120', '-22', '-37']"
1,1,207,-30,"['-38', '120', '-22', '-37']"
1,1,208,-30,"['-38', '120', '-22', '-37']"
1,1,209,-29,"['-38', '120', '-22', '-37']"
1,1,210,-29,"['-38', '120', '-22', '-37']"
2,1,206,-30,"['-30', '-22', '0', '-27']"
2,1,207,-30,"['-30', '-22', '0', '-27']"
2,1,208,-31,"['-30', '-22', '0', '-27']"
2,1,209,-31,"['-30', '-22', '0', '-27']"
2,1,210,-31,"['-30', '-22', '0', '-27']"
3,1,206,-38,"['-32', '-37', '-27', '0']"
3,1,207,-38,"['-32', '-37', '-27', '0']"
3,1,208,-38,"['-32', '-37', '-27', '0']"
3,1,209,-38,"['-32', '-37', '-27', '0']"
3,1,210,-38,"['-32', '-37', '-27', '0']"
0,1,206,-35,"[0, '-38', '-30', '-32']"
