RxNID,TXNID,PacketNo,TxRSSI,RSSI0,RSSI1,RSSI2,RSSI3
2,1,135,-44,"['-52', '-33', '0', '-36']"
2,1,136,-44,"['-52', '-33', '0', '-36']"
2,1,137,-44,"['-52', '-33', '0', '-36']"
2,1,138,-44,"['-52', '-33', '0', '-36']"
2,1,134,-44,"['-52', '-33', '0', '-36']"
3,1,135,-51,"['-42', '-60', '-36', '0']"
3,1,136,-51,"['-42', '-60', '-36', '0']"
3,1,137,-51,"['-42', '-60', '-36', '0']"
3,1,138,-51,"['-42', '-60', '-36', '0']"
3,1,134,-51,"['-42', '-60', '-36', '0']"
0,1,137,-50,"[0, 1, '-53', '-43']"
0,1,138,-50,"[0, 1, '-53', '-43']"
0,1,134,-50,"[0, 1, '-53', '-43']"
0,1,135,-50,"[0, 1, '-53', '-43']"
0,1,136,-50,"[0, 1, '-53', '-43']"
1,1,140,-30,"['-39', '120', '-33', '-60']"
1,1,141,-30,"['-39', '120', '-33', '-60']"
1,1,142,-30,"['-39', '120', '-33', '-60']"
1,1,143,-30,"['-39', '120', '-33', '-60']"
1,1,139,-30,"['-39', '120', '-33', '-60']"
2,1,140,-44,"['-52', '-33', '0', '-36']"
2,1,141,-44,"['-52', '-33', '0', '-36']"
2,1,142,-44,"['-52', '-33', '0', '-36']"
2,1,143,-44,"['-52', '-33', '0', '-36']"
2,1,139,-44,"['-52', '-33', '0', '-36']"
3,1,140,-51,"['-42', '-60', '-36', '0']"
3,1,141,-51,"['-42', '-60', '-36', '0']"
3,1,142,-51,"['-42', '-60', '-36', '0']"
3,1,143,-51,"['-42', '-60', '-36', '0']"
3,1,139,-51,"['-42', '-60', '-36', '0']"
0,1,142,-50,"[0, '-41', '-53', '-43']"
0,1,143,-50,"[0, '-41', '-53', '-43']"
0,1,139,-50,"[0, '-41', '-53', '-43']"
0,1,140,-50,"[0, '-41', '-53', '-43']"
0,1,141,-50,"[0, '-41', '-53', '-43']"
1,1,145,-30,"['-39', '120', '-33', '-60']"
1,1,146,-30,"['-39', '120', '-33', '-60']"
1,1,147,-30,"['-39', '120', '-33', '-60']"
1,1,148,-30,"['-39', '120', '-33', '-60']"
1,1,144,-30,"['-39', '120', '-33', '-60']"
2,1,145,-44,"['-52', '-33', '0', '-36']"
2,1,146,-44,"['-52', '-33', '0', '-36']"
2,1,147,-44,"['-52', '-33', '0', '-36']"
2,1,148,-44,"['-52', '-33', '0', '-36']"
2,1,144,-44,"['-52', '-33', '0', '-36']"
3,1,145,-51,"['-43', '-60', '-36', '0']"
3,1,146,-51,"['-43', '-60', '-36', '0']"
3,1,147,-51,"['-43', '-60', '-36', '0']"
3,1,148,-51,"['-43', '-60', '-36', '0']"
3,1,144,-51,"['-43', '-60', '-36', '0']"
0,1,147,-50,"[0, '-41', '-53', '-43']"
0,1,148,-50,"[0, '-41', '-53', '-43']"
0,1,144,-50,"[0, '-41', '-53', '-43']"
0,1,145,-50,"[0, '-41', '-53', '-43']"
0,1,146,-50,"[0, '-41', '-53', '-43']"
1,1,150,-30,"['-39', '120', '-32', '-60']"
1,1,151,-30,"['-39', '120', '-32', '-60']"
1,1,152,-30,"['-39', '120', '-32', '-60']"
1,1,153,-30,"['-39', '120', '-32', '-60']"
1,1,149,-30,"['-39', '120', '-32', '-60']"
2,1,150,-44,"['-52', '-33', '0', '-36']"
2,1,151,-44,"['-52', '-33', '0', '-36']"
2,1,152,-44,"['-52', '-33', '0', '-36']"
2,1,153,-44,"['-52', '-33', '0', '-36']"
2,1,149,-44,"['-52', '-33', '0', '-36']"
3,1,150,-51,"['-42', '-60', '-36', '0']"
3,1,151,-51,"['-42', '-60', '-36', '0']"
3,1,152,-51,"['-42', '-60', '-36', '0']"
3,1,153,-51,"['-42', '-60', '-36', '0']"
3,1,149,-51,"['-42', '-60', '-36', '0']"
0,1,152,-50,"[0, '-41', '-53', '-43']"
0,1,153,-50,"[0, '-41', '-53', '-43']"
0,1,149,-50,"[0, '-41', '-53', '-43']"
0,1,150,-50,"[0, '-41', '-53', '-43']"
0,1,151,-50,"[0, '-41', '-53', '-43']"
1,1,155,-30,"['-39', '120', '-33', '-60']"
1,1,156,-30,"['-39', '120', '-33', '-60']"
1,1,157,-30,"['-39', '120', '-33', '-60']"
1,1,158,-30,"['-39', '120', '-33', '-60']"
1,1,154,-30,"['-39', '120', '-33', '-60']"
2,1,155,-44,"['-52', '-33', '0', '-36']"
2,1,156,-44,"['-52', '-33', '0', '-36']"
