RxNID,TXNID,PacketNo,TxRSSI,RSSI0,RSSI1,RSSI2,RSSI3
2,1,1,-39,"['-52', '-33', '0', '-36']"
2,1,2,-39,"['-52', '-33', '0', '-36']"
2,1,3,-39,"['-52', '-33', '0', '-36']"
2,1,4,-39,"['-52', '-33', '0', '-36']"
2,1,0,-39,"['-52', '-33', '0', '-36']"
3,1,1,-44,"['-43', '-59', '-36', '0']"
3,1,2,-44,"['-43', '-59', '-36', '0']"
3,1,3,-44,"['-43', '-59', '-36', '0']"
3,1,4,-44,"['-43', '-59', '-36', '0']"
3,1,0,-44,"['-43', '-59', '-36', '0']"
0,1,3,-37,"[0, 1, '-52', '-44']"
0,1,4,-37,"[0, 1, '-52', '-44']"
0,1,0,-37,"[0, 1, '-52', '-44']"
0,1,1,-37,"[0, 1, '-52', '-44']"
0,1,2,-37,"[0, 1, '-52', '-44']"
1,1,6,-38,"['-39', '120', '-33', '-58']"
1,1,7,-38,"['-39', '120', '-33', '-58']"
1,1,8,-38,"['-39', '120', '-33', '-58']"
1,1,9,-38,"['-39', '120', '-33', '-58']"
1,1,5,-38,"['-39', '120', '-33', '-58']"
2,1,6,-39,"['-52', '-33', '0', '-36']"
2,1,7,-39,"['-52', '-33', '0', '-36']"
2,1,8,-39,"['-52', '-33', '0', '-36']"
2,1,9,-39,"['-52', '-33', '0', '-36']"
2,1,5,-39,"['-52', '-33', '0', '-36']"
3,1,6,-44,"['-43', '-59', '-36', '0']"
3,1,7,-44,"['-43', '-59', '-36', '0']"
3,1,8,-44,"['-43', '-59', '-36', '0']"
3,1,9,-44,"['-43', '-59', '-36', '0']"
3,1,5,-44,"['-43', '-59', '-36', '0']"
0,1,8,-37,"[0, '-41', '-52', '-44']"
0,1,9,-37,"[0, '-41', '-52', '-44']"
0,1,5,-37,"[0, '-41', '-52', '-44']"
0,1,6,-37,"[0, '-41', '-52', '-44']"
0,1,7,-37,"[0, '-41', '-52', '-44']"
1,1,11,-38,"['-39', '120', '-33', '-58']"
1,1,12,-38,"['-39', '120', '-33', '-58']"
1,1,13,-38,"['-39', '120', '-33', '-58']"
1,1,14,-38,"['-39', '120', '-33', '-58']"
1,1,10,-38,"['-39', '120', '-33', '-58']"
2,1,11,-39,"['-52', '-33', '0', '-36']"
2,1,12,-39,"['-52', '-33', '0', '-36']"
