RxNID,TXNID,PacketNo,TxRSSI,RSSI0,RSSI1,RSSI2,RSSI3
3,1,28,-39,"['-42', '-62', '-36', '0']"
3,1,29,-39,"['-42', '-62', '-36', '0']"
3,1,30,-39,"['-42', '-62', '-36', '0']"
3,1,31,-39,"['-42', '-62', '-36', '0']"
3,1,27,-39,"['-42', '-62', '-36', '0']"
0,1,29,-45,"[0, 1, 2, '-42']"
0,1,30,-45,"[0, 1, 2, '-42']"
0,1,31,-45,"[0, 1, 2, '-42']"
0,1,27,-45,"[0, 1, 2, '-42']"
0,1,28,-45,"[0, 1, 2, '-42']"
1,1,33,-41,"['-40', '120', '-33', '-61']"
1,1,34,-41,"['-40', '120', '-33', '-61']"
1,1,35,-41,"['-40', '120', '-33', '-61']"
1,1,36,-41,"['-40', '120', '-33', '-61']"
1,1,32,-41,"['-40', '120', '-33', '-61']"
2,1,33,-33,"['-53', '-33', '0', '-36']"
2,1,34,-33,"['-53', '-33', '0', '-36']"
2,1,35,-33,"['-53', '-33', '0', '-36']"
2,1,36,-33,"['-53', '-33', '0', '-36']"
2,1,32,-33,"['-53', '-33', '0', '-36']"
3,1,33,-39,"['-42', '-62', '-36', '0']"
3,1,34,-39,"['-42', '-62', '-36', '0']"
3,1,35,-39,"['-42', '-62', '-36', '0']"
3,1,36,-39,"['-42', '-62', '-36', '0']"
3,1,32,-39,"['-42', '-62', '-36', '0']"
0,1,34,-45,"[0, '-42', '-53', '-42']"
0,1,35,-45,"[0, '-42', '-53', '-42']"
0,1,36,-45,"[0, '-42', '-53', '-42']"
0,1,32,-45,"[0, '-42', '-53', '-42']"
0,1,33,-45,"[0, '-42', '-53', '-42']"
1,1,38,-41,"['-40', '120', '-33', '-60']"
1,1,39,-41,"['-40', '120', '-33', '-60']"
1,1,40,-41,"['-40', '120', '-33', '-60']"
1,1,41,-41,"['-40', '120', '-33', '-60']"
1,1,37,-41,"['-40', '120', '-33', '-60']"
