RxNID,TXNID,PacketNo,TxRSSI,RSSI0,RSSI1,RSSI2,RSSI3
3,1,6,-34,"['-39', '-64', '-36', '0']"
3,1,7,-34,"['-39', '-64', '-36', '0']"
3,1,8,-34,"['-39', '-64', '-36', '0']"
3,1,9,-34,"['-39', '-64', '-36', '0']"
3,1,5,-33,"['-39', '-64', '-36', '0']"
0,1,7,-48,"[0, 1, 2, '-40']"
0,1,8,-48,"[0, 1, 2, '-40']"
0,1,9,-48,"[0, 1, 2, '-40']"
0,1,5,-47,"[0, 1, 2, '-40']"
0,1,6,-48,"[0, 1, 2, '-40']"
1,1,11,-39,"['-36', '120', '-32', '-63']"
1,1,12,-39,"['-36', '120', '-32', '-63']"
1,1,13,-39,"['-36', '120', '-32', '-63']"
1,1,14,-39,"['-36', '120', '-32', '-63']"
1,1,10,-39,"['-36', '120', '-32', '-63']"
2,1,11,-51,"['-50', '-33', '0', '-36']"
2,1,12,-51,"['-50', '-33', '0', '-36']"
2,1,13,-51,"['-50', '-33', '0', '-36']"
2,1,14,-51,"['-50', '-33', '0', '-36']"
2,1,10,-51,"['-50', '-33', '0', '-36']"
3,1,11,-33,"['-39', '-64', '-36', '0']"
3,1,12,-33,"['-39', '-64', '-36', '0']"
3,1,13,-33,"['-39', '-64', '-36', '0']"
3,1,14,-33,"['-39', '-64', '-36', '0']"
3,1,10,-33,"['-39', '-64', '-36', '0']"
0,1,12,-47,"[0, '-38', '-50', '-40']"
0,1,13,-46,"[0, '-38', '-50', '-40']"
0,1,14,-46,"[0, '-38', '-50', '-40']"
0,1,10,-47,"[0, '-38', '-50', '-40']"
0,1,11,-47,"[0, '-38', '-50', '-40']"
1,1,16,-39,"['-36', '120', '-32', '-63']"
1,1,17,-39,"['-36', '120', '-32', '-63']"
1,1,18,-39,"['-36', '120', '-32', '-63']"
1,1,19,-39,"['-36', '120', '-32', '-63']"
1,1,15,-39,"['-36', '120', '-32', '-63']"
2,1,16,-51,"['-50', '-33', '0', '-36']"
2,1,17,-51,"['-50', '-33', '0', '-36']"
2,1,18,-51,"['-50', '-33', '0', '-36']"
2,1,19,-51,"['-50', '-33', '0', '-36']"
2,1,15,-51,"['-50', '-33', '0', '-36']"
3,1,16,-33,"['-39', '-65', '-36', '0']"
3,1,17,-33,"['-39', '-65', '-36', '0']"
3,1,18,-33,"['-39', '-65', '-36', '0']"
3,1,19,-33,"['-39', '-65', '-36', '0']"
3,1,15,-33,"['-39', '-65', '-36', '0']"
0,1,17,-45,"[0, '-38', '-51', '-40']"
0,1,18,-45,"[0, '-38', '-51', '-40']"
0,1,19,-45,"[0, '-38', '-51', '-40']"
0,1,15,-45,"[0, '-38', '-51', '-40']"
0,1,16,-45,"[0, '-38', '-51', '-40']"
1,1,21,-39,"['-36', '120', '-32', '-63']"
1,1,22,-39,"['-36', '120', '-32', '-63']"
1,1,23,-39,"['-36', '120', '-32', '-63']"
1,1,24,-39,"['-36', '120', '-32', '-63']"
1,1,20,-39,"['-36', '120', '-32', '-63']"
2,1,21,-52,"['-50', '-33', '0', '-36']"
2,1,22,-51,"['-50', '-33', '0', '-36']"
2,1,23,-50,"['-50', '-33', '0', '-36']"
2,1,24,-50,"['-50', '-33', '0', '-36']"
2,1,20,-52,"['-50', '-33', '0', '-36']"
3,1,21,-33,"['-39', '-64', '-36', '0']"
3,1,22,-33,"['-39', '-64', '-36', '0']"
3,1,23,-34,"['-39', '-64', '-36', '0']"
3,1,24,-34,"['-39', '-64', '-36', '0']"
3,1,20,-33,"['-39', '-64', '-36', '0']"
0,1,22,-42,"[0, '-38', '-52', '-42']"
0,1,23,-39,"[0, '-38', '-52', '-42']"
0,1,24,-39,"[0, '-38', '-52', '-42']"
0,1,20,-52,"[0, '-38', '-52', '-42']"
0,1,21,-46,"[0, '-38', '-52', '-42']"
1,1,26,-41,"['-37', '120', '-32', '-63']"
1,1,27,-41,"['-37', '120', '-32', '-63']"
1,1,28,-41,"['-37', '120', '-32', '-63']"
1,1,29,-41,"['-37', '120', '-32', '-63']"
1,1,25,-40,"['-37', '120', '-32', '-63']"
2,1,26,-52,"['-52', '-33', '0', '-36']"
2,1,27,-52,"['-52', '-33', '0', '-36']"
2,1,28,-52,"['-52', '-33', '0', '-36']"
2,1,29,-52,"['-52', '-33', '0', '-36']"
2,1,25,-52,"['-52', '-33', '0', '-36']"
3,1,26,-35,"['-41', '-65', '-36', '0']"
3,1,27,-35,"['-41', '-65', '-36', '0']"
3,1,28,-35,"['-41', '-65', '-36', '0']"
3,1,29,-35,"['-41', '-65', '-36', '0']"
3,1,25,-35,"['-41', '-65', '-36', '0']"
0,1,27,-32,"[0, '-38', '-52', '-42']"
0,1,28,-32,"[0, '-38', '-52', '-42']"
0,1,29,-32,"[0, '-38', '-52', '-42']"
0,1,25,-33,"[0, '-38', '-52', '-42']"
0,1,26,-32,"[0, '-38', '-52', '-42']"
1,1,31,-41,"['-37', '120', '-32', '-64']"
1,1,32,-41,"['-37', '120', '-32', '-64']"
1,1,33,-41,"['-37', '120', '-32', '-64']"
1,1,34,-41,"['-37', '120', '-32', '-64']"
1,1,30,-41,"['-37', '120', '-32', '-64']"
2,1,31,-51,"['-51', '-33', '0', '-36']"
2,1,32,-51,"['-51', '-33', '0', '-36']"
2,1,33,-52,"['-51', '-33', '0', '-36']"
2,1,34,-52,"['-51', '-33', '0', '-36']"
2,1,30,-51,"['-51', '-33', '0', '-36']"
3,1,31,-36,"['-41', '-65', '-36', '0']"
3,1,32,-36,"['-41', '-65', '-36', '0']"
3,1,33,-36,"['-41', '-65', '-36', '0']"
3,1,34,-36,"['-41', '-65', '-36', '0']"
3,1,30,-36,"['-41', '-65', '-36', '0']"
0,1,32,-31,"[0, '-38', '-52', '-42']"
0,1,33,-31,"[0, '-38', '-52', '-42']"
0,1,34,-31,"[0, '-38', '-52', '-42']"
0,1,30,-31,"[0, '-38', '-52', '-42']"
0,1,31,-31,"[0, '-38', '-52', '-42']"
1,1,36,-42,"['-37', '120', '-32', '-64']"
1,1,37,-42,"['-37', '120', '-32', '-64']"
1,1,38,-42,"['-37', '120', '-32', '-64']"
1,1,39,-42,"['-37', '120', '-32', '-64']"
1,1,35,-42,"['-37', '120', '-32', '-64']"
2,1,36,-52,"['-51', '-33', '0', '-36']"
2,1,37,-52,"['-51', '-33', '0', '-36']"
2,1,38,-52,"['-51', '-33', '0', '-36']"
2,1,39,-52,"['-51', '-33', '0', '-36']"
2,1,35,-52,"['-51', '-33', '0', '-36']"
3,1,36,-36,"['-41', '-65', '-36', '0']"
3,1,37,-36,"['-41', '-65', '-36', '0']"
3,1,38,-36,"['-41', '-65', '-36', '0']"
3,1,39,-36,"['-41', '-65', '-36', '0']"
3,1,35,-36,"['-41', '-65', '-36', '0']"
0,1,37,-32,"[0, '-38', '-52', '-42']"
0,1,38,-32,"[0, '-38', '-52', '-42']"
0,1,39,-32,"[0, '-38', '-52', '-42']"
0,1,35,-32,"[0, '-38', '-52', '-42']"
0,1,36,-32,"[0, '-38', '-52', '-42']"
1,1,41,-42,"['-37', '120', '-32', '-64']"
1,1,42,-42,"['-37', '120', '-32', '-64']"
1,1,43,-42,"['-37', '120', '-32', '-64']"
1,1,44,-42,"['-37', '120', '-32', '-64']"
1,1,40,-42,"['-37', '120', '-32', '-64']"
2,1,41,-52,"['-51', '-33', '0', '-36']"
2,1,42,-52,"['-51', '-33', '0', '-36']"
2,1,43,-52,"['-51', '-33', '0', '-36']"
2,1,44,-52,"['-51', '-33', '0', '-36']"
2,1,40,-52,"['-51', '-33', '0', '-36']"
3,1,41,-36,"['-41', '-65', '-36', '0']"
3,1,42,-36,"['-41', '-65', '-36', '0']"
3,1,43,-36,"['-41', '-65', '-36', '0']"
3,1,44,-36,"['-41', '-65', '-36', '0']"
3,1,40,-36,"['-41', '-65', '-36', '0']"
0,1,42,-33,"[0, '-38', '-51', '-42']"
0,1,43,-33,"[0, '-38', '-51', '-42']"
0,1,44,-33,"[0, '-38', '-51', '-42']"
0,1,40,-32,"[0, '-38', '-51', '-42']"
0,1,41,-33,"[0, '-38', '-51', '-42']"
1,1,46,-42,"['-37', '120', '-32', '-64']"
1,1,47,-42,"['-37', '120', '-32', '-64']"
1,1,48,-42,"['-37', '120', '-32', '-64']"
1,1,49,-42,"['-37', '120', '-32', '-64']"
1,1,45,-42,"['-37', '120', '-32', '-64']"
2,1,46,-52,"['-51', '-33', '0', '-36']"
