RxNID,TXNID,PacketNo,TxRSSI,RSSI0,RSSI1,RSSI2,RSSI3
1,1,147,-35,"['-37', '120', '-33', '-54']"
1,1,148,-35,"['-37', '120', '-33', '-54']"
1,1,149,-35,"['-37', '120', '-33', '-54']"
1,1,150,-35,"['-37', '120', '-33', '-54']"
1,1,146,-35,"['-37', '120', '-33', '-54']"
2,1,148,-39,"['-54', '-33', '0', '-36']"
2,1,149,-39,"['-54', '-33', '0', '-36']"
2,1,150,-39,"['-54', '-33', '0', '-36']"
2,1,146,-39,"['-54', '-33', '0', '-36']"
2,1,147,-39,"['-54', '-33', '0', '-36']"
3,1,147,-53,"['-44', '-54', '-36', '0']"
3,1,148,-53,"['-44', '-54', '-36', '0']"
3,1,149,-53,"['-44', '-54', '-36', '0']"
3,1,150,-53,"['-44', '-54', '-36', '0']"
3,1,146,-53,"['-44', '-54', '-36', '0']"
0,1,149,-48,"[0, '-39', '-54', '-45']"
0,1,150,-48,"[0, '-39', '-54', '-45']"
0,1,146,-48,"[0, '-39', '-54', '-45']"
0,1,147,-48,"[0, '-39', '-54', '-45']"
0,1,148,-48,"[0, '-39', '-54', '-45']"
1,1,152,-35,"['-38', '120', '-33', '-54']"
1,1,153,-35,"['-38', '120', '-33', '-54']"
1,1,154,-35,"['-38', '120', '-33', '-54']"
1,1,155,-35,"['-38', '120', '-33', '-54']"
1,1,151,-35,"['-38', '120', '-33', '-54']"
2,1,153,-39,"['-54', '-33', '0', '-36']"
2,1,154,-39,"['-54', '-33', '0', '-36']"
2,1,155,-39,"['-54', '-33', '0', '-36']"
2,1,151,-39,"['-54', '-33', '0', '-36']"
2,1,152,-39,"['-54', '-33', '0', '-36']"
3,1,152,-52,"['-44', '-54', '-36', '0']"
3,1,153,-52,"['-44', '-54', '-36', '0']"
3,1,154,-52,"['-44', '-54', '-36', '0']"
3,1,155,-52,"['-44', '-54', '-36', '0']"
3,1,151,-52,"['-44', '-54', '-36', '0']"
0,1,154,-48,"[0, '-39', '-54', '-45']"
0,1,155,-48,"[0, '-39', '-54', '-45']"
0,1,151,-48,"[0, '-39', '-54', '-45']"
0,1,152,-48,"[0, '-39', '-54', '-45']"
0,1,153,-48,"[0, '-39', '-54', '-45']"
1,1,157,-35,"['-37', '120', '-33', '-54']"
1,1,158,-35,"['-37', '120', '-33', '-54']"
1,1,159,-35,"['-37', '120', '-33', '-54']"
1,1,160,-35,"['-37', '120', '-33', '-54']"
1,1,156,-35,"['-37', '120', '-33', '-54']"
2,1,158,-39,"['-54', '-33', '0', '-36']"
2,1,159,-39,"['-54', '-33', '0', '-36']"
2,1,160,-39,"['-54', '-33', '0', '-36']"
2,1,156,-39,"['-54', '-33', '0', '-36']"
2,1,157,-39,"['-54', '-33', '0', '-36']"
3,1,157,-52,"['-44', '-54', '-36', '0']"
3,1,158,-52,"['-44', '-54', '-36', '0']"
3,1,159,-52,"['-44', '-54', '-36', '0']"
3,1,160,-52,"['-44', '-54', '-36', '0']"
3,1,156,-52,"['-44', '-54', '-36', '0']"
0,1,159,-48,"[0, '-39', '-54', '-45']"
0,1,160,-48,"[0, '-39', '-54', '-45']"
0,1,156,-48,"[0, '-39', '-54', '-45']"
0,1,157,-48,"[0, '-39', '-54', '-45']"
0,1,158,-48,"[0, '-39', '-54', '-45']"
1,1,162,-35,"['-37', '120', '-33', '-54']"
1,1,163,-35,"['-37', '120', '-33', '-54']"
1,1,164,-35,"['-37', '120', '-33', '-54']"
1,1,165,-35,"['-37', '120', '-33', '-54']"
1,1,161,-35,"['-37', '120', '-33', '-54']"
2,1,163,-39,"['-54', '-33', '0', '-36']"
2,1,164,-39,"['-54', '-33', '0', '-36']"
2,1,165,-39,"['-54', '-33', '0', '-36']"
2,1,161,-39,"['-54', '-33', '0', '-36']"
2,1,162,-39,"['-54', '-33', '0', '-36']"
3,1,162,-52,"['-44', '-54', '-36', '0']"
3,1,163,-52,"['-44', '-54', '-36', '0']"
3,1,164,-52,"['-44', '-54', '-36', '0']"
3,1,165,-52,"['-44', '-54', '-36', '0']"
3,1,161,-52,"['-44', '-54', '-36', '0']"
0,1,164,-48,"[0, '-38', '-54', '-45']"
0,1,165,-48,"[0, '-38', '-54', '-45']"
0,1,161,-48,"[0, '-38', '-54', '-45']"
0,1,162,-48,"[0, '-38', '-54', '-45']"
0,1,163,-48,"[0, '-38', '-54', '-45']"
1,1,167,-35,"['-37', '120', '-33', '-54']"
1,1,168,-35,"['-37', '120', '-33', '-54']"
1,1,169,-35,"['-37', '120', '-33', '-54']"
1,1,170,-35,"['-37', '120', '-33', '-54']"
1,1,166,-35,"['-37', '120', '-33', '-54']"
2,1,168,-39,"['-54', '-33', '0', '-36']"
2,1,169,-39,"['-54', '-33', '0', '-36']"
2,1,170,-39,"['-54', '-33', '0', '-36']"
2,1,166,-39,"['-54', '-33', '0', '-36']"
2,1,167,-39,"['-54', '-33', '0', '-36']"
3,1,167,-52,"['-44', '-54', '-36', '0']"
3,1,168,-52,"['-44', '-54', '-36', '0']"
3,1,169,-52,"['-44', '-54', '-36', '0']"
3,1,170,-52,"['-44', '-54', '-36', '0']"
3,1,166,-52,"['-44', '-54', '-36', '0']"
0,1,169,-48,"[0, '-38', '-54', '-45']"
0,1,170,-48,"[0, '-38', '-54', '-45']"
0,1,166,-48,"[0, '-38', '-54', '-45']"
0,1,167,-48,"[0, '-38', '-54', '-45']"
0,1,168,-48,"[0, '-38', '-54', '-45']"
1,1,172,-35,"['-37', '120', '-33', '-54']"
1,1,173,-35,"['-37', '120', '-33', '-54']"
1,1,174,-35,"['-37', '120', '-33', '-54']"
1,1,175,-35,"['-37', '120', '-33', '-54']"
1,1,171,-35,"['-37', '120', '-33', '-54']"
2,1,173,-39,"['-54', '-33', '0', '-36']"
2,1,174,-39,"['-54', '-33', '0', '-36']"
2,1,175,-39,"['-54', '-33', '0', '-36']"
2,1,171,-39,"['-54', '-33', '0', '-36']"
2,1,172,-39,"['-54', '-33', '0', '-36']"
3,1,172,-52,"['-45', '-54', '-36', '0']"
3,1,173,-52,"['-45', '-54', '-36', '0']"
3,1,174,-52,"['-45', '-54', '-36', '0']"
3,1,175,-52,"['-45', '-54', '-36', '0']"
3,1,171,-52,"['-45', '-54', '-36', '0']"
0,1,174,-48,"[0, '-38', '-54', '-45']"
0,1,175,-48,"[0, '-38', '-54', '-45']"
0,1,171,-48,"[0, '-38', '-54', '-45']"
0,1,172,-48,"[0, '-38', '-54', '-45']"
0,1,173,-48,"[0, '-38', '-54', '-45']"
1,1,177,-35,"['-37', '120', '-33', '-54']"
1,1,178,-35,"['-37', '120', '-33', '-54']"
1,1,179,-35,"['-37', '120', '-33', '-54']"
1,1,180,-35,"['-37', '120', '-33', '-54']"
1,1,176,-35,"['-37', '120', '-33', '-54']"
2,1,178,-39,"['-54', '-33', '0', '-36']"
2,1,179,-39,"['-54', '-33', '0', '-36']"
2,1,180,-39,"['-54', '-33', '0', '-36']"
2,1,176,-39,"['-54', '-33', '0', '-36']"
2,1,177,-39,"['-54', '-33', '0', '-36']"
3,1,177,-52,"['-45', '-54', '-36', '0']"
3,1,178,-52,"['-45', '-54', '-36', '0']"
3,1,179,-52,"['-45', '-54', '-36', '0']"
3,1,180,-52,"['-45', '-54', '-36', '0']"
3,1,176,-52,"['-45', '-54', '-36', '0']"
0,1,179,-48,"[0, '-38', '-54', '-48']"
0,1,180,-48,"[0, '-38', '-54', '-48']"
