RxNID,TXNID,PacketNo,TxRSSI,RSSI0,RSSI1,RSSI2,RSSI3
3,1,165,-41,"['-42', '-58', '-36', '0']"
3,1,166,-41,"['-42', '-58', '-36', '0']"
3,1,167,-41,"['-42', '-58', '-36', '0']"
3,1,168,-41,"['-42', '-58', '-36', '0']"
3,1,164,-41,"['-42', '-58', '-36', '0']"
0,1,166,-54,"[0, 1, 2, '-43']"
0,1,167,-54,"[0, 1, 2, '-43']"
0,1,168,-54,"[0, 1, 2, '-43']"
0,1,164,-54,"[0, 1, 2, '-43']"
0,1,165,-54,"[0, 1, 2, '-43']"
1,1,170,-38,"['-40', '120', '-33', '-58']"
1,1,171,-38,"['-40', '120', '-33', '-58']"
1,1,172,-38,"['-40', '120', '-33', '-58']"
1,1,173,-38,"['-40', '120', '-33', '-58']"
1,1,169,-38,"['-40', '120', '-33', '-58']"
2,1,170,-26,"['-50', '-33', '0', '-36']"
2,1,171,-26,"['-50', '-33', '0', '-36']"
2,1,172,-26,"['-50', '-33', '0', '-36']"
2,1,173,-26,"['-50', '-33', '0', '-36']"
2,1,169,-26,"['-50', '-33', '0', '-36']"
3,1,170,-41,"['-42', '-58', '-36', '0']"
3,1,171,-41,"['-42', '-58', '-36', '0']"
3,1,172,-41,"['-42', '-58', '-36', '0']"
3,1,173,-41,"['-42', '-58', '-36', '0']"
3,1,169,-41,"['-42', '-58', '-36', '0']"
0,1,171,-54,"[0, '-41', '-50', '-43']"
0,1,172,-54,"[0, '-41', '-50', '-43']"
0,1,173,-54,"[0, '-41', '-50', '-43']"
0,1,169,-54,"[0, '-41', '-50', '-43']"
0,1,170,-54,"[0, '-41', '-50', '-43']"
1,1,175,-38,"['-39', '120', '-32', '-58']"
1,1,176,-38,"['-39', '120', '-32', '-58']"
1,1,177,-38,"['-39', '120', '-32', '-58']"
1,1,178,-38,"['-39', '120', '-32', '-58']"
1,1,174,-38,"['-39', '120', '-32', '-58']"
2,1,175,-26,"['-50', '-33', '0', '-36']"
2,1,176,-26,"['-50', '-33', '0', '-36']"
2,1,177,-26,"['-50', '-33', '0', '-36']"
2,1,178,-26,"['-50', '-33', '0', '-36']"
2,1,174,-26,"['-50', '-33', '0', '-36']"
3,1,175,-41,"['-42', '-58', '-36', '0']"
3,1,176,-41,"['-42', '-58', '-36', '0']"
3,1,177,-41,"['-42', '-58', '-36', '0']"
3,1,178,-41,"['-42', '-58', '-36', '0']"
3,1,174,-41,"['-42', '-58', '-36', '0']"
0,1,176,-54,"[0, '-41', '-50', '-43']"
0,1,177,-54,"[0, '-41', '-50', '-43']"
0,1,178,-54,"[0, '-41', '-50', '-43']"
0,1,174,-54,"[0, '-41', '-50', '-43']"
0,1,175,-54,"[0, '-41', '-50', '-43']"
1,1,180,-38,"['-39', '120', '-33', '-58']"
1,1,181,-38,"['-39', '120', '-33', '-58']"
1,1,182,-38,"['-39', '120', '-33', '-58']"
1,1,183,-38,"['-39', '120', '-33', '-58']"
1,1,179,-38,"['-39', '120', '-33', '-58']"
2,1,180,-26,"['-50', '-33', '0', '-36']"
2,1,181,-26,"['-50', '-33', '0', '-36']"
2,1,182,-26,"['-50', '-33', '0', '-36']"
2,1,183,-26,"['-50', '-33', '0', '-36']"
2,1,179,-26,"['-50', '-33', '0', '-36']"
3,1,180,-41,"['-42', '-58', '-36', '0']"
3,1,181,-41,"['-42', '-58', '-36', '0']"
3,1,182,-41,"['-42', '-58', '-36', '0']"
3,1,183,-41,"['-42', '-58', '-36', '0']"
3,1,179,-41,"['-42', '-58', '-36', '0']"
0,1,181,-54,"[0, '-41', '-50', '-42']"
0,1,182,-54,"[0, '-41', '-50', '-42']"
0,1,183,-54,"[0, '-41', '-50', '-42']"
0,1,179,-54,"[0, '-41', '-50', '-42']"
0,1,180,-54,"[0, '-41', '-50', '-42']"
1,1,185,-38,"['-40', '120', '-33', '-58']"
1,1,186,-38,"['-40', '120', '-33', '-58']"
1,1,187,-38,"['-40', '120', '-33', '-58']"
1,1,188,-38,"['-40', '120', '-33', '-58']"
1,1,184,-38,"['-40', '120', '-33', '-58']"
2,1,185,-26,"['-50', '-33', '0', '-36']"
2,1,186,-26,"['-50', '-33', '0', '-36']"
2,1,187,-26,"['-50', '-33', '0', '-36']"
2,1,188,-26,"['-50', '-33', '0', '-36']"
2,1,184,-26,"['-50', '-33', '0', '-36']"
3,1,185,-41,"['-42', '-58', '-36', '0']"
3,1,186,-41,"['-42', '-58', '-36', '0']"
3,1,187,-41,"['-42', '-58', '-36', '0']"
3,1,188,-41,"['-42', '-58', '-36', '0']"
3,1,184,-41,"['-42', '-58', '-36', '0']"
0,1,186,-54,"[0, '-41', '-50', '-42']"
0,1,187,-54,"[0, '-41', '-50', '-42']"
0,1,188,-54,"[0, '-41', '-50', '-42']"
0,1,184,-54,"[0, '-41', '-50', '-42']"
0,1,185,-54,"[0, '-41', '-50', '-42']"
1,1,190,-38,"['-40', '120', '-33', '-58']"
1,1,191,-38,"['-40', '120', '-33', '-58']"
1,1,192,-38,"['-40', '120', '-33', '-58']"
1,1,193,-38,"['-40', '120', '-33', '-58']"
1,1,189,-38,"['-40', '120', '-33', '-58']"
2,1,190,-26,"['-50', '-33', '0', '-36']"
2,1,191,-26,"['-50', '-33', '0', '-36']"
2,1,192,-26,"['-50', '-33', '0', '-36']"
2,1,193,-26,"['-50', '-33', '0', '-36']"
2,1,189,-26,"['-50', '-33', '0', '-36']"
3,1,190,-41,"['-42', '-58', '-36', '0']"
3,1,191,-41,"['-42', '-58', '-36', '0']"
3,1,192,-41,"['-42', '-58', '-36', '0']"
3,1,193,-41,"['-42', '-58', '-36', '0']"
3,1,189,-41,"['-42', '-58', '-36', '0']"
0,1,191,-54,"[0, '-41', '-50', '-42']"
0,1,192,-54,"[0, '-41', '-50', '-42']"
0,1,193,-54,"[0, '-41', '-50', '-42']"
0,1,189,-54,"[0, '-41', '-50', '-42']"
0,1,190,-54,"[0, '-41', '-50', '-42']"
1,1,195,-38,"['-39', '120', '-33', '-58']"
1,1,196,-38,"['-39', '120', '-33', '-58']"
1,1,197,-38,"['-39', '120', '-33', '-58']"
1,1,198,-38,"['-39', '120', '-33', '-58']"
1,1,194,-38,"['-39', '120', '-33', '-58']"
2,1,195,-26,"['-50', '-33', '0', '-36']"
2,1,196,-26,"['-50', '-33', '0', '-36']"
2,1,197,-26,"['-50', '-33', '0', '-36']"
2,1,198,-26,"['-50', '-33', '0', '-36']"
2,1,194,-26,"['-50', '-33', '0', '-36']"
3,1,195,-41,"['-42', '-59', '-36', '0']"
3,1,196,-41,"['-42', '-59', '-36', '0']"
3,1,197,-41,"['-42', '-59', '-36', '0']"
3,1,198,-41,"['-42', '-59', '-36', '0']"
3,1,194,-41,"['-42', '-59', '-36', '0']"
0,1,196,-54,"[0, '-41', '-50', '-42']"
0,1,197,-54,"[0, '-41', '-50', '-42']"
0,1,198,-54,"[0, '-41', '-50', '-42']"
0,1,194,-54,"[0, '-41', '-50', '-42']"
0,1,195,-54,"[0, '-41', '-50', '-42']"
1,1,200,-38,"['-39', '120', '-32', '-58']"
1,1,201,-38,"['-39', '120', '-32', '-58']"
1,1,202,-38,"['-39', '120', '-32', '-58']"
1,1,203,-38,"['-39', '120', '-32', '-58']"
1,1,199,-38,"['-39', '120', '-32', '-58']"
2,1,200,-26,"['-50', '-33', '0', '-36']"
2,1,201,-26,"['-50', '-33', '0', '-36']"
2,1,202,-26,"['-50', '-33', '0', '-36']"
2,1,203,-26,"['-50', '-33', '0', '-36']"
2,1,199,-26,"['-50', '-33', '0', '-36']"
