RxNID,TXNID,PacketNo,TxRSSI,RSSI0,RSSI1,RSSI2,RSSI3
3,1,115,-38,"['-42', '-55', '-36', '0']"
3,1,116,-37,"['-42', '-55', '-36', '0']"
3,1,112,-37,"['-42', '-55', '-36', '0']"
3,1,113,-37,"['-42', '-55', '-36', '0']"
3,1,114,-37,"['-42', '-55', '-36', '0']"
0,1,112,-32,"[0, 1, 2, '-43']"
0,1,113,-32,"[0, 1, 2, '-43']"
0,1,114,-32,"[0, 1, 2, '-43']"
0,1,115,-32,"[0, 1, 2, '-43']"
0,1,116,-32,"[0, 1, 2, '-43']"
1,1,120,-40,"['-38', '120', '-33', '-54']"
1,1,121,-40,"['-38', '120', '-33', '-54']"
1,1,117,-40,"['-38', '120', '-33', '-54']"
1,1,118,-40,"['-38', '120', '-33', '-54']"
1,1,119,-40,"['-38', '120', '-33', '-54']"
2,1,121,-49,"['-50', '-33', '0', '-36']"
2,1,117,-49,"['-50', '-33', '0', '-36']"
2,1,118,-49,"['-50', '-33', '0', '-36']"
2,1,119,-49,"['-50', '-33', '0', '-36']"
2,1,120,-49,"['-50', '-33', '0', '-36']"
3,1,120,-37,"['-43', '-55', '-36', '0']"
3,1,121,-37,"['-43', '-55', '-36', '0']"
3,1,117,-37,"['-43', '-55', '-36', '0']"
3,1,118,-37,"['-43', '-55', '-36', '0']"
3,1,119,-37,"['-43', '-55', '-36', '0']"
0,1,117,-32,"[0, '-39', '-50', '-43']"
0,1,118,-32,"[0, '-39', '-50', '-43']"
0,1,119,-32,"[0, '-39', '-50', '-43']"
0,1,120,-32,"[0, '-39', '-50', '-43']"
0,1,121,-32,"[0, '-39', '-50', '-43']"
1,1,125,-40,"['-37', '120', '-33', '-54']"
1,1,126,-40,"['-37', '120', '-33', '-54']"
1,1,122,-40,"['-37', '120', '-33', '-54']"
1,1,123,-40,"['-37', '120', '-33', '-54']"
1,1,124,-40,"['-37', '120', '-33', '-54']"
2,1,126,-49,"['-50', '-33', '0', '-36']"
2,1,122,-49,"['-50', '-33', '0', '-36']"
2,1,123,-49,"['-50', '-33', '0', '-36']"
2,1,124,-49,"['-50', '-33', '0', '-36']"
2,1,125,-49,"['-50', '-33', '0', '-36']"
3,1,125,-38,"['-42', '-55', '-36', '0']"
3,1,126,-38,"['-42', '-55', '-36', '0']"
3,1,122,-38,"['-42', '-55', '-36', '0']"
3,1,123,-38,"['-42', '-55', '-36', '0']"
3,1,124,-38,"['-42', '-55', '-36', '0']"
0,1,122,-32,"[0, '-39', '-50', '-44']"
0,1,123,-32,"[0, '-39', '-50', '-44']"
0,1,124,-33,"[0, '-39', '-50', '-44']"
0,1,125,-33,"[0, '-39', '-50', '-44']"
0,1,126,-33,"[0, '-39', '-50', '-44']"
1,1,130,-40,"['-37', '120', '-33', '-55']"
1,1,131,-40,"['-37', '120', '-33', '-55']"
1,1,127,-40,"['-37', '120', '-33', '-55']"
1,1,128,-40,"['-37', '120', '-33', '-55']"
1,1,129,-40,"['-37', '120', '-33', '-55']"
2,1,131,-49,"['-49', '-33', '0', '-36']"
2,1,127,-49,"['-49', '-33', '0', '-36']"
2,1,128,-49,"['-49', '-33', '0', '-36']"
2,1,129,-49,"['-49', '-33', '0', '-36']"
2,1,130,-49,"['-49', '-33', '0', '-36']"
3,1,130,-39,"['-43', '-56', '-36', '0']"
3,1,131,-39,"['-43', '-56', '-36', '0']"
3,1,127,-39,"['-43', '-56', '-36', '0']"
3,1,128,-39,"['-43', '-56', '-36', '0']"
3,1,129,-39,"['-43', '-56', '-36', '0']"
0,1,127,-33,"[0, '-38', '-49', '-44']"
0,1,128,-33,"[0, '-38', '-49', '-44']"
0,1,129,-33,"[0, '-38', '-49', '-44']"
0,1,130,-33,"[0, '-38', '-49', '-44']"
0,1,131,-33,"[0, '-38', '-49', '-44']"
1,1,135,-41,"['-37', '120', '-33', '-55']"
1,1,136,-41,"['-37', '120', '-33', '-55']"
1,1,132,-41,"['-37', '120', '-33', '-55']"
1,1,133,-41,"['-37', '120', '-33', '-55']"
1,1,134,-41,"['-37', '120', '-33', '-55']"
2,1,136,-50,"['-49', '-33', '0', '-36']"
