NodeID,PacketNo,Iteration,RSSI,AbsTime,RecordedTime,Horizontal Distance (m),Vertical Distance RX (m),Vertical Distance TX (m)
1,15269,0,-24,0597124,00000000,1,2.03,1.25
1,15270,0,-24,0597156,00000000,1,2.03,1.25
1,15271,0,-24,0597187,00000000,1,2.03,1.25
1,15272,0,-25,0597218,00000000,1,2.03,1.25
1,15273,0,-25,0597249,00000000,1,2.03,1.25
1,15274,0,-26,0597280,00000000,1,2.03,1.25
1,15275,0,-26,0597311,00000000,1,2.03,1.25
1,15276,0,-27,0597342,00000000,1,2.03,1.25
1,15277,0,-27,0597374,00000000,1,2.03,1.25
1,15278,0,-28,0597405,00000000,1,2.03,1.25
1,15279,0,-28,0597436,00000000,1,2.03,1.25
1,15280,0,-28,0597467,00000000,1,2.03,1.25
1,15281,0,-27,0597498,00000000,1,2.03,1.25
1,15282,0,-27,0597529,00000000,1,2.03,1.25
1,15283,0,-26,0597560,00000000,1,2.03,1.25
1,15284,0,-26,0597592,00000000,1,2.03,1.25
1,15285,0,-25,0597623,00000000,1,2.03,1.25
1,15286,0,-25,0597654,00000000,1,2.03,1.25
1,15287,0,-24,0597685,00000000,1,2.03,1.25
1,15288,0,-24,0597716,00000000,1,2.03,1.25
1,15289,0,-24,0597747,00000000,1,2.03,1.25
1,15290,0,-24,0597779,00000000,1,2.03,1.25
1,15291,0,-24,0597810,00000000,1,2.03,1.25
1,15292,0,-24,0597841,00000000,1,2.03,1.25
1,15293,0,-25,0597872,00000000,1,2.03,1.25
1,15294,0,-25,0597903,00000000,1,2.03,1.25
1,15295,0,-25,0597934,00000000,1,2.03,1.25
1,15296,0,-25,0597965,00000000,1,2.03,1.25
1,15297,0,-25,0597997,00000000,1,2.03,1.25
1,15298,0,-25,0598028,00000000,1,2.03,1.25
1,15299,0,-25,0598059,00000000,1,2.03,1.25
1,15300,0,-25,0598090,00000000,1,2.03,1.25
1,15300,0,-25,0598121,00000000,1,2.03,1.25
1,15301,0,-25,0598152,00000000,1,2.03,1.25
1,15302,0,-25,0598184,00000000,1,2.03,1.25
1,15303,0,-25,0598215,00000000,1,2.03,1.25
1,15304,0,-25,0598246,00000000,1,2.03,1.25
1,15305,0,-25,0598277,00000000,1,2.03,1.25
1,15306,0,-25,0598308,00000000,1,2.03,1.25
1,15307,0,-25,0598339,00000000,1,2.03,1.25
1,15308,0,-25,0598370,00000000,1,2.03,1.25
1,15309,0,-25,0598402,00000000,1,2.03,1.25
1,15310,0,-25,0598433,00000000,1,2.03,1.25
1,15311,0,-25,0598464,00000000,1,2.03,1.25
1,15312,0,-25,0598495,00000000,1,2.03,1.25
1,15313,0,-25,0598526,00000000,1,2.03,1.25
1,15314,0,-25,0598557,00000000,1,2.03,1.25
1,15315,0,-25,0598589,00000000,1,2.03,1.25
1,15316,0,-25,0598620,00000000,1,2.03,1.25
1,15317,0,-25,0598651,00000000,1,2.03,1.25
1,15318,0,-25,0598682,00000000,1,2.03,1.25
1,15319,0,-25,0598713,00000000,1,2.03,1.25
1,15320,0,-25,0598744,00000000,1,2.03,1.25
1,15321,0,-25,0598775,00000000,1,2.03,1.25
1,15322,0,-25,0598807,00000000,1,2.03,1.25
1,15323,0,-25,0598838,00000000,1,2.03,1.25
1,15324,0,-25,0598869,00000000,1,2.03,1.25
1,15325,0,-26,0598900,00000000,1,2.03,1.25
1,15326,0,-26,0598931,00000000,1,2.03,1.25
1,15327,0,-26,0598962,00000000,1,2.03,1.25
1,15328,0,-26,0598994,00000000,1,2.03,1.25
