NodeID,PacketNo,Iteration,RSSI,AbsTime,RecordedTime,Horizontal Distance (m),Vertical Distance RX (m),Vertical Distance TX (m)
1,24204,0,-28,1059681,00000000,3,2.03,1
1,24205,0,-29,1059712,00000000,3,2.03,1
1,24206,0,-30,1059743,00000000,3,2.03,1
1,24207,0,-30,1059774,00000000,3,2.03,1
1,24208,0,-30,1059805,00000000,3,2.03,1
1,24209,0,-30,1059836,00000000,3,2.03,1
1,24210,0,-29,1059867,00000000,3,2.03,1
1,24211,0,-28,1059899,00000000,3,2.03,1
1,24212,0,-28,1059930,00000000,3,2.03,1
1,24213,0,-27,1059961,00000000,3,2.03,1
1,24214,0,-27,1059992,00000000,3,2.03,1
1,24215,0,-27,1060023,00000000,3,2.03,1
1,24216,0,-28,1060054,00000000,3,2.03,1
1,24217,0,-28,1060086,00000000,3,2.03,1
1,24218,0,-29,1060117,00000000,3,2.03,1
1,24219,0,-29,1060148,00000000,3,2.03,1
1,24220,0,-29,1060179,00000000,3,2.03,1
1,24221,0,-29,1060210,00000000,3,2.03,1
1,24222,0,-29,1060241,00000000,3,2.03,1
1,24223,0,-29,1060272,00000000,3,2.03,1
1,24224,0,-29,1060304,00000000,3,2.03,1
1,24225,0,-29,1060335,00000000,3,2.03,1
1,24225,0,-29,1060366,00000000,3,2.03,1
1,24226,0,-30,1060397,00000000,3,2.03,1
1,24227,0,-30,1060428,00000000,3,2.03,1
1,24228,0,-30,1060459,00000000,3,2.03,1
1,24229,0,-30,1060491,00000000,3,2.03,1
1,24230,0,-30,1060522,00000000,3,2.03,1
1,24231,0,-30,1060553,00000000,3,2.03,1
1,24232,0,-31,1060584,00000000,3,2.03,1
1,24233,0,-31,1060615,00000000,3,2.03,1
1,24234,0,-30,1060646,00000000,3,2.03,1
1,24235,0,-30,1060677,00000000,3,2.03,1
1,24236,0,-29,1060709,00000000,3,2.03,1
1,24237,0,-29,1060740,00000000,3,2.03,1
1,24238,0,-28,1060771,00000000,3,2.03,1
1,24239,0,-29,1060802,00000000,3,2.03,1
1,24240,0,-29,1060833,00000000,3,2.03,1
1,24241,0,-30,1060864,00000000,3,2.03,1
1,24242,0,-30,1060896,00000000,3,2.03,1
1,24243,0,-30,1060927,00000000,3,2.03,1
1,24244,0,-30,1060958,00000000,3,2.03,1
1,24245,0,-30,1060989,00000000,3,2.03,1
1,24246,0,-30,1061020,00000000,3,2.03,1
1,24247,0,-30,1061051,00000000,3,2.03,1
1,24248,0,-30,1061082,00000000,3,2.03,1
1,24249,0,-30,1061114,00000000,3,2.03,1
1,24250,0,-30,1061145,00000000,3,2.03,1
1,24251,0,-30,1061176,00000000,3,2.03,1
1,24252,0,-30,1061207,00000000,3,2.03,1
1,24253,0,-30,1061238,00000000,3,2.03,1
1,24254,0,-30,1061269,00000000,3,2.03,1
1,24255,0,-30,1061301,00000000,3,2.03,1
1,24256,0,-30,1061332,00000000,3,2.03,1
1,24257,0,-30,1061363,00000000,3,2.03,1
1,24258,0,-30,1061394,00000000,3,2.03,1
1,24259,0,-30,1061425,00000000,3,2.03,1
1,24260,0,-30,1061456,00000000,3,2.03,1
1,24261,0,-30,1061487,00000000,3,2.03,1
1,24262,0,-30,1061519,00000000,3,2.03,1
1,24263,0,-30,1061550,00000000,3,2.03,1
1,24264,0,-30,1061581,00000000,3,2.03,1
1,24265,0,-30,1061612,00000000,3,2.03,1
1,24266,0,-29,1061643,00000000,3,2.03,1
1,24267,0,-30,1061674,00000000,3,2.03,1
1,24268,0,-29,1061706,00000000,3,2.03,1
1,24269,0,-29,1061737,00000000,3,2.03,1
1,24270,0,-29,1061768,00000000,3,2.03,1
1,24271,0,-29,1061799,00000000,3,2.03,1
1,24272,0,-29,1061830,00000000,3,2.03,1
1,24273,0,-29,1061861,00000000,3,2.03,1
1,24274,0,-29,1061892,00000000,3,2.03,1
1,24275,0,-29,1061924,00000000,3,2.03,1
1,24276,0,-29,1061955,00000000,3,2.03,1
1,24277,0,-29,1061986,00000000,3,2.03,1
1,24278,0,-29,1062017,00000000,3,2.03,1
1,24279,0,-29,1062048,00000000,3,2.03,1
1,24280,0,-29,1062079,00000000,3,2.03,1
1,24281,0,-29,1062111,00000000,3,2.03,1
1,24282,0,-30,1062142,00000000,3,2.03,1
1,24283,0,-30,1062173,00000000,3,2.03,1
1,24284,0,-30,1062204,00000000,3,2.03,1
1,24285,0,-30,1062235,00000000,3,2.03,1
1,24286,0,-30,1062266,00000000,3,2.03,1
1,24287,0,-30,1062297,00000000,3,2.03,1
1,24288,0,-30,1062329,00000000,3,2.03,1
1,24289,0,-30,1062360,00000000,3,2.03,1
1,24290,0,-30,1062391,00000000,3,2.03,1
1,24291,0,-30,1062422,00000000,3,2.03,1
1,24292,0,-30,1062453,00000000,3,2.03,1
1,24293,0,-30,1062484,00000000,3,2.03,1
1,24294,0,-30,1062516,00000000,3,2.03,1
1,24295,0,-30,1062547,00000000,3,2.03,1
1,24296,0,-30,1062578,00000000,3,2.03,1
1,24297,0,-30,1062609,00000000,3,2.03,1
1,24298,0,-30,1062640,00000000,3,2.03,1
1,24299,0,-30,1062671,00000000,3,2.03,1
1,24300,0,-30,1062702,00000000,3,2.03,1
1,24301,0,-30,1062734,00000000,3,2.03,1
1,24302,0,-30,1062765,00000000,3,2.03,1
1,24303,0,-30,1062796,00000000,3,2.03,1
1,24304,0,-30,1062827,00000000,3,2.03,1
1,24305,0,-30,1062858,00000000,3,2.03,1
1,24306,0,-30,1062889,00000000,3,2.03,1
1,24307,0,-30,1062920,00000000,3,2.03,1
1,24308,0,-30,1062952,00000000,3,2.03,1
1,24309,0,-30,1062983,00000000,3,2.03,1
1,24310,0,-30,1063014,00000000,3,2.03,1
1,24311,0,-30,1063045,00000000,3,2.03,1
1,24312,0,-30,1063076,00000000,3,2.03,1
1,24313,0,-30,1063107,00000000,3,2.03,1
1,24314,0,-30,1063139,00000000,3,2.03,1
1,24315,0,-30,1063170,00000000,3,2.03,1
1,24316,0,-30,1063201,00000000,3,2.03,1
1,24317,0,-30,1063232,00000000,3,2.03,1
1,24318,0,-30,1063263,00000000,3,2.03,1
1,24319,0,-30,1063294,00000000,3,2.03,1
1,24320,0,-30,1063325,00000000,3,2.03,1
1,24321,0,-30,1063357,00000000,3,2.03,1
1,24322,0,-30,1063388,00000000,3,2.03,1
1,24323,0,-30,1063419,00000000,3,2.03,1
1,24324,0,-30,1063450,00000000,3,2.03,1
1,24325,0,-30,1063481,00000000,3,2.03,1
1,24326,0,-30,1063512,00000000,3,2.03,1
1,24327,0,-30,1063544,00000000,3,2.03,1
1,24328,0,-30,1063575,00000000,3,2.03,1
1,24329,0,-30,1063606,00000000,3,2.03,1
1,24330,0,-30,1063637,00000000,3,2.03,1
1,24331,0,-30,1063668,00000000,3,2.03,1
1,24332,0,-30,1063699,00000000,3,2.03,1
1,24333,0,-30,1063730,00000000,3,2.03,1
1,24334,0,-30,1063762,00000000,3,2.03,1
1,24335,0,-30,1063793,00000000,3,2.03,1
1,24336,0,-30,1063824,00000000,3,2.03,1
1,24337,0,-30,1063855,00000000,3,2.03,1
1,24338,0,-30,1063886,00000000,3,2.03,1
1,24339,0,-30,1063917,00000000,3,2.03,1
