NodeID,PacketNo,Iteration,RSSI,AbsTime,RecordedTime,Horizontal Distance (m),Vertical Distance RX (m),Vertical Distance TX (m)
1,16900,0,-36,0820795,00000000,4.25,2.03,1.25
1,16901,0,-36,0820826,00000000,4.25,2.03,1.25
1,16902,0,-36,0820857,00000000,4.25,2.03,1.25
1,16903,0,-36,0820888,00000000,4.25,2.03,1.25
1,16904,0,-36,0820919,00000000,4.25,2.03,1.25
1,16905,0,-36,0820950,00000000,4.25,2.03,1.25
1,16906,0,-36,0820982,00000000,4.25,2.03,1.25
1,16907,0,-36,0821013,00000000,4.25,2.03,1.25
1,16908,0,-36,0821044,00000000,4.25,2.03,1.25
1,16909,0,-36,0821075,00000000,4.25,2.03,1.25
1,16910,0,-36,0821106,00000000,4.25,2.03,1.25
1,16911,0,-36,0821137,00000000,4.25,2.03,1.25
1,16912,0,-36,0821169,00000000,4.25,2.03,1.25
1,16913,0,-36,0821200,00000000,4.25,2.03,1.25
1,16914,0,-36,0821231,00000000,4.25,2.03,1.25
1,16915,0,-36,0821262,00000000,4.25,2.03,1.25
1,16916,0,-36,0821293,00000000,4.25,2.03,1.25
1,16917,0,-36,0821324,00000000,4.25,2.03,1.25
1,16918,0,-36,0821355,00000000,4.25,2.03,1.25
1,16919,0,-36,0821387,00000000,4.25,2.03,1.25
1,16920,0,-36,0821418,00000000,4.25,2.03,1.25
1,16921,0,-36,0821449,00000000,4.25,2.03,1.25
1,16922,0,-36,0821480,00000000,4.25,2.03,1.25
1,16923,0,-36,0821511,00000000,4.25,2.03,1.25
1,16924,0,-36,0821542,00000000,4.25,2.03,1.25
1,16925,0,-36,0821574,00000000,4.25,2.03,1.25
1,16926,0,-36,0821605,00000000,4.25,2.03,1.25
1,16927,0,-36,0821636,00000000,4.25,2.03,1.25
1,16928,0,-36,0821667,00000000,4.25,2.03,1.25
1,16929,0,-36,0821698,00000000,4.25,2.03,1.25
1,16930,0,-36,0821729,00000000,4.25,2.03,1.25
1,16931,0,-36,0821760,00000000,4.25,2.03,1.25
1,16932,0,-36,0821792,00000000,4.25,2.03,1.25
1,16933,0,-37,0821823,00000000,4.25,2.03,1.25
1,16934,0,-37,0821854,00000000,4.25,2.03,1.25
1,16935,0,-37,0821885,00000000,4.25,2.03,1.25
1,16936,0,-37,0821916,00000000,4.25,2.03,1.25
1,16937,0,-38,0821947,00000000,4.25,2.03,1.25
1,16938,0,-38,0821979,00000000,4.25,2.03,1.25
1,16939,0,-39,0822010,00000000,4.25,2.03,1.25
1,16940,0,-40,0822041,00000000,4.25,2.03,1.25
1,16941,0,-41,0822072,00000000,4.25,2.03,1.25
1,16942,0,-42,0822103,00000000,4.25,2.03,1.25
1,16943,0,-42,0822134,00000000,4.25,2.03,1.25
1,16944,0,-42,0822165,00000000,4.25,2.03,1.25
1,16945,0,-42,0822197,00000000,4.25,2.03,1.25
1,16946,0,-43,0822228,00000000,4.25,2.03,1.25
1,16947,0,-43,0822259,00000000,4.25,2.03,1.25
1,16948,0,-43,0822290,00000000,4.25,2.03,1.25
1,16949,0,-42,0822321,00000000,4.25,2.03,1.25
1,16950,0,-41,0822352,00000000,4.25,2.03,1.25
1,16951,0,-39,0822383,00000000,4.25,2.03,1.25
1,16952,0,-38,0822415,00000000,4.25,2.03,1.25
1,16953,0,-36,0822446,00000000,4.25,2.03,1.25
1,16954,0,-36,0822477,00000000,4.25,2.03,1.25
1,16955,0,-35,0822508,00000000,4.25,2.03,1.25
1,16956,0,-34,0822539,00000000,4.25,2.03,1.25
1,16957,0,-33,0822570,00000000,4.25,2.03,1.25
1,16958,0,-34,0822602,00000000,4.25,2.03,1.25
1,16959,0,-34,0822633,00000000,4.25,2.03,1.25
1,16960,0,-34,0822664,00000000,4.25,2.03,1.25
1,16961,0,-34,0822695,00000000,4.25,2.03,1.25
1,16962,0,-35,0822726,00000000,4.25,2.03,1.25
1,16963,0,-35,0822757,00000000,4.25,2.03,1.25
1,16964,0,-35,0822788,00000000,4.25,2.03,1.25
1,16965,0,-36,0822820,00000000,4.25,2.03,1.25
1,16966,0,-36,0822851,00000000,4.25,2.03,1.25
1,16967,0,-36,0822882,00000000,4.25,2.03,1.25
1,16968,0,-37,0822913,00000000,4.25,2.03,1.25
1,16969,0,-37,0822944,00000000,4.25,2.03,1.25
1,16970,0,-37,0822975,00000000,4.25,2.03,1.25
1,16971,0,-37,0823007,00000000,4.25,2.03,1.25
1,16972,0,-37,0823038,00000000,4.25,2.03,1.25
1,16973,0,-36,0823069,00000000,4.25,2.03,1.25
1,16974,0,-36,0823100,00000000,4.25,2.03,1.25
1,16975,0,-36,0823131,00000000,4.25,2.03,1.25
1,16976,0,-36,0823162,00000000,4.25,2.03,1.25
1,16977,0,-37,0823193,00000000,4.25,2.03,1.25
1,16978,0,-37,0823225,00000000,4.25,2.03,1.25
1,16979,0,-37,0823256,00000000,4.25,2.03,1.25
1,16980,0,-37,0823287,00000000,4.25,2.03,1.25
1,16981,0,-37,0823318,00000000,4.25,2.03,1.25
1,16982,0,-36,0823349,00000000,4.25,2.03,1.25
1,16983,0,-36,0823380,00000000,4.25,2.03,1.25
1,16984,0,-36,0823411,00000000,4.25,2.03,1.25
1,16985,0,-36,0823443,00000000,4.25,2.03,1.25
1,16986,0,-36,0823474,00000000,4.25,2.03,1.25
1,16987,0,-36,0823505,00000000,4.25,2.03,1.25
1,16988,0,-36,0823536,00000000,4.25,2.03,1.25
1,16989,0,-36,0823567,00000000,4.25,2.03,1.25
1,16990,0,-36,0823598,00000000,4.25,2.03,1.25
1,16991,0,-36,0823630,00000000,4.25,2.03,1.25
1,16992,0,-35,0823661,00000000,4.25,2.03,1.25
1,16993,0,-35,0823692,00000000,4.25,2.03,1.25
1,16994,0,-35,0823723,00000000,4.25,2.03,1.25
1,16995,0,-34,0823754,00000000,4.25,2.03,1.25
1,16996,0,-34,0823785,00000000,4.25,2.03,1.25
1,16997,0,-34,0823816,00000000,4.25,2.03,1.25
1,16998,0,-34,0823848,00000000,4.25,2.03,1.25
1,16999,0,-34,0823879,00000000,4.25,2.03,1.25
1,17000,0,-35,0823910,00000000,4.25,2.03,1.25
1,17001,0,-35,0823941,00000000,4.25,2.03,1.25
1,17002,0,-35,0823972,00000000,4.25,2.03,1.25
1,17003,0,-36,0824003,00000000,4.25,2.03,1.25
1,17004,0,-36,0824035,00000000,4.25,2.03,1.25
1,17005,0,-36,0824066,00000000,4.25,2.03,1.25
1,17006,0,-36,0824097,00000000,4.25,2.03,1.25
1,17007,0,-36,0824128,00000000,4.25,2.03,1.25
1,17008,0,-36,0824159,00000000,4.25,2.03,1.25
1,17009,0,-36,0824190,00000000,4.25,2.03,1.25
1,17010,0,-36,0824221,00000000,4.25,2.03,1.25
1,17011,0,-36,0824253,00000000,4.25,2.03,1.25
1,17012,0,-36,0824284,00000000,4.25,2.03,1.25
1,17013,0,-36,0824315,00000000,4.25,2.03,1.25
1,17014,0,-36,0824346,00000000,4.25,2.03,1.25
