NodeID,PacketNo,Iteration,RSSI,AbsTime,RecordedTime,Horizontal Distance (m),Vertical Distance RX (m),Vertical Distance TX (m)
1,5917,0,-27,0487768,00000000,2,2.03,1
1,5918,0,-27,0487799,00000000,2,2.03,1
1,5919,0,-28,0487830,00000000,2,2.03,1
1,5920,0,-28,0487861,00000000,2,2.03,1
1,5921,0,-28,0487892,00000000,2,2.03,1
1,5922,0,-27,0487923,00000000,2,2.03,1
1,5923,0,-27,0487955,00000000,2,2.03,1
1,5924,0,-27,0487986,00000000,2,2.03,1
1,5925,0,-27,0488017,00000000,2,2.03,1
1,5926,0,-27,0488048,00000000,2,2.03,1
1,5927,0,-27,0488079,00000000,2,2.03,1
1,5928,0,-27,0488110,00000000,2,2.03,1
1,5929,0,-27,0488141,00000000,2,2.03,1
1,5930,0,-26,0488173,00000000,2,2.03,1
1,5931,0,-26,0488204,00000000,2,2.03,1
1,5932,0,-26,0488235,00000000,2,2.03,1
1,5933,0,-26,0488266,00000000,2,2.03,1
1,5934,0,-26,0488297,00000000,2,2.03,1
1,5935,0,-26,0488328,00000000,2,2.03,1
1,5936,0,-26,0488359,00000000,2,2.03,1
1,5937,0,-26,0488391,00000000,2,2.03,1
1,5938,0,-26,0488422,00000000,2,2.03,1
1,5939,0,-26,0488453,00000000,2,2.03,1
1,5940,0,-26,0488484,00000000,2,2.03,1
1,5941,0,-26,0488515,00000000,2,2.03,1
1,5942,0,-26,0488546,00000000,2,2.03,1
1,5943,0,-26,0488578,00000000,2,2.03,1
1,5944,0,-26,0488609,00000000,2,2.03,1
1,5945,0,-27,0488640,00000000,2,2.03,1
1,5946,0,-27,0488671,00000000,2,2.03,1
1,5947,0,-27,0488702,00000000,2,2.03,1
1,5948,0,-28,0488733,00000000,2,2.03,1
1,5949,0,-28,0488764,00000000,2,2.03,1
1,5950,0,-27,0488796,00000000,2,2.03,1
1,5951,0,-27,0488827,00000000,2,2.03,1
1,5952,0,-27,0488858,00000000,2,2.03,1
1,5953,0,-27,0488889,00000000,2,2.03,1
1,5954,0,-27,0488920,00000000,2,2.03,1
1,5955,0,-27,0488951,00000000,2,2.03,1
1,5956,0,-27,0488983,00000000,2,2.03,1
1,5957,0,-27,0489014,00000000,2,2.03,1
1,5958,0,-27,0489045,00000000,2,2.03,1
1,5959,0,-27,0489076,00000000,2,2.03,1
1,5960,0,-27,0489107,00000000,2,2.03,1
1,5961,0,-27,0489138,00000000,2,2.03,1
1,5962,0,-27,0489169,00000000,2,2.03,1
1,5963,0,-27,0489201,00000000,2,2.03,1
1,5964,0,-27,0489232,00000000,2,2.03,1
1,5965,0,-27,0489263,00000000,2,2.03,1
1,5966,0,-27,0489294,00000000,2,2.03,1
1,5967,0,-27,0489325,00000000,2,2.03,1
1,5968,0,-27,0489356,00000000,2,2.03,1
1,5969,0,-27,0489388,00000000,2,2.03,1
1,5970,0,-27,0489419,00000000,2,2.03,1
1,5971,0,-27,0489450,00000000,2,2.03,1
1,5972,0,-27,0489481,00000000,2,2.03,1
1,5973,0,-27,0489512,00000000,2,2.03,1
1,5974,0,-27,0489543,00000000,2,2.03,1
1,5975,0,-27,0489574,00000000,2,2.03,1
1,5976,0,-27,0489606,00000000,2,2.03,1
1,5977,0,-27,0489637,00000000,2,2.03,1
1,5978,0,-27,0489668,00000000,2,2.03,1
1,5979,0,-27,0489699,00000000,2,2.03,1
1,5980,0,-27,0489730,00000000,2,2.03,1
1,5981,0,-27,0489761,00000000,2,2.03,1
1,5982,0,-27,0489793,00000000,2,2.03,1
1,5983,0,-27,0489824,00000000,2,2.03,1
1,5984,0,-27,0489855,00000000,2,2.03,1
1,5985,0,-27,0489886,00000000,2,2.03,1
1,5986,0,-26,0489917,00000000,2,2.03,1
1,5987,0,-26,0489948,00000000,2,2.03,1
1,5988,0,-27,0489979,00000000,2,2.03,1
1,5989,0,-27,0490011,00000000,2,2.03,1
1,5990,0,-27,0490042,00000000,2,2.03,1
1,5991,0,-27,0490073,00000000,2,2.03,1
1,5992,0,-27,0490104,00000000,2,2.03,1
1,5993,0,-27,0490135,00000000,2,2.03,1
1,5994,0,-27,0490166,00000000,2,2.03,1
1,5995,0,-27,0490198,00000000,2,2.03,1
1,5996,0,-27,0490229,00000000,2,2.03,1
1,5997,0,-27,0490260,00000000,2,2.03,1
1,5998,0,-27,0490291,00000000,2,2.03,1
1,5999,0,-27,0490322,00000000,2,2.03,1
1,6000,0,-27,0490353,00000000,2,2.03,1
1,6001,0,-27,0490384,00000000,2,2.03,1
1,6002,0,-27,0490416,00000000,2,2.03,1
1,6003,0,-27,0490447,00000000,2,2.03,1
1,6004,0,-27,0490478,00000000,2,2.03,1
1,6005,0,-27,0490509,00000000,2,2.03,1
1,6006,0,-27,0490540,00000000,2,2.03,1
1,6007,0,-27,0490571,00000000,2,2.03,1
1,6008,0,-28,0490603,00000000,2,2.03,1
1,6009,0,-27,0490634,00000000,2,2.03,1
1,6010,0,-27,0490665,00000000,2,2.03,1
1,6011,0,-28,0490696,00000000,2,2.03,1
1,6012,0,-28,0490727,00000000,2,2.03,1
1,6013,0,-28,0490758,00000000,2,2.03,1
1,6014,0,-28,0490789,00000000,2,2.03,1
1,6015,0,-28,0490821,00000000,2,2.03,1
1,6016,0,-28,0490852,00000000,2,2.03,1
1,6017,0,-27,0490883,00000000,2,2.03,1
1,6018,0,-27,0490914,00000000,2,2.03,1
1,6019,0,-27,0490945,00000000,2,2.03,1
1,6020,0,-27,0490976,00000000,2,2.03,1
1,6021,0,-27,0491008,00000000,2,2.03,1
1,6022,0,-27,0491039,00000000,2,2.03,1
1,6023,0,-27,0491070,00000000,2,2.03,1
1,6024,0,-27,0491101,00000000,2,2.03,1
1,6025,0,-27,0491132,00000000,2,2.03,1
1,6026,0,-27,0491163,00000000,2,2.03,1
1,6027,0,-27,0491194,00000000,2,2.03,1
1,6028,0,-27,0491226,00000000,2,2.03,1
1,6029,0,-27,0491257,00000000,2,2.03,1
1,6030,0,-27,0491288,00000000,2,2.03,1
1,6031,0,-27,0491319,00000000,2,2.03,1
1,6032,0,-27,0491350,00000000,2,2.03,1
1,6033,0,-27,0491381,00000000,2,2.03,1
1,6034,0,-27,0491412,00000000,2,2.03,1
1,6035,0,-27,0491444,00000000,2,2.03,1
1,6036,0,-27,0491475,00000000,2,2.03,1
