NodeID,PacketNo,Iteration,RSSI,AbsTime,RecordedTime,Horizontal Distance (m),Vertical Distance RX (m),Vertical Distance TX (m)
1,57323,0,-40,1021779,00000000,4.75,2.03,1
1,57324,0,-41,1021810,00000000,4.75,2.03,1
1,57325,0,-42,1021841,00000000,4.75,2.03,1
1,57326,0,-44,1021872,00000000,4.75,2.03,1
1,57327,0,-46,1021904,00000000,4.75,2.03,1
1,57328,0,-47,1021935,00000000,4.75,2.03,1
1,57329,0,-47,1021966,00000000,4.75,2.03,1
1,57330,0,-44,1021997,00000000,4.75,2.03,1
1,57331,0,-43,1022028,00000000,4.75,2.03,1
1,57332,0,-42,1022059,00000000,4.75,2.03,1
1,57333,0,-43,1022091,00000000,4.75,2.03,1
1,57334,0,-44,1022122,00000000,4.75,2.03,1
1,57335,0,-45,1022153,00000000,4.75,2.03,1
1,57336,0,-46,1022184,00000000,4.75,2.03,1
1,57337,0,-46,1022215,00000000,4.75,2.03,1
1,57338,0,-47,1022246,00000000,4.75,2.03,1
1,57339,0,-48,1022278,00000000,4.75,2.03,1
1,57340,0,-47,1022309,00000000,4.75,2.03,1
1,57341,0,-45,1022340,00000000,4.75,2.03,1
1,57342,0,-43,1022371,00000000,4.75,2.03,1
1,57343,0,-42,1022402,00000000,4.75,2.03,1
1,57344,0,-41,1022433,00000000,4.75,2.03,1
1,57345,0,-41,1022464,00000000,4.75,2.03,1
1,57346,0,-41,1022496,00000000,4.75,2.03,1
1,57347,0,-41,1022527,00000000,4.75,2.03,1
1,57348,0,-42,1022558,00000000,4.75,2.03,1
1,57349,0,-42,1022589,00000000,4.75,2.03,1
1,57350,0,-42,1022620,00000000,4.75,2.03,1
1,57351,0,-42,1022651,00000000,4.75,2.03,1
1,57352,0,-40,1022683,00000000,4.75,2.03,1
1,57353,0,-37,1022714,00000000,4.75,2.03,1
1,57354,0,-36,1022745,00000000,4.75,2.03,1
1,57355,0,-36,1022776,00000000,4.75,2.03,1
1,57356,0,-36,1022807,00000000,4.75,2.03,1
1,57357,0,-36,1022838,00000000,4.75,2.03,1
1,57358,0,-38,1022869,00000000,4.75,2.03,1
1,57359,0,-39,1022901,00000000,4.75,2.03,1
1,57360,0,-40,1022932,00000000,4.75,2.03,1
1,57361,0,-39,1022963,00000000,4.75,2.03,1
1,57362,0,-39,1022994,00000000,4.75,2.03,1
1,57363,0,-38,1023025,00000000,4.75,2.03,1
1,57364,0,-37,1023056,00000000,4.75,2.03,1
1,57365,0,-36,1023088,00000000,4.75,2.03,1
1,57366,0,-36,1023119,00000000,4.75,2.03,1
1,57367,0,-36,1023150,00000000,4.75,2.03,1
1,57368,0,-36,1023181,00000000,4.75,2.03,1
1,57369,0,-37,1023212,00000000,4.75,2.03,1
1,57370,0,-38,1023243,00000000,4.75,2.03,1
1,57371,0,-38,1023274,00000000,4.75,2.03,1
1,57372,0,-38,1023306,00000000,4.75,2.03,1
1,57373,0,-38,1023337,00000000,4.75,2.03,1
1,57374,0,-38,1023368,00000000,4.75,2.03,1
1,57375,0,-38,1023399,00000000,4.75,2.03,1
1,57375,0,-38,1023430,00000000,4.75,2.03,1
1,57376,0,-38,1023461,00000000,4.75,2.03,1
1,57377,0,-39,1023493,00000000,4.75,2.03,1
1,57378,0,-39,1023524,00000000,4.75,2.03,1
1,57379,0,-39,1023555,00000000,4.75,2.03,1
1,57380,0,-39,1023586,00000000,4.75,2.03,1
1,57381,0,-39,1023617,00000000,4.75,2.03,1
1,57382,0,-39,1023648,00000000,4.75,2.03,1
1,57383,0,-38,1023679,00000000,4.75,2.03,1
1,57384,0,-38,1023711,00000000,4.75,2.03,1
1,57385,0,-38,1023742,00000000,4.75,2.03,1
1,57386,0,-38,1023773,00000000,4.75,2.03,1
1,57387,0,-38,1023804,00000000,4.75,2.03,1
1,57388,0,-38,1023835,00000000,4.75,2.03,1
1,57389,0,-38,1023866,00000000,4.75,2.03,1
1,57390,0,-38,1023898,00000000,4.75,2.03,1
1,57391,0,-38,1023929,00000000,4.75,2.03,1
1,57392,0,-37,1023960,00000000,4.75,2.03,1
1,57393,0,-37,1023991,00000000,4.75,2.03,1
1,57394,0,-37,1024022,00000000,4.75,2.03,1
1,57395,0,-37,1024053,00000000,4.75,2.03,1
1,57396,0,-37,1024084,00000000,4.75,2.03,1
1,57397,0,-37,1024116,00000000,4.75,2.03,1
1,57398,0,-37,1024147,00000000,4.75,2.03,1
1,57399,0,-37,1024178,00000000,4.75,2.03,1
1,57400,0,-37,1024209,00000000,4.75,2.03,1
1,57401,0,-37,1024240,00000000,4.75,2.03,1
1,57402,0,-37,1024271,00000000,4.75,2.03,1
1,57403,0,-37,1024303,00000000,4.75,2.03,1
1,57404,0,-37,1024334,00000000,4.75,2.03,1
1,57405,0,-37,1024365,00000000,4.75,2.03,1
1,57406,0,-37,1024396,00000000,4.75,2.03,1
1,57407,0,-37,1024427,00000000,4.75,2.03,1
1,57408,0,-37,1024458,00000000,4.75,2.03,1
1,57409,0,-37,1024489,00000000,4.75,2.03,1
1,57410,0,-37,1024521,00000000,4.75,2.03,1
1,57411,0,-37,1024552,00000000,4.75,2.03,1
1,57412,0,-37,1024583,00000000,4.75,2.03,1
1,57413,0,-37,1024614,00000000,4.75,2.03,1
1,57414,0,-37,1024645,00000000,4.75,2.03,1
1,57415,0,-37,1024676,00000000,4.75,2.03,1
1,57416,0,-37,1024708,00000000,4.75,2.03,1
1,57417,0,-37,1024739,00000000,4.75,2.03,1
1,57418,0,-37,1024770,00000000,4.75,2.03,1
1,57419,0,-37,1024801,00000000,4.75,2.03,1
1,57420,0,-37,1024832,00000000,4.75,2.03,1
1,57421,0,-37,1024863,00000000,4.75,2.03,1
1,57422,0,-37,1024894,00000000,4.75,2.03,1
1,57423,0,-37,1024926,00000000,4.75,2.03,1
1,57424,0,-37,1024957,00000000,4.75,2.03,1
1,57425,0,-37,1024988,00000000,4.75,2.03,1
1,57426,0,-37,1025019,00000000,4.75,2.03,1
1,57427,0,-37,1025050,00000000,4.75,2.03,1
1,57428,0,-37,1025081,00000000,4.75,2.03,1
1,57429,0,-37,1025113,00000000,4.75,2.03,1
1,57430,0,-37,1025144,00000000,4.75,2.03,1
1,57431,0,-37,1025175,00000000,4.75,2.03,1
1,57432,0,-37,1025206,00000000,4.75,2.03,1
1,57433,0,-37,1025237,00000000,4.75,2.03,1
1,57434,0,-37,1025268,00000000,4.75,2.03,1
1,57435,0,-37,1025299,00000000,4.75,2.03,1
1,57436,0,-37,1025331,00000000,4.75,2.03,1
1,57437,0,-37,1025362,00000000,4.75,2.03,1
1,57438,0,-37,1025393,00000000,4.75,2.03,1
1,57439,0,-37,1025424,00000000,4.75,2.03,1
1,57440,0,-37,1025455,00000000,4.75,2.03,1
1,57441,0,-37,1025486,00000000,4.75,2.03,1
1,57442,0,-37,1025518,00000000,4.75,2.03,1
1,57443,0,-37,1025549,00000000,4.75,2.03,1
1,57444,0,-37,1025580,00000000,4.75,2.03,1
1,57445,0,-37,1025611,00000000,4.75,2.03,1
1,57446,0,-37,1025642,00000000,4.75,2.03,1
1,57447,0,-37,1025673,00000000,4.75,2.03,1
1,57448,0,-37,1025704,00000000,4.75,2.03,1
1,57449,0,-37,1025736,00000000,4.75,2.03,1
1,57450,0,-37,1025767,00000000,4.75,2.03,1
1,57451,0,-37,1025798,00000000,4.75,2.03,1
1,57452,0,-37,1025829,00000000,4.75,2.03,1
1,57453,0,-37,1025860,00000000,4.75,2.03,1
1,57454,0,-37,1025891,00000000,4.75,2.03,1
1,57455,0,-37,1025923,00000000,4.75,2.03,1
1,57456,0,-37,1025954,00000000,4.75,2.03,1
1,57457,0,-37,1025985,00000000,4.75,2.03,1
1,57458,0,-37,1026016,00000000,4.75,2.03,1
1,57459,0,-37,1026047,00000000,4.75,2.03,1
1,57460,0,-37,1026078,00000000,4.75,2.03,1
1,57461,0,-37,1026109,00000000,4.75,2.03,1
1,57462,0,-37,1026141,00000000,4.75,2.03,1
1,57463,0,-37,1026172,00000000,4.75,2.03,1
1,57464,0,-37,1026203,00000000,4.75,2.03,1
1,57465,0,-37,1026234,00000000,4.75,2.03,1
1,57466,0,-37,1026265,00000000,4.75,2.03,1
1,57467,0,-37,1026296,00000000,4.75,2.03,1
1,57468,0,-37,1026328,00000000,4.75,2.03,1
1,57469,0,-37,1026359,00000000,4.75,2.03,1
1,57470,0,-37,1026390,00000000,4.75,2.03,1
1,57471,0,-37,1026421,00000000,4.75,2.03,1
1,57472,0,-37,1026452,00000000,4.75,2.03,1
1,57473,0,-37,1026483,00000000,4.75,2.03,1
1,57474,0,-37,1026514,00000000,4.75,2.03,1
1,57475,0,-37,1026546,00000000,4.75,2.03,1
1,57476,0,-37,1026577,00000000,4.75,2.03,1
1,57477,0,-37,1026608,00000000,4.75,2.03,1
1,57478,0,-37,1026639,00000000,4.75,2.03,1
1,57479,0,-38,1026670,00000000,4.75,2.03,1
1,57480,0,-37,1026701,00000000,4.75,2.03,1
1,57481,0,-37,1026733,00000000,4.75,2.03,1
1,57482,0,-37,1026764,00000000,4.75,2.03,1
1,57483,0,-37,1026795,00000000,4.75,2.03,1
1,57484,0,-37,1026826,00000000,4.75,2.03,1
1,57485,0,-37,1026857,00000000,4.75,2.03,1
1,57486,0,-37,1026888,00000000,4.75,2.03,1
1,57487,0,-37,1026919,00000000,4.75,2.03,1
1,57488,0,-37,1026951,00000000,4.75,2.03,1
1,57489,0,-38,1026982,00000000,4.75,2.03,1
1,57490,0,-37,1027013,00000000,4.75,2.03,1
1,57491,0,-37,1027044,00000000,4.75,2.03,1
1,57492,0,-37,1027075,00000000,4.75,2.03,1
1,57493,0,-37,1027106,00000000,4.75,2.03,1
1,57494,0,-38,1027138,00000000,4.75,2.03,1
1,57495,0,-38,1027169,00000000,4.75,2.03,1
1,57496,0,-37,1027200,00000000,4.75,2.03,1
1,57497,0,-38,1027231,00000000,4.75,2.03,1
1,57498,0,-38,1027262,00000000,4.75,2.03,1
1,57499,0,-37,1027293,00000000,4.75,2.03,1
1,57500,0,-37,1027324,00000000,4.75,2.03,1
