NodeID,PacketNo,Iteration,RSSI,AbsTime,RecordedTime,Horizontal Distance (m),Vertical Distance RX (m),Vertical Distance TX (m),Shift (m),Tx angle (deg),Rx Angle (deg),Orientation
1,66301,0,-33,0335080,00000000,1,1.85,1,0,0,0,flat
1,66302,0,-33,0335111,00000000,1,1.85,1,0,0,0,flat
1,66303,0,-33,0335143,00000000,1,1.85,1,0,0,0,flat
1,66304,0,-34,0335174,00000000,1,1.85,1,0,0,0,flat
1,66305,0,-35,0335205,00000000,1,1.85,1,0,0,0,flat
1,66306,0,-35,0335236,00000000,1,1.85,1,0,0,0,flat
1,66307,0,-36,0335267,00000000,1,1.85,1,0,0,0,flat
1,66308,0,-36,0335298,00000000,1,1.85,1,0,0,0,flat
1,66309,0,-36,0335330,00000000,1,1.85,1,0,0,0,flat
1,66310,0,-36,0335361,00000000,1,1.85,1,0,0,0,flat
1,66311,0,-36,0335392,00000000,1,1.85,1,0,0,0,flat
1,66312,0,-35,0335423,00000000,1,1.85,1,0,0,0,flat
1,66313,0,-35,0335454,00000000,1,1.85,1,0,0,0,flat
1,66314,0,-35,0335485,00000000,1,1.85,1,0,0,0,flat
1,66315,0,-35,0335516,00000000,1,1.85,1,0,0,0,flat
1,66316,0,-35,0335548,00000000,1,1.85,1,0,0,0,flat
1,66317,0,-35,0335579,00000000,1,1.85,1,0,0,0,flat
1,66318,0,-35,0335610,00000000,1,1.85,1,0,0,0,flat
1,66319,0,-35,0335641,00000000,1,1.85,1,0,0,0,flat
1,66320,0,-34,0335672,00000000,1,1.85,1,0,0,0,flat
1,66321,0,-34,0335703,00000000,1,1.85,1,0,0,0,flat
1,66322,0,-34,0335735,00000000,1,1.85,1,0,0,0,flat
1,66323,0,-34,0335766,00000000,1,1.85,1,0,0,0,flat
1,66324,0,-33,0335797,00000000,1,1.85,1,0,0,0,flat
1,66325,0,-33,0335828,00000000,1,1.85,1,0,0,0,flat
1,66326,0,-33,0335859,00000000,1,1.85,1,0,0,0,flat
1,66327,0,-33,0335890,00000000,1,1.85,1,0,0,0,flat
1,66328,0,-33,0335921,00000000,1,1.85,1,0,0,0,flat
1,66329,0,-33,0335953,00000000,1,1.85,1,0,0,0,flat
1,66330,0,-33,0335984,00000000,1,1.85,1,0,0,0,flat
1,66331,0,-33,0336015,00000000,1,1.85,1,0,0,0,flat
1,66332,0,-33,0336046,00000000,1,1.85,1,0,0,0,flat
1,66333,0,-33,0336077,00000000,1,1.85,1,0,0,0,flat
1,66334,0,-34,0336108,00000000,1,1.85,1,0,0,0,flat
1,66335,0,-34,0336140,00000000,1,1.85,1,0,0,0,flat
1,66336,0,-34,0336171,00000000,1,1.85,1,0,0,0,flat
1,66337,0,-34,0336202,00000000,1,1.85,1,0,0,0,flat
1,66338,0,-34,0336233,00000000,1,1.85,1,0,0,0,flat
1,66339,0,-34,0336264,00000000,1,1.85,1,0,0,0,flat
1,66340,0,-34,0336295,00000000,1,1.85,1,0,0,0,flat
1,66341,0,-34,0336326,00000000,1,1.85,1,0,0,0,flat
1,66342,0,-34,0336358,00000000,1,1.85,1,0,0,0,flat
1,66343,0,-34,0336389,00000000,1,1.85,1,0,0,0,flat
1,66344,0,-34,0336420,00000000,1,1.85,1,0,0,0,flat
1,66345,0,-34,0336451,00000000,1,1.85,1,0,0,0,flat
1,66346,0,-34,0336482,00000000,1,1.85,1,0,0,0,flat
1,66347,0,-34,0336513,00000000,1,1.85,1,0,0,0,flat
1,66348,0,-34,0336545,00000000,1,1.85,1,0,0,0,flat
1,66349,0,-34,0336576,00000000,1,1.85,1,0,0,0,flat
1,66350,0,-34,0336607,00000000,1,1.85,1,0,0,0,flat
1,66351,0,-34,0336638,00000000,1,1.85,1,0,0,0,flat
1,66352,0,-34,0336669,00000000,1,1.85,1,0,0,0,flat
1,66353,0,-34,0336700,00000000,1,1.85,1,0,0,0,flat
1,66354,0,-34,0336731,00000000,1,1.85,1,0,0,0,flat
1,66355,0,-34,0336763,00000000,1,1.85,1,0,0,0,flat
1,66356,0,-34,0336794,00000000,1,1.85,1,0,0,0,flat
1,66357,0,-34,0336825,00000000,1,1.85,1,0,0,0,flat
1,66358,0,-34,0336856,00000000,1,1.85,1,0,0,0,flat
1,66359,0,-34,0336887,00000000,1,1.85,1,0,0,0,flat
