NodeID,PacketNo,Iteration,RSSI,AbsTime,RecordedTime,Horizontal Distance (m),Vertical Distance RX (m),Vertical Distance TX (m),Shift (m),Tx angle (deg),Rx Angle (deg),Orientation
1,853,0,-34,0641778,00000000,1,1.8,1,0,0,0,flat
1,854,0,-34,0641809,00000000,1,1.8,1,0,0,0,flat
1,855,0,-34,0641840,00000000,1,1.8,1,0,0,0,flat
1,856,0,-34,0641871,00000000,1,1.8,1,0,0,0,flat
1,857,0,-34,0641902,00000000,1,1.8,1,0,0,0,flat
1,858,0,-34,0641933,00000000,1,1.8,1,0,0,0,flat
1,859,0,-34,0641964,00000000,1,1.8,1,0,0,0,flat
1,860,0,-34,0641996,00000000,1,1.8,1,0,0,0,flat
1,861,0,-34,0642027,00000000,1,1.8,1,0,0,0,flat
1,862,0,-34,0642058,00000000,1,1.8,1,0,0,0,flat
1,863,0,-34,0642089,00000000,1,1.8,1,0,0,0,flat
1,864,0,-34,0642120,00000000,1,1.8,1,0,0,0,flat
1,865,0,-34,0642151,00000000,1,1.8,1,0,0,0,flat
1,866,0,-35,0642183,00000000,1,1.8,1,0,0,0,flat
1,867,0,-35,0642214,00000000,1,1.8,1,0,0,0,flat
1,868,0,-35,0642245,00000000,1,1.8,1,0,0,0,flat
1,869,0,-35,0642276,00000000,1,1.8,1,0,0,0,flat
1,870,0,-35,0642307,00000000,1,1.8,1,0,0,0,flat
1,871,0,-35,0642338,00000000,1,1.8,1,0,0,0,flat
1,872,0,-35,0642369,00000000,1,1.8,1,0,0,0,flat
1,873,0,-35,0642401,00000000,1,1.8,1,0,0,0,flat
1,874,0,-35,0642432,00000000,1,1.8,1,0,0,0,flat
1,875,0,-35,0642463,00000000,1,1.8,1,0,0,0,flat
1,876,0,-34,0642494,00000000,1,1.8,1,0,0,0,flat
1,877,0,-35,0642525,00000000,1,1.8,1,0,0,0,flat
1,878,0,-35,0642556,00000000,1,1.8,1,0,0,0,flat
1,879,0,-34,0642588,00000000,1,1.8,1,0,0,0,flat
1,880,0,-34,0642619,00000000,1,1.8,1,0,0,0,flat
1,881,0,-34,0642650,00000000,1,1.8,1,0,0,0,flat
1,882,0,-35,0642681,00000000,1,1.8,1,0,0,0,flat
1,883,0,-34,0642712,00000000,1,1.8,1,0,0,0,flat
1,884,0,-35,0642743,00000000,1,1.8,1,0,0,0,flat
1,885,0,-35,0642774,00000000,1,1.8,1,0,0,0,flat
1,886,0,-34,0642806,00000000,1,1.8,1,0,0,0,flat
1,887,0,-34,0642837,00000000,1,1.8,1,0,0,0,flat
1,888,0,-34,0642868,00000000,1,1.8,1,0,0,0,flat
1,889,0,-34,0642899,00000000,1,1.8,1,0,0,0,flat
1,890,0,-35,0642930,00000000,1,1.8,1,0,0,0,flat
1,891,0,-34,0642961,00000000,1,1.8,1,0,0,0,flat
1,892,0,-34,0642993,00000000,1,1.8,1,0,0,0,flat
1,893,0,-34,0643024,00000000,1,1.8,1,0,0,0,flat
1,894,0,-34,0643055,00000000,1,1.8,1,0,0,0,flat
1,895,0,-34,0643086,00000000,1,1.8,1,0,0,0,flat
1,896,0,-34,0643117,00000000,1,1.8,1,0,0,0,flat
