RxNID,TXNID,PacketNo,RSSI
1,1,150,-20
1,1,151,-20
1,1,152,-20
1,1,153,-20
1,1,154,-20
2,1,152,-20
2,1,153,-20
2,1,154,-20
2,1,150,-20
2,1,151,-20
0,1,150,-35
0,1,151,-35
0,1,152,-35
0,1,153,-36
0,1,154,-36
1,1,155,-20
1,1,156,-20
1,1,157,-20
1,1,158,-20
1,1,159,-20
2,1,157,-20
2,1,158,-20
2,1,159,-20
2,1,155,-20
2,1,156,-20
0,1,155,-36
0,1,156,-36
0,1,157,-36
0,1,158,-36
0,1,159,-36
1,1,160,-20
1,1,161,-20
1,1,162,-20
1,1,163,-20
1,1,164,-20
2,1,162,-20
2,1,163,-20
2,1,164,-20
2,1,160,-20
2,1,161,-20
0,1,160,-36
0,1,161,-36
0,1,162,-36
0,1,163,-36
0,1,164,-36
1,1,165,-20
1,1,166,-20
1,1,167,-20
1,1,168,-20
1,1,169,-20
2,1,167,-20
2,1,168,-20
2,1,169,-20
2,1,165,-20
2,1,166,-20
0,1,165,-36
0,1,166,-36
0,1,167,-36
0,1,168,-36
0,1,169,-36
1,1,170,-20
1,1,171,-20
1,1,172,-20
1,1,173,-20
1,1,174,-20
2,1,172,-20
2,1,173,-20
2,1,174,-20
2,1,170,-20
2,1,171,-20
0,1,170,-36
0,1,171,-36
0,1,172,-36
0,1,173,-36
0,1,174,-36
1,1,175,-20
1,1,176,-20
1,1,177,-20
1,1,178,-20
1,1,179,-20
2,1,177,-20
2,1,178,-20
2,1,179,-20
2,1,175,-20
2,1,176,-20
0,1,175,-36
0,1,176,-36
0,1,177,-36
0,1,178,-36
0,1,179,-36
1,1,180,-20
1,1,181,-20
1,1,182,-20
1,1,183,-20
1,1,184,-20
2,1,182,-20
2,1,183,-20
2,1,184,-20
2,1,180,-20
2,1,181,-20
0,1,180,-36
0,1,181,-36
0,1,182,-36
0,1,183,-36
0,1,184,-36
1,1,185,-20
1,1,186,-20
1,1,187,-20
1,1,188,-20
1,1,189,-20
2,1,187,-20
2,1,188,-20
2,1,189,-20
2,1,185,-20
2,1,186,-20
0,1,185,-35
0,1,186,-35
0,1,187,-35
0,1,188,-35
0,1,189,-35
1,1,190,-20
1,1,191,-20
1,1,192,-20
1,1,193,-20
1,1,194,-20
2,1,192,-20
2,1,193,-20
2,1,194,-20
2,1,190,-20
2,1,191,-20
0,1,190,-33
0,1,191,-33
0,1,192,-33
0,1,193,-34
0,1,194,-34
1,1,195,-20
1,1,196,-20
1,1,197,-20
1,1,198,-20
1,1,199,-20
2,1,197,-20
2,1,198,-20
2,1,199,-20
2,1,195,-20
2,1,196,-20
0,1,195,-35
0,1,196,-35
0,1,197,-36
0,1,198,-36
0,1,199,-36
1,1,200,-20
1,1,201,-20
1,1,202,-20
1,1,203,-20
1,1,204,-20
2,1,202,-20
2,1,203,-20
2,1,204,-20
2,1,200,-20
2,1,201,-20
0,1,200,-36
0,1,201,-36
0,1,202,-36
0,1,203,-35
0,1,204,-36
1,1,205,-20
1,1,206,-20
1,1,207,-20
1,1,208,-20
1,1,209,-20
2,1,207,-20
2,1,208,-20
2,1,209,-20
2,1,205,-20
2,1,206,-20
0,1,205,-37
0,1,206,-37
0,1,207,-38
0,1,208,-39
0,1,209,-40
1,1,210,-20
1,1,211,-20
1,1,212,-20
1,1,213,-20
1,1,214,-20
2,1,212,-20
2,1,213,-20
2,1,214,-20
2,1,210,-20
2,1,211,-20
0,1,210,-36
0,1,211,-36
0,1,212,-35
0,1,213,-35
0,1,214,-35
1,1,215,-20
1,1,216,-20
1,1,217,-20
1,1,218,-20
1,1,219,-20
2,1,217,-20
2,1,218,-20
2,1,219,-20
2,1,215,-20
2,1,216,-20
0,1,215,-34
0,1,216,-34
0,1,217,-34
0,1,218,-34
0,1,219,-33
1,1,220,-20
1,1,221,-20
1,1,222,-20
1,1,223,-20
1,1,224,-20
2,1,222,-20
2,1,223,-20
2,1,224,-20
2,1,220,-20
2,1,221,-20
0,1,220,-32
0,1,221,-33
0,1,222,-33
0,1,223,-32
0,1,224,-32
1,1,225,-20
1,1,226,-20
1,1,227,-20
1,1,228,-20
1,1,229,-20
2,1,227,-20
2,1,228,-20
2,1,229,-20
2,1,225,-20
2,1,226,-20
0,1,225,-33
0,1,226,-33
0,1,227,-33
0,1,228,-33
0,1,229,-33
1,1,230,-20
1,1,231,-20
1,1,232,-20
1,1,233,-20
1,1,234,-20
2,1,232,-20
2,1,233,-20
2,1,234,-20
2,1,230,-20
2,1,231,-20
0,1,230,-34
0,1,231,-34
0,1,232,-34
0,1,233,-34
0,1,234,-34
1,1,235,-20
1,1,236,-20
1,1,237,-20
1,1,238,-20
1,1,239,-20
2,1,237,-20
2,1,238,-20
2,1,239,-20
2,1,235,-20
2,1,236,-20
0,1,235,-34
0,1,236,-34
0,1,237,-34
0,1,238,-34
0,1,239,-34
1,1,240,-20
1,1,241,-20
1,1,242,-20
1,1,243,-20
1,1,244,-20
2,1,242,-20
2,1,243,-20
2,1,244,-20
2,1,240,-20
2,1,241,-20
0,1,240,-33
0,1,241,-33
0,1,242,-33
0,1,243,-33
0,1,244,-33
1,1,245,-20
1,1,246,-20
1,1,247,-20
1,1,248,-20
1,1,249,-20
2,1,247,-20
2,1,248,-20
2,1,249,-20
2,1,245,-20
2,1,246,-20
0,1,245,-32
0,1,246,-32
0,1,247,-32
0,1,248,-32
0,1,249,-32
1,1,250,-20
1,1,251,-20
1,1,252,-20
1,1,253,-20
1,1,254,-20
2,1,252,-20
2,1,253,-20
2,1,254,-20
2,1,250,-20
2,1,251,-20
0,1,250,-33
0,1,251,-33
0,1,252,-33
0,1,253,-33
0,1,254,-34
1,1,255,-20
1,1,0,-20
1,1,1,-20
1,1,2,-20
1,1,3,-20
2,1,1,-20
2,1,2,-20
2,1,3,-20
2,1,255,-20
2,1,0,-20
0,1,255,-34
0,1,0,-34
0,1,1,-34
0,1,2,-34
0,1,3,-34
1,1,4,-20
1,1,5,-20
1,1,6,-20
1,1,7,-20
1,1,8,-20
2,1,6,-20
2,1,7,-20
2,1,8,-20
2,1,4,-20
2,1,5,-20
0,1,4,-34
0,1,5,-34
0,1,6,-34
0,1,7,-33
0,1,8,-33
1,1,9,-20
1,1,10,-20
1,1,11,-20
1,1,12,-20
1,1,13,-20
2,1,11,-20
2,1,12,-20
2,1,13,-20
2,1,9,-20
2,1,10,-20
0,1,9,-33
0,1,10,-33
0,1,11,-33
0,1,12,-33
0,1,13,-33
1,1,14,-20
1,1,15,-20
1,1,16,-20
1,1,17,-20
1,1,18,-20
2,1,16,-20
2,1,17,-20
2,1,18,-20
2,1,14,-20
2,1,15,-20
0,1,14,-34
0,1,15,-34
0,1,16,-34
0,1,17,-35
0,1,18,-34
1,1,19,-20
1,1,20,-20
1,1,21,-20
1,1,22,-20
1,1,23,-20
2,1,21,-20
2,1,22,-20
2,1,23,-20
2,1,19,-20
2,1,20,-20
0,1,19,-35
0,1,20,-35
0,1,21,-35
0,1,22,-35
0,1,23,-34
1,1,24,-20
1,1,25,-20
1,1,26,-20
1,1,27,-20
1,1,28,-20
2,1,26,-20
2,1,27,-20
2,1,28,-20
2,1,24,-20
2,1,25,-20
0,1,24,-32
0,1,25,-33
0,1,26,-33
0,1,27,-34
0,1,28,-36
